"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","outcome2","b","-LOG10P"
"mvpa","A1BG_P04217_OID30771_v1_Inflammation_II",86,-0.0784444445039735,0.086310048891947,0.363419788700401,86,-0.0149344673481256,0.107933317249354,0.889949951330233,86,0.303367625385474,0.307431520875201,0.326550580088697,86,0.322577476493224,0.353129474734712,0.363572863165153,86,0.305268806800415,0.336580813574675,0.367016980756198,NA,NA,NA,NA,"A1BG",-0.0784444445039735,0.439591428460557
"mvpa","AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II",86,0.000841718797209898,0.0660009832045811,0.989824754181903,86,0.0579682631647894,0.0983066151540156,0.555413266373076,86,0.211871570386082,0.220216153203073,0.338724754179336,86,-0.10163721731002,0.243430636204553,0.677350676366755,86,-0.0429689608234653,0.256927056681968,0.867581703315269,NA,NA,NA,NA,"AAMDC",0.000841718797209898,0.00444168926988752
"mvpa","AARSD1_Q9BTE6_OID21311_v1_Oncology",86,0.0277173412809969,0.0796678986749006,0.727906995808119,86,-0.0125139457074677,0.100224948404448,0.900635502405196,86,-0.176150142634916,0.26963273246443,0.515328398801653,86,-0.176150142634916,0.273477743050187,0.521237503073103,86,0.46496634561954,0.30903744936688,0.136187342886303,NA,NA,NA,NA,"AARSD1",0.0277173412809969,0.137924106658936
"mvpa","ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II",86,0.0203398494483734,0.077475826904774,0.792911659518846,86,0.0036173943699845,0.110939045282999,0.973987952237971,86,0.178979111867747,0.259691982299691,0.492575975168296,86,0.287718006281889,0.273397827241038,0.295608462568103,86,-0.263145493223522,0.30267660660877,0.387108633289877,NA,NA,NA,NA,"ABCA2",0.0203398494483734,0.100775195936663
"mvpa","ABHD14B_Q96IU4_OID20921_v1_Neurology",86,-0.0417492803864717,0.0733514120608897,0.569242098758613,86,-0.00480179310645668,0.108127307042868,0.964578627144107,86,0.306007222229763,0.308464039735793,0.323995970410919,86,-0.348329479319396,0.317287977533578,0.275377248342644,86,-0.246794634335607,0.287185673212538,0.392590155310333,NA,NA,NA,NA,"ABHD14B",-0.0417492803864717,0.244702988801268
"mvpa","ABL1_P00519_OID21280_v1_Oncology",86,-0.140365877435926,0.0748484870338673,0.0607468532446764,86,-0.0494083125150157,0.108771212046332,0.649655585373373,86,0.0474978144681844,0.275486316155854,0.863521597425065,86,0.0474978144681844,0.291060395842219,0.87075710338374,86,-0.0451402290827099,0.293820525150156,0.878268406344704,NA,NA,NA,NA,"ABL1",-0.140365877435926,1.21647621408963
"mvpa","ABO_P16442_OID30675_v1_Inflammation_II",86,0.0998509568097372,0.0495914029712899,0.0440648801423603,86,0.080299845820715,0.0709008041887882,0.257396520140719,86,0.0720306224175211,0.181717982932353,0.692813009560865,86,0.0599255807980899,0.189963920771231,0.753187370805412,86,0.25305787265294,0.194087448130714,0.195851945476232,NA,NA,NA,NA,"ABO",0.0998509568097372,1.35590740683274
"mvpa","ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II",86,-0.057043283426868,0.0760923141308681,0.453460143891384,86,0.0330933409780689,0.111228600824333,0.766065370868775,86,0.169264320380637,0.307760215395519,0.583770174439428,86,0.140769519275427,0.320469007059563,0.661587144493779,86,-0.147289745823041,0.298767737797343,0.623305399441561,NA,NA,NA,NA,"ABRAXAS2",-0.057043283426868,0.343460878501802
"mvpa","ACAA1_P09110_OID21269_v1_Oncology",86,-0.0491865540942622,0.0791053635675524,0.534083037977037,86,-0.0617468359952515,0.110241042630378,0.575406107573551,86,-0.0573360365825182,0.26677006915149,0.830339220789633,86,-0.113548932509973,0.284210963449451,0.690509703437054,86,0.13070722659472,0.310152124905222,0.674518015804017,NA,NA,NA,NA,"ACAA1",-0.0491865540942622,0.272391214635151
"mvpa","ACADM_P11310_OID31277_v1_Oncology_II",86,-0.0156859790654001,0.0741278740440863,0.832413626502231,86,0.0470776970626077,0.108980301696421,0.665753372706233,86,0.081323730672791,0.279485999797797,0.771778465847014,86,0.0987842622497936,0.289990816838191,0.734210463938216,86,-0.165666872842729,0.289455106978883,0.568620015851826,NA,NA,NA,NA,"ACADM",-0.0156859790654001,0.0796608190583341
"mvpa","ACADSB_P45954_OID30356_v1_Cardiometabolic_II",86,-0.097444825251287,0.0726097371401951,0.179584573118604,86,-0.126660296437314,0.104463620480901,0.225327793432418,86,-0.115820715494546,0.249626386406043,0.64385083033375,86,-0.127231767884095,0.264698798179127,0.63198862286452,86,-0.287304868802826,0.283622875622164,0.313977736212193,NA,NA,NA,NA,"ACADSB",-0.097444825251287,0.745730973332536
"mvpa","ACAN_P16112_OID20159_v1_Cardiometabolic",86,0.032214541812179,0.0760002164684157,0.671657456640944,86,0.0716738161046674,0.102474068945146,0.48428103999411,86,0.141143416754741,0.257457944736883,0.584978279245263,86,0.141143416754741,0.274368273837502,0.608286013120088,86,-0.475503187114192,0.292975736047088,0.108334074160549,NA,NA,NA,NA,"ACAN",0.032214541812179,0.172852159414901
"mvpa","ACE_P12821_OID30696_v1_Inflammation_II",86,-0.0225613242955551,0.0695263548537841,0.745559281150522,86,-0.0375666388216365,0.0974947832947935,0.700000733617987,86,-0.262505777584007,0.269143442950573,0.332160347304331,86,-0.205044084115469,0.276520701292691,0.460425468109285,86,-0.0634201312074497,0.271462396115822,0.815845305206237,NA,NA,NA,NA,"ACE",-0.0225613242955551,0.127517819074858
"mvpa","ACE2_Q9BYF1_OID20105_v1_Cardiometabolic",86,0.0756605447267823,0.0706432480702685,0.284159080143146,86,0.0425876190845231,0.100642926125452,0.672181729314276,86,-0.0647238504445671,0.25608495317112,0.80107651643687,86,-0.0647238504445671,0.275340235153191,0.814720850304099,86,-0.0689975874985548,0.277123484818599,0.80398573959084,NA,NA,NA,NA,"ACE2",0.0756605447267823,0.546438461762284
"mvpa","ACHE_P22303_OID30585_v1_Inflammation_II",86,0.0889766682327268,0.080544553854218,0.269294449029902,86,0.226103553009811,0.104215356463526,0.0300386778999303,86,0.281583196782298,0.242002773795407,0.247860836680081,86,0.292169618614539,0.268296418555793,0.27924028470288,86,0.0592530520857174,0.315934544443567,0.851682885748951,NA,NA,NA,NA,"ACHE",0.0889766682327268,0.569772598614219
"mvpa","ACOT13_Q9NPJ3_OID31522_v1_Oncology_II",86,-0.100855386581996,0.0732847632007203,0.168755940206163,86,-0.137869979207531,0.108387322348951,0.203368840806292,86,-0.276102373408381,0.272507742412043,0.313844413163253,86,-0.300322432403028,0.291352903668114,0.30556542334395,86,-0.414129765719745,0.286273736967466,0.151724294437063,NA,NA,NA,NA,"ACOT13",-0.100855386581996,0.77274093106966
"mvpa","ACOX1_Q15067_OID20124_v1_Cardiometabolic",86,-0.110812063211099,0.0738772558768665,0.133627799209194,86,-0.0806069654554917,0.105057088589164,0.442922058860995,86,-0.146106042542828,0.292549802862511,0.618771824226472,86,-0.0774964409737455,0.28110040365025,0.783455652674698,86,0.0943438487856659,0.288543697856723,0.744507309826273,NA,NA,NA,NA,"ACOX1",-0.110812063211099,0.874103184171389
"mvpa","ACP1_P24666_OID30524_v1_Inflammation_II",86,-0.0136534256807171,0.0753470112292949,0.856204893922094,86,0.130497635762923,0.105674816708724,0.216868411684701,86,0.266665879415723,0.276844334919717,0.338162452980747,86,0.275299261184347,0.290507355341072,0.345994137673918,86,0.225575620369388,0.294806789346117,0.446318228042947,NA,NA,NA,NA,"ACP1",-0.0136534256807171,0.0674222941409455
"mvpa","ACP5_P13686_OID20314_v1_Cardiometabolic",86,-0.183701781699068,0.0705995221996241,0.0092674866762073,86,-0.250551584343291,0.0984777075769279,0.0109513702165645,86,-0.330703785190051,0.251480834745019,0.192037933303128,86,-0.349760875053761,0.256359970917468,0.17606359703115,86,-0.424740074517136,0.276662454673832,0.128485898638636,NA,NA,NA,NA,"ACP5",-0.183701781699068,2.03303802967971
"mvpa","ACP6_Q9NPH0_OID21432_v1_Oncology",86,-0.0794626674330004,0.0508220202846605,0.117923758261983,86,-0.10148550140432,0.0730683486830791,0.164859531462805,86,-0.383234743632624,0.185584252249731,0.0419684355328808,86,-0.42628009815075,0.200766046896624,0.0366387659630011,86,-0.127889059281672,0.201846175257106,0.528065548212448,NA,NA,NA,NA,"ACP6",-0.0794626674330004,0.928398688182181
"mvpa","ACRBP_Q8NEB7_OID31385_v1_Oncology_II",86,-0.0470372689974677,0.072833575010458,0.51839691590965,86,-0.014444646472106,0.104656224793415,0.890224653952881,86,0.34487780267397,0.288691998522768,0.235557601702112,86,0.336232328331521,0.29541996347439,0.258255577964293,86,-0.309952183483863,0.284309298425834,0.278745383393839,NA,NA,NA,NA,"ACRBP",-0.0470372689974677,0.285337590870883
"mvpa","ACRV1_P26436_OID30513_v1_Inflammation_II",86,0.0631557463540132,0.053212396950457,0.235282247527846,86,-0.00449724285736015,0.0680093961324773,0.947276884516539,86,-0.0478496351175786,0.168721897044975,0.777406082044099,86,-0.0691608031716096,0.180562793444657,0.702654418731174,86,-0.166860552383418,0.207332942468712,0.423209938344692,NA,NA,NA,NA,"ACRV1",0.0631557463540132,0.628410839893883
"mvpa","ACSL1_P33121_OID30080_v1_Cardiometabolic_II",86,-0.0101790592138518,0.0750017682635466,0.892044541794197,86,0.0122983442336052,0.111882696244502,0.912471415568882,86,0.100256387378604,0.276129097881045,0.717448009592381,86,0.120094118560477,0.285279260192433,0.674839234826175,86,-0.190772891238951,0.292899905426062,0.516614970736265,NA,NA,NA,NA,"ACSL1",-0.0101790592138518,0.0496134597802955
"mvpa","ACTA2_P62736_OID20079_v1_Cardiometabolic",86,-0.0538622573636729,0.0743217014606627,0.468625194399889,86,-0.0199775912903921,0.103254839798298,0.84658424419975,86,0.0329128217687518,0.268244446703788,0.902636583977595,86,0.0022594091021011,0.278155440997437,0.993538025548139,86,0.0167518680100506,0.291970056574569,0.954382506410949,NA,NA,NA,NA,"ACTA2",-0.0538622573636729,0.329174366411883
"mvpa","ACTN2_P35609_OID30192_v1_Cardiometabolic_II",86,0.230983277377745,0.0726770383900857,0.00148184654552483,86,0.212566002535158,0.103334810343596,0.0396803639300463,86,0.0728263484188405,0.244715653527857,0.766737822685932,86,0.0900691893052192,0.25558690644117,0.725409516460035,86,0.278260445363372,0.283830147756862,0.329715466792424,NA,NA,NA,NA,"ACTN2",0.230983277377745,2.82919676793725
"mvpa","ACTN4_O43707_OID20435_v1_Inflammation",86,-0.0811441181286697,0.0827620272818019,0.326863511602379,86,-0.137069811472423,0.109069818413071,0.208856407420594,86,-0.220775061566619,0.251960445627851,0.383375108171576,86,-0.231782869034149,0.269501351153754,0.392184376047522,86,-0.548102524024073,0.320758005388897,0.0911856824345185,NA,NA,NA,NA,"ACTN4",-0.0811441181286697,0.485633557835681
"mvpa","ACVRL1_P37023_OID20999_v1_Neurology",86,0.0830444559633939,0.0824905980292546,0.314072138819762,86,-0.0347303792531773,0.100936547012976,0.730785138703455,86,-0.0969078583360936,0.287022529611913,0.736473259954518,86,-0.0817652107389133,0.288630079274857,0.777645486944071,86,0.20361495568198,0.323686982489061,0.531024020797482,NA,NA,NA,NA,"ACVRL1",0.0830444559633939,0.502970587936138
"mvpa","ACY1_Q03154_OID20137_v1_Cardiometabolic",86,-0.0209184181676421,0.0744926459391301,0.778854709574305,86,0.0263236821643613,0.102936751368297,0.798161828673663,86,0.0476772381675339,0.23655814290631,0.840753573015392,86,0.0476772381675339,0.26738960365324,0.858906749875626,86,-0.307174371714609,0.2909135601133,0.294043304431151,NA,NA,NA,NA,"ACY1",-0.0209184181676421,0.108543549663932
"mvpa","ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II",86,0.0245919595928153,0.0824167918531309,0.765409103270904,86,-0.147219070184278,0.106385291502663,0.16641076736899,86,-0.24525336232932,0.298907835252319,0.414227209541382,86,-0.234928410457188,0.302746454041116,0.439908348302423,86,0.0958347772513007,0.32336335961731,0.767680041962392,NA,NA,NA,NA,"ACY3",0.0245919595928153,0.116106376868757
"mvpa","ACYP1_P07311_OID30642_v1_Inflammation_II",86,-0.011191770335849,0.07524703273578,0.881763760442876,86,0.0754849689371113,0.107061430723481,0.480771522685752,86,0.239129342404322,0.277845457842234,0.391848757383635,86,0.218626438401067,0.294116565513395,0.459329996655405,86,0.250651244981598,0.294500259530546,0.397129648951077,NA,NA,NA,NA,"ACYP1",-0.011191770335849,0.0546477541863824
"mvpa","ADA_P00813_OID20645_v1_Inflammation",86,0.095886074828371,0.0637238329269493,0.13239789949194,86,0.0395847205169828,0.0912730857117876,0.664509622779021,86,-0.0601898765085778,0.212679298845252,0.777859026665647,86,-0.0927754008505681,0.233405766782506,0.692005925933815,86,-0.0342209960931829,0.248334786745559,0.890726802307613,NA,NA,NA,NA,"ADA",0.095886074828371,0.878118904974083
