"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","acc_425",36,-0.0127509060320261,0.0108813012445752,0.241270083776185,36,-0.00409181302306092,0.0129255001977548,0.751570640627952,36,-0.00528933486153249,0.0130963421768661,0.688759056765672,36,-0.0105366768596579,0.018661430415626,0.575931166581965,36,-0.0128300108470521,0.0202649778444068,0.530895894562996,NA,NA,NA,NA,"A1BG",0.617496524988797
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","acc_425",34,-0.00185154398679552,0.00196000261981833,0.344830422939686,34,-0.00274334166734763,0.00248374826664684,0.2693690235188,34,-0.00114306256880742,0.0022187929407836,0.609866004366828,34,-0.00114306256880742,0.00435012670265594,0.794365032375495,34,-0.0023313487696111,0.00261572734167825,0.379431172304169,NA,NA,NA,NA,"AAMDC",0.4623944251792
"AARSD1_Q9BTE6_OID21311_v1_Oncology","acc_425",14,-0.028277588970482,0.0159395611480272,0.0760547710721743,14,-0.0446613425820052,0.0214818322747238,0.0376147265239123,14,-0.0528307561334919,0.0261075124909408,0.0640717717004535,14,-0.0127900387436569,0.0348691190677737,0.719668447030716,14,-0.0362157086175427,0.0605727948715408,0.561029477540482,NA,NA,NA,NA,"AARSD1",1.11887353657055
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","acc_425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","acc_425",27,0.00654159487886094,0.00451997808668316,0.147823411924556,27,0.011201300520055,0.00587977508205833,0.0567727982565362,27,0.0079240075980371,0.00523259861711083,0.141999203747883,27,0.00953185486345093,0.0105868294854113,0.376198081735488,27,0.00953971998718614,0.00609897013847468,0.130353167933081,NA,NA,NA,NA,"ABHD14B",0.830256777954474
"ABL1_P00519_OID21280_v1_Oncology","acc_425",14,0.0379393507705228,0.0268755923852139,0.158048430139743,14,0.0177566641761786,0.033938732901259,0.600836739620551,14,0.0234650577811513,0.0503057064673648,0.648613962773027,14,0.104214821282174,0.0609710327462838,0.111151663968604,14,-0.103448225692694,0.0792415252924231,0.216204711054795,NA,NA,NA,NA,"ABL1",0.801209813554442
"ABO_P16442_OID30675_v1_Inflammation_II","acc_425",17,-0.00043703342978794,0.00361482810642715,0.903770086220468,17,-0.00252597411259531,0.00431114223569222,0.557930889305751,17,-0.00206440138323594,0.00389491407804487,0.603373027523281,17,0.00112495649092331,0.00625019999202193,0.859422369176467,17,-0.00399577338136526,0.00562953929316665,0.488724199071725,NA,NA,NA,NA,"ABO",0.0439420374287842
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","acc_425",5,-0.0420037382779516,0.055502975348426,0.449179554458359,5,-0.0123845252463617,0.0569676923939384,0.827900065678306,5,-0.0586256568442198,0.0868673403517683,0.536746657297782,5,-0.0394887636378404,0.0889951125483661,0.680191405547328,5,-0.314212263723266,1.32267119824126,0.827522854828003,NA,NA,NA,NA,"ABRAXAS2",0.347580019970676
"ACAA1_P09110_OID21269_v1_Oncology","acc_425",14,-0.00829579094104266,0.020959208678743,0.692247784436314,14,0.00298759560568827,0.0284162027591541,0.916267064037853,14,0.0144379065814348,0.0356355533463292,0.691952197071927,14,-0.0162223250875075,0.0427974290166992,0.710770284044812,14,0.0176357256547018,0.0603483216120854,0.77510002352687,NA,NA,NA,NA,"ACAA1",0.159738425555119
"ACADM_P11310_OID31277_v1_Oncology_II","acc_425",6,-0.0422802870080428,0.0206929019873894,0.0410300153670365,6,-0.0422813957366166,0.0228741956691456,0.064539869964622,6,-0.0414879777431836,0.0207853683928358,0.102459184296255,6,-0.0092406955034709,0.0374697040363943,0.815009251169974,6,0.0150210884775051,0.115089716494328,0.902458587175071,NA,NA,NA,NA,"ACADM",1.38689832037606
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","acc_425",31,0.00171968007812994,0.0121909354466606,0.887820811249208,31,0.00691759251053545,0.0175824529568293,0.693996537827474,31,0.00232206132660989,0.016487452651739,0.888939285365897,31,-0.000346278634018982,0.0301181929729789,0.990902783984422,31,-0.00373994582734881,0.0210245087860326,0.860050003775356,NA,NA,NA,NA,"ACADSB",0.051674678971882
"ACAN_P16112_OID20159_v1_Cardiometabolic","acc_425",60,0.00796468919062897,0.0108507702592858,0.462936166605886,60,-0.00201001498958443,0.0156331377314096,0.897694743601343,60,-0.00262506516514061,0.017785246186097,0.883163353707787,60,0.00126823733682269,0.0293307289924769,0.965656860575004,60,0.00727810697474527,0.0282010611046745,0.797259362075205,NA,NA,NA,NA,"ACAN",0.334478888900056
"ACE_P12821_OID30696_v1_Inflammation_II","acc_425",31,-0.000509989226734252,0.0045326704875615,0.910415810448347,31,0.00101319274363746,0.00684754924401966,0.882370952559008,31,-0.0138363561890356,0.00693652525420464,0.0552294522428345,31,0.0141577696125594,0.0113549205248444,0.222103451132041,31,-0.0078116245938187,0.00900248906444936,0.392672445500645,NA,NA,NA,NA,"ACE",0.040760208845696
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","acc_425",46,-0.000784650390624407,0.0109466737329133,0.942857095081954,46,0.00336077117094904,0.0168365285598207,0.8417841334398,46,0.00572877371718594,0.0248213231447548,0.81851593099346,46,0.0299684907180913,0.0327708250932859,0.365335320352318,46,-0.00227081937184487,0.0266731525830263,0.932540258112546,NA,NA,NA,NA,"ACE2",0.0255541264783745
"ACHE_P22303_OID30585_v1_Inflammation_II","acc_425",38,0.00209563212616838,0.00859921939521841,0.807462960841801,38,-0.00302962711470663,0.0114807679880636,0.791866879581801,38,0.000931873943530448,0.0103666397412845,0.928858202189314,38,-0.00143629078923269,0.0185878347808537,0.938824727159544,38,-0.009522734188572,0.0146764473758224,0.520556807976631,NA,NA,NA,NA,"ACHE",0.092877390075439
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","acc_425",17,0.0252502404963059,0.0204345241351923,0.216582853570039,17,-0.00174880592814674,0.030094543444742,0.953660691165459,17,-0.0115951771429791,0.0487386263237672,0.814974378225546,17,-0.00983448134690573,0.0524159875947767,0.853530396972228,17,0.0261038592560809,0.0975761623981444,0.792710017432756,NA,NA,NA,NA,"ACOT13",0.66437592857254
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","acc_425",5,0.0641314331983081,0.0365429333945861,0.0792659308540885,5,0.0635028526319772,0.0417694010961387,0.128430589328855,5,0.0599992056625298,0.0497476799230895,0.294247715814015,5,0.0501155458839329,0.0571096024851538,0.42974406435112,5,0.00794125434556294,0.149536921741509,0.960986211275767,NA,NA,NA,NA,"ACOX1",1.10091343590241
"ACP1_P24666_OID30524_v1_Inflammation_II","acc_425",14,0.00389417452334084,0.00669689093151107,0.56091031478256,14,0.00683112123468114,0.00849788087099874,0.421476833051315,14,0.00641313872954083,0.0073619822775395,0.399492439927317,14,-0.000151121970412921,0.0119737447328079,0.99012171347028,14,-0.00144493014381535,0.0152411557176058,0.926034800407184,NA,NA,NA,NA,"ACP1",0.251106573518815
"ACP5_P13686_OID20314_v1_Cardiometabolic","acc_425",45,-0.00110759176946798,0.00871170516874509,0.898830903488955,45,0.00323157566439138,0.0112438801121592,0.773800306167531,45,-0.0033383275365842,0.0101220581946374,0.743110722245308,45,-0.0110484588161264,0.0246649846542273,0.656393624134593,45,0.00385599312880412,0.0132798477951677,0.772933368972239,NA,NA,NA,NA,"ACP5",0.0463220041389803
