"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","vpa",64,0.00131083808105374,0.0030210594148869,0.664360963380865,64,0.00365044570200002,0.00425009478845394,0.390390588952594,64,0.00241429848413122,0.00426589674931175,0.573435942333209,64,0.00241429848413122,0.00632784459676797,0.704089610444395,64,0.00805972367479762,0.00540697459757521,0.141132617562913,NA,NA,NA,NA,"A1BG",0.177595893809968
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","vpa",63,-0.000182601922277117,0.000773218611118574,0.813309906865874,63,-0.000612564399709449,0.00078236566780322,0.433648067298725,63,-0.000272091454710799,0.000721786969551632,0.707483689150732,63,-0.00134570845302218,0.00255431525599,0.600186563324905,63,4.40711770715529e-05,0.000923268107096247,0.962084266595497,NA,NA,NA,NA,"AAMDC",0.0897439375597097
"AARSD1_Q9BTE6_OID21311_v1_Oncology","vpa",39,0.000364053543275284,0.00500104739120866,0.941968884094653,39,-0.000167494663100798,0.00611287598344555,0.978140455413347,39,0.00089016788879237,0.00603160808713986,0.883451513811612,39,0.00283989404444121,0.0104630603906887,0.787536389066336,39,0.00407280493920992,0.0090443628665407,0.655111532891775,NA,NA,NA,NA,"AARSD1",0.0259634429493554
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","vpa",22,-0.000753621576353995,0.00512826316390383,0.883167899080914,22,-0.000156917415253542,0.00596053988388388,0.978997284674836,22,-0.000343144049643113,0.00529282212888337,0.948920998450598,22,0.00372731051430011,0.0128846240513955,0.775201025318812,22,0.00404333202680913,0.00749948980513186,0.595736502298071,NA,NA,NA,NA,"ABCA2",0.0539567248338354
"ABHD14B_Q96IU4_OID20921_v1_Neurology","vpa",50,-0.000245179805668109,0.00166366420931417,0.882837321478312,50,-0.000339633042270521,0.00201940312309537,0.866437847077102,50,-0.000485322891672482,0.0017049065065519,0.777102387671217,50,-0.000485322891672482,0.00506114990920881,0.923997599685469,50,0.00035176054516886,0.00214821766718766,0.870619188435203,NA,NA,NA,NA,"ABHD14B",0.0541193155540171
"ABL1_P00519_OID21280_v1_Oncology","vpa",37,-0.00745860618800214,0.00497562210503969,0.133865881639407,37,-0.0028677283772433,0.00737698964745156,0.697468747976367,37,-0.00445763753787638,0.00979233279128451,0.651686698505364,37,-0.00750701786051086,0.013476118371413,0.580932988608621,37,0.00512066705172372,0.0113868399697296,0.655699265046033,NA,NA,NA,NA,"ABL1",0.873330097400479
"ABO_P16442_OID30675_v1_Inflammation_II","vpa",24,0.000445685369695549,0.00105255919886213,0.671981402562901,24,0.00193954278335466,0.00131472968947487,0.14014783550765,24,0.000781422057770653,0.00118119405361461,0.514831537107043,24,-0.00268863196805944,0.00240474356978671,0.275086668111371,24,0.00128481113241774,0.00140879590126375,0.371658535940751,NA,NA,NA,NA,"ABO",0.172642746106998
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","vpa",28,-0.00412896715715352,0.00692156052570833,0.550816523973088,28,0.00550934464164714,0.00973577671725113,0.571470937195707,28,0.0160332777998647,0.017307295568241,0.36245130459502,28,0.0160332777998647,0.0184089994137124,0.391460985117809,28,-0.0123839122510109,0.0236859660926815,0.60551461365235,NA,NA,NA,NA,"ABRAXAS2",0.258993039797304
"ACAA1_P09110_OID21269_v1_Oncology","vpa",38,-0.00644126695264244,0.00455668713658958,0.157483635453074,38,-0.0107569385934461,0.00629450327421371,0.0874617648738738,38,-0.010679811247324,0.00625795264468011,0.0962778876029741,38,-0.00116445838951919,0.0120717183444243,0.923674499992272,38,-0.0168146830685521,0.00854656499564431,0.0568769038208724,NA,NA,NA,NA,"ACAA1",0.802764568234199
"ACADM_P11310_OID31277_v1_Oncology_II","vpa",19,-0.00299414985303413,0.00553677459216921,0.588662605069765,19,-0.00155262654170265,0.007199594923088,0.829256908107662,19,-0.00324781271839697,0.00684539890873479,0.640882685302768,19,-0.0093946684016597,0.0136950416633671,0.501460243200144,19,-0.00263601540983567,0.0132273482318358,0.844403758263004,NA,NA,NA,NA,"ACADM",0.230133551970537
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","vpa",57,-0.00535364084540823,0.00403600435526264,0.184683889576319,57,0.00312157214471502,0.00572517221433172,0.585590956908194,57,0.00381546741175731,0.00520033886464848,0.466194785085531,57,0.00696657794217631,0.0113331879226889,0.541238670691906,57,0.00469045037120033,0.00714522425395467,0.514274752645243,NA,NA,NA,NA,"ACADSB",0.733570987468611
"ACAN_P16112_OID20159_v1_Cardiometabolic","vpa",110,0.00103730542316295,0.00276984497154956,0.708032764442924,110,0.00243589830379556,0.00452454585494047,0.590318803303786,110,0.00544835523301296,0.00583864066580217,0.352802566446809,110,0.00833087159455764,0.00907399050650903,0.360591254750756,110,0.00173184551170344,0.00665268615249538,0.79511050308675,NA,NA,NA,NA,"ACAN",0.149946644728982
"ACE_P12821_OID30696_v1_Inflammation_II","vpa",49,0.000260227091067054,0.00191354161104931,0.891827299447373,49,0.00140892144688534,0.0023471696163986,0.548330299956436,49,-0.000171291939115525,0.00195254194499015,0.930458111178592,49,0.00408728853016124,0.004255768172465,0.341661323179516,49,-0.00246088108126606,0.00292579672809044,0.404552215132328,NA,NA,NA,NA,"ACE",0.0497192377299739
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","vpa",98,-0.00682722796403725,0.00291807692277733,0.0193027168943371,98,-0.00975849706664344,0.00473082817142868,0.039136763373265,98,-0.00892394353525938,0.0040780055938931,0.0310478262026426,98,-0.00749383215810112,0.00942264860320965,0.428380831763701,98,-0.00694860534580171,0.0049972609515556,0.16759748394252,NA,NA,NA,NA,"ACE2",1.71438155891058
"ACHE_P22303_OID30585_v1_Inflammation_II","vpa",83,0.000593295920288801,0.00278733837198546,0.831440899202069,83,0.000362459780800344,0.00337805678834713,0.91455232609101,83,-0.00115356371865338,0.00278652174738713,0.679969727344213,83,-0.000487250704169467,0.00707965136092963,0.945297180970778,83,-0.00332190635567771,0.00438269799089279,0.450675002690988,NA,NA,NA,NA,"ACHE",0.0801686160327205
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","vpa",45,-0.00466779082303587,0.00545671500056735,0.392317896794301,45,0.0032186246213785,0.00731114637043455,0.659766704814851,45,0.0115179844258974,0.0140961124599332,0.41827169227238,45,0.00599351642479307,0.0153475365870828,0.69803661554722,45,0.0189670936552037,0.015218076035599,0.219382221206539,NA,NA,NA,NA,"ACOT13",0.4063618797325
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","vpa",27,-0.00453510282861193,0.00423244282033002,0.28394038674906,27,-0.00707725475045221,0.0052097450742536,0.17431627808203,27,-0.00745732688245826,0.00529720203910584,0.171038973713781,27,0.0242338126841498,0.0137143911273973,0.0889603879830502,27,-0.010314607237384,0.0062935777981852,0.113757628927828,NA,NA,NA,NA,"ACOX1",0.546772830458285
"ACP1_P24666_OID30524_v1_Inflammation_II","vpa",28,0.00188744103312313,0.00165333866872732,0.253622937666163,28,0.00256978099662348,0.00215364313328146,0.232781235486208,28,0.00204935551588095,0.00186062696228748,0.280430716059692,28,0.00260785910616523,0.003660134706142,0.482265407026923,28,0.0020781938441689,0.00230679904616085,0.375911459031413,NA,NA,NA,NA,"ACP1",0.595811471407969
"ACP5_P13686_OID20314_v1_Cardiometabolic","vpa",105,-0.000973770760881557,0.002375884884075,0.681911557278246,105,-0.00114756326959987,0.00322342285950666,0.721834819330679,105,-0.00377754777122283,0.00288037083279508,0.192583722965786,105,-0.000175202007885095,0.00797583349339265,0.982516682715858,105,-0.00287898636627653,0.00351947367408231,0.415236332942233,NA,NA,NA,NA,"ACP5",0.166271948916514
