"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","leisure_screen_time",11,0.0166514315979879,0.0165677191666721,0.314871453507361,11,0.0334661949484816,0.0157407453216197,0.0334960111429601,11,0.0223828661584013,0.0154815756648356,0.178842017044,11,0.00405334880183567,0.0219523524276492,0.857199898745708,11,0.0180232885544495,0.0274548945915474,0.527948395227211,NA,NA,NA,NA,"A1BG",0.0166514315979879,0.501866711056696
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","leisure_screen_time",21,0.00317705254126959,0.00181551281690832,0.0801273327597905,21,0.00384463074771075,0.00275615386619565,0.163038149224087,21,0.0037174059757621,0.00197384487849096,0.0742808772676097,21,0.00230775850733607,0.00364861470229558,0.534223568328287,21,0.00864304983460386,0.00335220220381927,0.0184167801348614,NA,NA,NA,NA,"AAMDC",0.00317705254126959,1.09621931360471
"AARSD1_Q9BTE6_OID21311_v1_Oncology","leisure_screen_time",11,-0.0156599869249558,0.0219891244095833,0.476359731491273,11,0.0139390414536983,0.0243045877415096,0.566296162303511,11,0.0228365956210325,0.0453247068268998,0.625284517666135,11,0.0508457765718839,0.0350496571482838,0.177502830715426,11,-0.117402213455761,0.137208372095411,0.414390458691773,NA,NA,NA,NA,"AARSD1",-0.0156599869249558,0.322064958210029
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","leisure_screen_time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","leisure_screen_time",10,-0.0115088117628199,0.0127003979574835,0.364842039609968,10,-0.011765542213055,0.00938448396399703,0.209942750586991,10,-0.0194354500259186,0.00919921990401945,0.0637865783927575,10,-0.00672961323620813,0.014335586135842,0.649924113520912,10,-0.0293140254313642,0.0215887101431202,0.211570365009542,NA,NA,NA,NA,"ABHD14B",-0.0115088117628199,0.437895125062074
"ABL1_P00519_OID21280_v1_Oncology","leisure_screen_time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.00563389803771332,0.0800076505245427,0.943861767648646,"ABL1",-0.00563389803771332,0.0250916052181134
"ACAA1_P09110_OID21269_v1_Oncology","leisure_screen_time",7,-0.0160607258924657,0.0350187646128128,0.64649845631794,7,-0.0173912834800556,0.0297358930686372,0.558643008402661,7,-0.0269762421745419,0.034850429710881,0.468290070774035,7,0.00401406813322913,0.0478734392304285,0.935905228938706,7,-0.0132413322397876,0.0958526909091809,0.895518816854023,NA,NA,NA,NA,"ACAA1",-0.0160607258924657,0.189432507772606
"ACADM_P11310_OID31277_v1_Oncology_II","leisure_screen_time",6,-0.00728930496945012,0.0280242027387609,0.794780862311047,6,-0.00796854695327352,0.0294531645729441,0.786737331666456,6,-0.0232675808021993,0.0270202111625764,0.428526364858157,6,0.0980363207484176,0.0603242129861853,0.165057240476898,6,-0.19964431006896,0.13998144103297,0.226954974019282,NA,NA,NA,NA,"ACADM",-0.00728930496945012,0.0997525989008909
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","leisure_screen_time",5,-0.0066201749952678,0.0150955049747903,0.660985650941846,5,-0.0127487220698624,0.01699805007282,0.453248167036601,5,-0.0130326064222739,0.0177847670132588,0.504311107500253,5,-0.00653722181902475,0.0278117549775558,0.825710796330681,5,-0.0283179589746224,0.0273772913749289,0.377037364888831,NA,NA,NA,NA,"ACADSB",-0.0066201749952678,0.179807968327396
"ACAN_P16112_OID20159_v1_Cardiometabolic","leisure_screen_time",7,0.00483130447324154,0.0335532352747171,0.885508975119269,7,0.020884158291327,0.03508490567389,0.551678883529072,7,0.0596671264897164,0.0439530891451616,0.223452413965882,7,0.0334051186345696,0.0587889736245875,0.590500569685621,7,0.0558186282272394,0.129892982838632,0.685283006929804,NA,NA,NA,NA,"ACAN",0.00483130447324154,0.0528070326387631
"ACE_P12821_OID30696_v1_Inflammation_II","leisure_screen_time",30,0.00319367927965406,0.00591702058239198,0.589373250789678,30,-0.00141873188404095,0.00707915516714017,0.841160116349286,30,-0.00427191002430155,0.00641347276449971,0.510621828322542,30,0.00200840193322296,0.0122438061415535,0.870842212415204,30,0.00545434003738905,0.0121453603589138,0.656824710433722,NA,NA,NA,NA,"ACE",0.00319367927965406,0.229609578866241
"ACHE_P22303_OID30585_v1_Inflammation_II","leisure_screen_time",17,0.00794341369599822,0.00843367761697727,0.346260065776458,17,0.00106024044729832,0.0101198901304584,0.916559918402591,17,0.00252707479610881,0.00959106016159816,0.79554202352047,17,-0.0105614524332015,0.0166681324897523,0.535275069276866,17,0.0180182033573458,0.0191131146880989,0.360763949926488,NA,NA,NA,NA,"ACHE",0.00794341369599822,0.460597592807982
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","leisure_screen_time",2,0.0818553686505858,0.0804554947875805,0.308963487862379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACOT13",0.0818553686505858,0.51009284082376
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","leisure_screen_time",3,-0.048839327104954,0.0385965107616519,0.205734451224816,3,-0.0532516710603928,0.0415395778699588,0.199860108755583,3,-0.0533215390010893,0.0463502667566837,0.368959562912865,3,-0.0538167936300823,0.0519973185653555,0.409415197313537,3,-0.378744876336708,0.74298582390532,0.699881180094472,NA,NA,NA,NA,"ACOX1",-0.048839327104954,0.68669297751269
"ACP1_P24666_OID30524_v1_Inflammation_II","leisure_screen_time",14,0.012486164928137,0.00510821708171254,0.0145121718314765,14,0.015949345777094,0.00650890029444091,0.0142701460748231,14,0.011745819326924,0.00589828117548239,0.0678773761502154,14,0.0147260285377367,0.00878778722214989,0.117659858037557,14,0.0200401920299241,0.0187451788702089,0.306065342283751,NA,NA,NA,NA,"ACP1",0.012486164928137,1.83826758798655
"ACP5_P13686_OID20314_v1_Cardiometabolic","leisure_screen_time",17,-0.00381103582841384,0.00944093016226274,0.686454191777141,17,-0.00415961753397166,0.0103330699366809,0.687276433918638,17,-0.00622081670338168,0.00948986000878749,0.52144623595417,17,0.0335871752628899,0.0198128676027818,0.109403086702514,17,-0.00843212945038174,0.0171823796951743,0.630709895905497,NA,NA,NA,NA,"ACP5",-0.00381103582841384,0.163388438648912
"ACP6_Q9NPH0_OID21432_v1_Oncology","leisure_screen_time",17,-0.00410285867400288,0.0068386683189377,0.548539595877888,17,-0.00749429848964517,0.00903238261401626,0.406700242289008,17,-0.00650724414339998,0.00944553812960117,0.500740872898061,17,-0.0165877289813663,0.0141287451752888,0.257558280143213,17,-0.00024956099505486,0.0144962484010356,0.986491555028174,NA,NA,NA,NA,"ACP6",-0.00410285867400288,0.260792017769108
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","leisure_screen_time",5,0.01223496870931,0.0316999868372113,0.699525316847652,5,0.00465896219972655,0.0222533891697374,0.834167474231181,5,0.00293107839316548,0.0221800464122265,0.90124694419661,5,0.000528887014169588,0.0365758231788872,0.989155459863216,5,-0.016411440196222,0.0920093905656237,0.869799724643423,NA,NA,NA,NA,"ACRBP",0.01223496870931,0.155196563133169
"ACRV1_P26436_OID30513_v1_Inflammation_II","leisure_screen_time",3,0.122944856380391,0.0431637076561786,0.00439481332188475,3,0.123945724363282,0.0486327127784786,0.0108153770621491,3,0.125331011940508,0.0580820170581443,0.163621336412639,3,0.12348735625439,0.055662431792968,0.156758490766711,3,0.497591991568612,3.30781379856254,0.904946468468469,NA,NA,NA,NA,"ACRV1",0.122944856380391,2.35705956768855
"ACTA2_P62736_OID20079_v1_Cardiometabolic","leisure_screen_time",3,0.0441400432351387,0.0843563346806826,0.600795415031982,3,0.0530556593524688,0.0560476975619461,0.343834378023132,3,0.0534269389265747,0.0634031536275273,0.488130232976137,3,0.113577058355055,0.0966659195909224,0.360961302619091,3,-6.08518920191138,24.6838261092153,0.846125338675518,NA,NA,NA,NA,"ACTA2",0.0441400432351387,0.221273390307996
"ACVRL1_P37023_OID20999_v1_Neurology","leisure_screen_time",11,-0.00358204478181635,0.00929517931738358,0.699966371988866,11,-0.00309934360640476,0.0121788321265245,0.799120033933558,11,-0.0029805942567819,0.0113424642246977,0.79805326287619,11,-0.0123873188449063,0.0185624951949193,0.519662808113796,11,0.00880291119295711,0.0131001130961267,0.518477381041783,NA,NA,NA,NA,"ACVRL1",-0.00358204478181635,0.154922824000719
"ACY1_Q03154_OID20137_v1_Cardiometabolic","leisure_screen_time",3,-0.000116734322027496,0.00543449334704116,0.982862551247932,3,0.000645927543649425,0.00334148825624585,0.846719839761148,3,0.0012622874982363,0.00334478065458881,0.74216730440501,3,-0.0166604871272879,0.021269641249926,0.515480204419213,3,0.0104678633317855,0.00539989848025117,0.303190751780502,NA,NA,NA,NA,"ACY1",-0.000116734322027496,0.00750721198300532
"ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II","leisure_screen_time",12,-0.00533367315465411,0.00750774037894186,0.477441723255855,12,-0.0124054663613175,0.00989487669597905,0.209941534101554,12,-0.00222448716292939,0.0105019666599073,0.836123927831275,12,0.00200233666762367,0.0168450038759471,0.907522721605647,12,-0.0069229955729323,0.0201758116220218,0.738602290380458,NA,NA,NA,NA,"ACY3",-0.00533367315465411,0.321079631018398
