"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","ssoe",11,0.00462313378759843,0.0036050014748556,0.199694593777721,11,0.0061249308212666,0.004296716476384,0.154015309461759,11,0.00621382616563956,0.00417889790650565,0.167862123025663,11,0.00774247226183936,0.00579478180630231,0.211120734904055,11,0.00822166100149654,0.00579349449729517,0.18955555747179,NA,NA,NA,NA,"A1BG",0.00462313378759843,0.699633692386609
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","ssoe",21,0.000607791805265913,0.000532770339751319,0.253947377994618,21,0.000254633877302746,0.000733651104040323,0.728533008151674,21,0.000384171925064524,0.000578220883420059,0.51402016664766,21,0.000284198560237561,0.00107533400862665,0.794261813746828,21,6.62121147784214e-05,0.00102633299601751,0.949235459122555,NA,NA,NA,NA,"AAMDC",0.000607791805265913,0.595256266900544
"AARSD1_Q9BTE6_OID21311_v1_Oncology","ssoe",12,-0.00159771574766963,0.00562547561100772,0.776399390582597,12,-0.00380686630936106,0.00640481690167858,0.552260984931088,12,-0.00262089213681165,0.00659183400670534,0.698534332979364,12,-0.00800658845735157,0.00906450487800926,0.395973653426065,12,0.00683511512691675,0.0351035882904337,0.849516797107742,NA,NA,NA,NA,"AARSD1",-0.00159771574766963,0.109914814173318
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","ssoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","ssoe",12,0.00119485899021365,0.00357028162936385,0.737875547756775,12,-0.00259837846791766,0.00343883383202041,0.449889819041653,12,0.000677411814599807,0.00365974764369619,0.856520880238006,12,-0.00732555914227871,0.00565660440750882,0.221825657268615,12,0.005786867275324,0.00540200594941624,0.309232519580618,NA,NA,NA,NA,"ABHD14B",0.00119485899021365,0.132016881375145
"ABL1_P00519_OID21280_v1_Oncology","ssoe",3,0.00106476988803112,0.00869873205206792,0.902578134000282,3,-0.00316943628264402,0.0102889417120904,0.75804962686456,3,-0.00326308785681948,0.0096246076394876,0.766871077355924,3,-0.00326308785681948,0.010759302968876,0.790315679197351,3,0.326499074694745,0.240722361269862,0.404452633693314,NA,NA,NA,NA,"ABL1",0.00106476988803112,0.0445151919747995
"ACAA1_P09110_OID21269_v1_Oncology","ssoe",7,0.0119336977713637,0.00562806487024076,0.0339730899574971,7,0.0090551017498981,0.00740976089285148,0.221688543376054,7,0.00853447946093065,0.00793898096248253,0.323687609250776,7,0.00559092134456676,0.0104496258891522,0.611863473963057,7,0.0193822570592271,0.0160403783665766,0.280940924790744,NA,NA,NA,NA,"ACAA1",0.0119336977713637,1.46886495090857
"ACADM_P11310_OID31277_v1_Oncology_II","ssoe",8,-0.00620178227958023,0.00544076931250717,0.254339503011968,8,-0.00342216801670873,0.00662108267408613,0.605254395553657,8,-0.00287415899645614,0.00611427001821382,0.652595164631454,8,-0.0198171185644758,0.0124436365344443,0.15528877351766,8,0.0162302806260569,0.0155507183344291,0.336839397267094,NA,NA,NA,NA,"ACADM",-0.00620178227958023,0.594586181673482
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","ssoe",5,0.00478043736969077,0.00451221027510101,0.289397290513106,5,0.00387886873548131,0.00482334269273431,0.421289075834985,5,0.00371386377302981,0.00502472313668656,0.50085934677871,5,0.0028750827754219,0.00772510150569904,0.72864189156302,5,0.00515371417774673,0.00807346575037072,0.568636078144344,NA,NA,NA,NA,"ACADSB",0.00478043736969077,0.538505539287179
"ACAN_P16112_OID20159_v1_Cardiometabolic","ssoe",8,-0.00243785735451673,0.00673461170685641,0.717360028922803,8,0.000190113397537074,0.00808088126561755,0.981230444067326,8,0.000988037424410254,0.00815856579308419,0.907011436751102,8,0.00467231580431896,0.0116530988088926,0.700413198023645,8,-0.00821509601660427,0.0197207918402715,0.69148440150596,NA,NA,NA,NA,"ACAN",-0.00243785735451673,0.144262825739058
