"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","vpa",11,0.00389565680356324,0.00408747324814118,0.340553529756155,11,0.00409325945451937,0.0053117114657006,0.440937966654203,11,0.00276434782981391,0.00544417012839331,0.622630563020594,11,-0.00321476428110246,0.00856272539727758,0.71517629464347,11,0.0102731773146903,0.00645127603410688,0.145753033626031,NA,NA,NA,NA,"A1BG",0.00389565680356324,0.467814613999266
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","vpa",21,-0.000137472415978566,0.000704864065254427,0.845366377319928,21,-0.000525363216322182,0.000810674328901806,0.516948050178618,21,-0.00018182035159918,0.000716712665347854,0.802327401419227,21,0.00131799393159635,0.00137252866798014,0.348387220044567,21,0.000915343514378945,0.00136403607016324,0.51026178202814,NA,NA,NA,NA,"AAMDC",-0.000137472415978566,0.0729550293184538
"AARSD1_Q9BTE6_OID21311_v1_Oncology","vpa",12,0.00321326088174344,0.00672560742304442,0.632817363613969,12,0.00672263125693766,0.0083024121858216,0.418100977810221,12,0.0185625676855653,0.0136119434407441,0.199918477503723,12,0.013951931739032,0.0142530906957748,0.348681850566667,12,-0.0203047484813163,0.0414252092421589,0.634600201599016,NA,NA,NA,NA,"AARSD1",0.00321326088174344,0.198721612920185
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","vpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","vpa",12,-3.51863605735092e-05,0.00333331058383626,0.991577702776879,12,-0.000398301763434423,0.00310406209596403,0.897898666124182,12,0.000134922517991853,0.00317173318499121,0.9668313248354,12,-0.00376803756640165,0.00459404960031892,0.42951750210043,12,0.00539967709495357,0.00484273339770421,0.290926494307534,NA,NA,NA,NA,"ABHD14B",-3.51863605735092e-05,0.00367324760594839
"ABL1_P00519_OID21280_v1_Oncology","vpa",3,-0.00683659255497432,0.00997397856275039,0.493064495641421,3,-0.00650327808088861,0.0116104402007669,0.5753953386408,3,-0.0116538435632186,0.0123163082427084,0.443915862882487,3,-0.00117155124510429,0.0132676522686073,0.937682891282716,3,0.099285159637961,0.281919160765658,0.7844328903209,NA,NA,NA,NA,"ABL1",-0.00683659255497432,0.307096268817789
"ACAA1_P09110_OID21269_v1_Oncology","vpa",7,-0.00760117036706532,0.0102300243995593,0.457466160875605,7,-0.0158424535798789,0.0089335843955004,0.076169214371324,7,-0.0182830475893829,0.00918691240765712,0.093700602916324,7,-0.00876872370425262,0.0144699614341694,0.566721366359399,7,-0.0445038493475135,0.0266216056495573,0.155442049658476,NA,NA,NA,NA,"ACAA1",-0.00760117036706532,0.33964102550688
"ACADM_P11310_OID31277_v1_Oncology_II","vpa",8,-0.00565027880389123,0.00790522317638045,0.474761930223337,8,-0.00283371860602008,0.00725729971683526,0.696193029645343,8,-0.00373615760010082,0.00698962483237659,0.609525456986899,8,-0.0254946597023666,0.0156432247164113,0.147175345995737,8,0.00186181256642264,0.0241748229943954,0.941115931348211,NA,NA,NA,NA,"ACADM",-0.00565027880389123,0.323524113131096
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","vpa",5,0.00366938532308332,0.00527661028304365,0.486801035327974,5,0.00373834197981939,0.00570982421935087,0.512647384324882,5,0.00390578855939868,0.00600746114583516,0.55104385558207,5,0.00769269730078803,0.0101990272024748,0.49266516975642,5,0.00794065693590142,0.00943989030081725,0.462007674497657,NA,NA,NA,NA,"ACADSB",0.00366938532308332,0.312648506783904
"ACAN_P16112_OID20159_v1_Cardiometabolic","vpa",8,-0.000717889576032273,0.0104928595724595,0.945453719638327,8,-0.000632414278831633,0.0118358810332247,0.957387744078979,8,-0.00790312053581832,0.0135345145871806,0.577595071610955,8,0.0271493729049396,0.0244003739750742,0.302598767455784,8,0.0240121617734209,0.031386146276184,0.473246439486468,NA,NA,NA,NA,"ACAN",-0.000717889576032273,0.0243597251982348
