"coding","meaning","beta","se","pvalue","n","outlier_count","outlier_pvalue","heteroscedasticity_pvalue","protein","-LOG10P"
1,"A1BG;Alpha-1B-glycoprotein",-0.000427759531310514,0.0238096748417501,0.985666586078788,8189,2,0.00117519610756233,0.0156706445048759,"A1BG",0.00626996570136264
2,"AAMDC;Mth938 domain-containing protein",0.00237762436911932,0.0253961605298943,0.92541226192623,7961,1,0.151517306654581,0.0414883407554436,"AAMDC",0.0336647502957949
3,"AARSD1;Alanyl-tRNA editing protein Aarsd1",-0.024776321806752,0.0268015200002333,0.355282750665362,9306,1,1.46738001769295,0.00241459163366725,"AARSD1",0.449425877432433
4,"ABCA2;ATP-binding cassette sub-family A member 2",-0.00349161706565265,0.025249439126837,0.890018748064568,7932,1,0.0289680910171289,8.57115697920119e-07,"ABCA2",0.0506008449334794
5,"ABHD14B;Protein ABHD14B",0.0158688374849265,0.0270528920824649,0.557496355300633,9267,1,3.01091456828358,5.57758967385353e-05,"ABHD14B",0.253757967522846
6,"ABL1;Tyrosine-protein kinase ABL1",-0.0129594427125614,0.027252664353706,0.63442087461477,9306,1,0.274320512004587,6.38471500741109e-07,"ABL1",0.197622535682795
7,"ABO;Histo-blood group ABO system transferase",0.0559050996442405,0.0255236631429512,0.0285289138188603,8179,1,0.374405661316684,0.0322809545127615,"ABO",1.54471476291899
8,"ABRAXAS2;BRISC complex subunit Abraxas 2",-0.000498083949215034,0.0250255588831349,0.984121245589558,7932,1,0.601446611014608,0.00140784760955956,"ABRAXAS2",0.00695139237486793
9,"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal",-0.0549532045166224,0.0260415312802621,0.0348671117525308,9127,1,0.153212894329896,0.00579610932582668,"ACAA1",1.4575840262945
10,"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.0388542832241193,0.025322397567799,0.12497470607169,8023,1,0.0579641765296438,0.0858536787210902,"ACADM",0.903177875992401
11,"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-0.0143220698563926,0.0256385423180054,0.576439968053595,8165,1,0.0693810481694636,0.104978423793824,"ACADSB",0.239245914562853
12,"ACAN;Aggrecan core protein",0.0428882443468469,0.024753160754825,0.0831935995455588,9245,1,0.0420843649767024,7.18058248896433e-05,"ACAN",1.07991008463439
13,"ACE;Angiotensin-converting enzyme",-0.0247188390629597,0.0250385472911706,0.323558492637221,8179,1,0.0177257473466124,0.0122734329454876,"ACE",0.490047196499858
14,"ACE2;Angiotensin-converting enzyme 2",-0.0206652678612448,0.0226492000483023,0.361579006756728,9174,2,0.000969314371952844,1.46272198116593e-16,"ACE2",0.441796792561659
15,"ACHE;Acetylcholinesterase",0.0561221090803685,0.0230129900594033,0.0147612920706525,7987,1,0.00918327151089526,1.88201692907163e-22,"ACHE",1.83087562661898
16,"ACOT13;Acyl-coenzyme A thioesterase 13",-0.0264406218728963,0.0256431987700808,0.302526058538626,8149,1,0.275959383316911,0.0771005092606689,"ACOT13",0.519237210789658
17,"ACOX1;Peroxisomal acyl-coenzyme A oxidase 1",-0.00357207963545904,0.0272445712272407,0.895689851555341,9317,1,2.24943399263083,0.268703299335743,"ACOX1",0.0478423464492461
18,"ACP1;Low molecular weight phosphotyrosine protein phosphatase",0.0470175765289419,0.0249073026015854,0.0591023853898646,7946,1,0.21036947661428,5.64827653884406e-08,"ACP1",1.22839499051047
19,"ACP5;Tartrate-resistant acid phosphatase type 5",-0.0999621286645473,0.025938799040755,0.000117092182434287,9360,1,0.150323111969858,0.153572345596585,"ACP5",3.93147209928276
20,"ACP6;Lysophosphatidic acid phosphatase type 6",-0.00891730494430169,0.0276443835976055,0.747026560580902,9406,1,0.378007365815323,0.000268514372919599,"ACP6",0.126663956539817
21,"ACRBP;Acrosin-binding protein",-0.0156747381674511,0.0254854642011894,0.538541453714949,8129,1,0.0412997947921828,0.237191305825191,"ACRBP",0.268780861675651
22,"ACRV1;Acrosomal protein SP-10",0.0224375833736511,0.0163211536599509,0.16924633668763,7946,10,1.81405411262556e-05,2.02037600376824e-172,"ACRV1",0.771480722782054
23,"ACSL1;Long-chain-fatty-acid--CoA ligase 1",-0.0114054386470502,0.0254800748133522,0.654438367777906,7932,1,0.121791336940736,0.0834558290592196,"ACSL1",0.184131247194665
24,"ACTA2;Actin, aortic smooth muscle",-0.0553096873137598,0.0234796309681767,0.0185115180383179,9174,1,0.0373506429390881,1.32081009385911e-25,"ACTA2",1.73255796543769
25,"ACTN2;Alpha-actinin-2",0.0577360498142573,0.0246064950203444,0.0189815815196126,7932,2,0.0353906421005634,1.19408366680792e-12,"ACTN2",1.72166760557435
26,"ACTN4;Alpha-actinin-4",-0.0328823758097037,0.0266721247935034,0.217668258518797,9192,1,0.202141812764026,0.401586752244841,"ACTN4",0.662204897349328
27,"ACVRL1;Serine/threonine-protein kinase receptor R3",-0.00222226929385082,0.0241061446732313,0.926551589408616,9270,1,0.0273779123629541,0.175750993692159,"ACVRL1",0.0331303946162851
28,"ACY1;Aminoacylase-1",-0.0416908664234333,0.0234545771845598,0.0755161875698229,9317,1,0.0070264238268589,1.31510481278465e-07,"ACY1",1.12195994348729
29,"ACY3;N-acyl-aromatic-L-amino acid amidohydrolase",0.00528355846701847,0.0243260858047448,0.828060240404199,7932,1,0.0446192666399548,5.19389761660864e-08,"ACY3",0.0819380676553636
30,"ACYP1;Acylphosphatase-1",-0.00279062505557381,0.0251177960304121,0.911538661624574,7951,1,0.00699311154280472,1.72653329122586e-06,"ACYP1",0.0402249066314563
31,"ADA;Adenosine deaminase",0.135799687375855,0.0276721274955074,9.38157848784952e-07,9419,1,0.267852522602447,5.69158284056244e-07,"ADA",6.02772408370109
32,"ADA2;Adenosine deaminase 2",-0.0552044867129696,0.0255492751332127,0.0307437085621778,9228,1,0.079842922727174,0.205462343720748,"ADA2",1.51224374545881
33,"ADAM12;Disintegrin and metalloproteinase domain-containing protein 12",-0.0896755702464137,0.0239398871904202,0.000181048085302884,7946,1,0.186188832634606,7.2649953875087e-29,"ADAM12",3.74220606375936
34,"ADAM15;Disintegrin and metalloproteinase domain-containing protein 15",0.00566609170531139,0.0261726930696244,0.828611672027942,9174,1,0.0196174449725234,0.230885670379634,"ADAM15",0.0816489534156814
35,"ADAM22;Disintegrin and metalloproteinase domain-containing protein 22",-0.0516688118011167,0.0256451326504306,0.0439585307970841,9283,1,0.0787719605589119,0.518523574975428,"ADAM22",1.35695683120264
36,"ADAM23;Disintegrin and metalloproteinase domain-containing protein 23",0.0463562972767677,0.0272844063817364,0.0893516357249874,9419,1,0.543715504301134,0.532833569802506,"ADAM23",1.04889749262858
37,"ADAM8;Disintegrin and metalloproteinase domain-containing protein 8",-0.0953711403964721,0.0262382858828497,0.000279671755359823,9420,1,2.04558417459485,0.316450891482237,"ADAM8",3.55335139172916
38,"ADAM9;Disintegrin and metalloproteinase domain-containing protein 9",-0.047176973922399,0.0248620304236843,0.0577906189895779,8149,1,0.0151655146853946,0.102361241870048,"ADAM9",1.23814265382366
39,"ADAMTS1;A disintegrin and metalloproteinase with thrombospondin motifs 1",-0.00430799013921933,0.0248253934751565,0.862238024151715,7946,2,0.0273960535864895,0.00360719102419749,"ADAMTS1",0.0643728289477511
40,"ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13",0.0706597757196235,0.0272593715177437,0.00955318072717035,9423,1,1.38751522327752,0.706851323782944,"ADAMTS13",2.0198520061891
41,"ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15",-0.0627581962511675,0.0244504633106263,0.0102812170354693,9306,1,0.000474774468784397,0.679129330246696,"ADAMTS15",1.98795547284037
42,"ADAMTS16;A disintegrin and metalloproteinase with thrombospondin motifs 16",-0.118910185922295,0.0241007699257909,8.20335185153552e-07,9174,1,1.22651276732764,4.27192998811993e-14,"ADAMTS16",6.08600866064173
43,"ADAMTS4;A disintegrin and metalloproteinase with thrombospondin motifs 4",-0.00739295441105979,0.024648677758119,0.764236044743389,7946,1,0.405894082743633,1.44669289777112e-08,"ADAMTS4",0.116772482920846
44,"ADAMTS8;A disintegrin and metalloproteinase with thrombospondin motifs 8",0.137353683995937,0.0265875923391424,2.43973852433344e-07,9381,1,0.0490091308589255,0.00533998982174657,"ADAMTS8",6.61265671608918
45,"ADAMTSL2;ADAMTS-like protein 2",-0.092565646551596,0.023949388009212,0.000111925731522341,8182,1,0.157644567004904,0.000741125924607887,"ADAMTSL2",3.95107005848056
46,"ADAMTSL4;ADAMTS-like protein 4",-0.0251142691600889,0.0244381365191165,0.304137728830806,7961,1,0.172434129409451,6.88209868953557e-10,"ADAMTSL4",0.516929701504453
47,"ADAMTSL5;ADAMTS-like protein 5",0.157723142015697,0.025222223016654,4.21997466029404e-10,8165,1,0.101990717175347,0.00292025883507497,"ADAMTSL5",9.37469015684105
48,"ADCYAP1R1;Pituitary adenylate cyclase-activating polypeptide type I receptor",-0.0192689181766456,0.0267918464471413,0.472031035658618,9127,1,0.423589185071974,0.00426083451565099,"ADCYAP1R1",0.326029445916407
49,"ADD1;Alpha-adducin",0.035552941030364,0.0248863840569716,0.153155495802102,7987,1,0.0585517442385095,1.13209368414298e-05,"ADD1",0.814867414438849
50,"ADGRB3;Adhesion G protein-coupled receptor B3",-0.000824209059493361,0.026318164441195,0.975017314336027,9270,1,0.631613529705434,0.0205720430001431,"ADGRB3",0.0109876720411266
51,"ADGRD1;Adhesion G-protein coupled receptor D1",0.0443073336761522,0.0218952609683437,0.0430442325312552,7987,2,0.0129416687510713,1.84915910409425e-18,"ADGRD1",1.3660850311476
52,"ADGRE1;Adhesion G protein-coupled receptor E1",-0.0349444743607133,0.024875697664912,0.160129780010648,8149,1,0.0271836986026911,0.000294741259320081,"ADGRE1",0.795527892992685
53,"ADGRE2;Adhesion G protein-coupled receptor E2",0.0486705388714882,0.0256917912163416,0.058202656640398,9384,1,1.69576265320806,0.000437323659439867,"ADGRE2",1.23505719167428
