"coding","meaning","beta","se","pvalue","n","outlier_count","outlier_pvalue","heteroscedasticity_pvalue","protein","-LOG10P"
1,"A1BG;Alpha-1B-glycoprotein",-0.00262090155150017,0.00119347617049179,0.0281181044580495,8237,2,0.00101061805026682,0.0235846575519468,"A1BG",1.55101396000915
2,"AAMDC;Mth938 domain-containing protein",0.001939455225602,0.00126966488442346,0.126668054194732,8009,1,0.130652960156762,0.0351491755074344,"AAMDC",0.897332900793785
3,"AARSD1;Alanyl-tRNA editing protein Aarsd1",-0.00180921790539898,0.00132675897594412,0.172714583726217,9372,1,1.39286926490013,0.00250300448105994,"AARSD1",0.76267098979552
4,"ABCA2;ATP-binding cassette sub-family A member 2",-0.00238701355912644,0.00126534389146755,0.0592701136614154,7976,1,0.0251977144732819,6.6293040463357e-07,"ABCA2",1.22716423992012
5,"ABHD14B;Protein ABHD14B",0.00257795283458019,0.00133977507767133,0.0543639152484309,9330,1,3.03596141127767,0.000167544969610802,"ABHD14B",1.26468927325011
6,"ABL1;Tyrosine-protein kinase ABL1",0.00129062802735599,0.00134872377336136,0.338629638509325,9372,1,0.282825369516407,1.2243313133856e-06,"ABL1",0.47027503300283
7,"ABO;Histo-blood group ABO system transferase",0.00109458310849654,0.00127798389655027,0.391750633410331,8228,1,0.327880832480899,0.100716003065941,"ABO",0.406990292660549
8,"ABRAXAS2;BRISC complex subunit Abraxas 2",3.57931036262781e-05,0.00125341656027223,0.977219076737361,7976,1,0.585397717820548,0.000785078473843962,"ABRAXAS2",0.0100080635560495
9,"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal",-0.00242293265542565,0.00128993183393521,0.0603661271171465,9192,1,0.138844682964821,0.00666465846108636,"ACAA1",1.2192066860913
10,"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.000839849155012914,0.00126580483754359,0.507035616332236,8071,1,0.0600952104381261,0.148697080527433,"ACADM",0.294961532908725
11,"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-0.000252744529734234,0.00128256559100472,0.843784156300098,8213,1,0.0712262203623772,0.092681008519146,"ACADSB",0.0737686336069472
12,"ACAN;Aggrecan core protein",-0.000929778832384201,0.00122584843868441,0.448184230657624,9309,1,0.0449660679516513,7.19193365381501e-05,"ACAN",0.348543428164319
13,"ACE;Angiotensin-converting enzyme",0.000849771515035795,0.00125408165074086,0.498041508228192,8228,1,0.0176478827460001,0.00823113581179667,"ACE",0.302734460366319
14,"ACE2;Angiotensin-converting enzyme 2",0.00110840961865818,0.0011250622858701,0.324552454663783,9236,2,0.000779791941594762,2.01926874645529e-17,"ACE2",0.488715101852825
15,"ACHE;Acetylcholinesterase",0.0036648933254137,0.00115424317456639,0.00150326472288202,8038,1,0.00803695212515589,7.38583372249917e-23,"ACHE",2.82296453400825
16,"ACOT13;Acyl-coenzyme A thioesterase 13",-0.000796834396155287,0.00128406989493676,0.534910560636523,8197,1,0.286800504954198,0.0591127920938454,"ACOT13",0.271718827827749
17,"ACOX1;Peroxisomal acyl-coenzyme A oxidase 1",0.000687052675884295,0.00134980596738259,0.610763470050566,9380,1,2.27325735250198,0.30812795905835,"ACOX1",0.21412694612428
18,"ACP1;Low molecular weight phosphotyrosine protein phosphatase",0.00316881727255782,0.00124818598391656,0.0111441524369795,7992,1,0.173247338557402,1.91403537711754e-08,"ACP1",1.95295295598052
19,"ACP5;Tartrate-resistant acid phosphatase type 5",-0.00767483794619488,0.00128492715202148,2.41409389599897e-09,9425,1,0.144124113355967,0.15826400549901,"ACP5",8.61724584205923
20,"ACP6;Lysophosphatidic acid phosphatase type 6",0.00164242353550395,0.00136969881492832,0.230514090809982,9472,1,0.363241890666897,0.000305285976267568,"ACP6",0.637302522014119
