"coding","meaning","beta","se","pvalue","n","outlier_count","outlier_pvalue","heteroscedasticity_pvalue","protein","-LOG10P"
1,"A1BG;Alpha-1B-glycoprotein",0.00798264773164158,0.00482854248770899,0.098324002175614,8254,2,0.00111411330961942,0.0204576891874243,"A1BG",1.00734045225942
2,"AAMDC;Mth938 domain-containing protein",0.00139650053223326,0.00514637616404017,0.786124162202611,8024,1,0.152738591577675,0.0479305075256841,"AAMDC",0.104508855104518
3,"AARSD1;Alanyl-tRNA editing protein Aarsd1",0.0137378942609352,0.00536996308711836,0.0105345599161204,9397,1,1.30846189312546,0.00232770938209545,"AARSD1",1.97738360243771
4,"ABCA2;ATP-binding cassette sub-family A member 2",0.0106521183156371,0.00510543328664335,0.0369715603451224,7994,1,0.0303277550211828,8.08125664639323e-07,"ABCA2",1.43213222010646
5,"ABHD14B;Protein ABHD14B",0.00663037868303694,0.0054242666431324,0.221604310991131,9355,1,2.81587728677936,5.85218897218971e-05,"ABHD14B",0.654421795290861
6,"ABL1;Tyrosine-protein kinase ABL1",0.0106955398443346,0.0054596978619677,0.050142542801068,9397,1,0.262741863038164,1.177779972095e-06,"ABL1",1.29979364611631
7,"ABO;Histo-blood group ABO system transferase",0.00336107808920557,0.00516104679058822,0.514910011042424,8245,1,0.293656761596956,0.0880338177100022,"ABO",0.288268664400737
8,"ABRAXAS2;BRISC complex subunit Abraxas 2",0.00846956871092139,0.00505013231880544,0.0935624212201766,7994,1,0.521155996119885,0.000786484640782284,"ABRAXAS2",1.0288985479899
9,"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal",0.0114550475739493,0.00523118867661345,0.0285666734147836,9216,1,0.129994876099253,0.00579968525016292,"ACAA1",1.54414033020593
10,"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.0021504314367975,0.00512511578535371,0.674798428705769,8087,1,0.0603958648995334,0.181635909918547,"ACADM",0.170825937353227
11,"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",0.00384604111419332,0.00518350263036235,0.458122324124237,8230,1,0.0677054608296534,0.135498201645715,"ACADSB",0.339018544705595
12,"ACAN;Aggrecan core protein",-0.0111560355493896,0.0049749785766186,0.0249570924172043,9333,1,0.0364187479038439,4.15001932176245e-05,"ACAN",1.60280601276838
13,"ACE;Angiotensin-converting enzyme",-0.00196724394827946,0.00506211204480415,0.697566451867436,8245,1,0.0169201308849574,0.00633306893006009,"ACE",0.156414414140853
14,"ACE2;Angiotensin-converting enzyme 2",0.000573052318151567,0.00455136454262077,0.899807642690789,9260,2,0.000880328662321574,1.3957528317185e-17,"ACE2",0.0458503223903448
15,"ACHE;Acetylcholinesterase",-0.000116189518363042,0.00466371580160608,0.980124571705669,8053,1,0.0107154932101694,1.68467338837401e-21,"ACHE",0.00871872291344365
16,"ACOT13;Acyl-coenzyme A thioesterase 13",0.00203634286575713,0.00518193581741591,0.694352206461729,8214,1,0.283516241906,0.0770076906887494,"ACOT13",0.15842018009003
17,"ACOX1;Peroxisomal acyl-coenzyme A oxidase 1",0.00441018445295075,0.00547407782798956,0.42046575885746,9405,1,2.27277653541705,0.303449001066413,"ACOX1",0.376269365727546
18,"ACP1;Low molecular weight phosphotyrosine protein phosphatase",-0.00587177855653553,0.00504544487815474,0.244548662930241,8009,1,0.197016097827724,2.06662269064713e-08,"ACP1",0.611634707341189
19,"ACP5;Tartrate-resistant acid phosphatase type 5",0.0128796478513686,0.00520978611846622,0.0134458377050541,9450,1,0.149728222313287,0.202245736009459,"ACP5",1.87141213510307
20,"ACP6;Lysophosphatidic acid phosphatase type 6",0.00538184811923239,0.00554923994009284,0.332153393830603,9497,1,0.409428175172995,0.000358565425796881,"ACP6",0.4786613057262
21,"ACRBP;Acrosin-binding protein",0.0063708107062672,0.00516566883360641,0.217499930434415,8194,1,0.0434005415499373,0.270727582057877,"ACRBP",0.662540877614882
22,"ACRV1;Acrosomal protein SP-10",-0.00130601053854353,0.00330750884593796,0.692955052753824,8009,10,1.69634014243385e-05,1.87910738010132e-173,"ACRV1",0.15929493418192
23,"ACSL1;Long-chain-fatty-acid--CoA ligase 1",0.00356704198324322,0.00514078156301318,0.487782979586331,7994,1,0.125521225268494,0.0999190331823718,"ACSL1",0.311773357775258
24,"ACTA2;Actin, aortic smooth muscle",0.0180466956960298,0.00472285381489767,0.000133705526215924,9260,1,0.0322304889498995,2.31255208565539e-26,"ACTA2",3.87385064243522
25,"ACTN2;Alpha-actinin-2",-0.0226414448461899,0.00496766042796457,5.24696747387407e-06,7994,2,0.0325722518167971,1.5699961116637e-12,"ACTN2",5.28009162799926
26,"ACTN4;Alpha-actinin-4",0.00991660034566782,0.00535277679431666,0.0639702620405008,9280,1,0.197969386165802,0.327182688465089,"ACTN4",1.19402187028431
27,"ACVRL1;Serine/threonine-protein kinase receptor R3",0.00413851467854039,0.00482780974726718,0.391343056735066,9358,1,0.0255883454315976,0.126737126458674,"ACVRL1",0.407442367091056
28,"ACY1;Aminoacylase-1",0.0220876273349004,0.00470933002775696,2.7681120962278e-06,9405,1,0.00940856949044646,6.73769946649205e-08,"ACY1",5.55781632686432
29,"ACY3;N-acyl-aromatic-L-amino acid amidohydrolase",-0.00175027752064717,0.00493387482111316,0.722788478836337,7994,1,0.0452758464369222,6.38550734652566e-09,"ACY3",0.140988778659089
30,"ACYP1;Acylphosphatase-1",0.00307173134896809,0.00509144510766115,0.54631806792566,8017,1,0.00677874625559556,1.26250785598885e-06,"ACYP1",0.262554436185661
31,"ADA;Adenosine deaminase",-0.0131311286659156,0.00555289254706409,0.0180628986133211,9508,1,0.246387477972386,1.43424786556064e-05,"ADA",1.74321255575235
32,"ADA2;Adenosine deaminase 2",0.00609714530377899,0.00513221702962313,0.234858255130038,9318,1,0.0787118867714643,0.09130283638213,"ADA2",0.629194170015908
33,"ADAM12;Disintegrin and metalloproteinase domain-containing protein 12",0.0244500315267815,0.00485342163232862,4.81503578514786e-07,8009,1,0.294977460812063,2.56476247340947e-32,"ADAM12",6.31740048086873
34,"ADAM15;Disintegrin and metalloproteinase domain-containing protein 15",0.0111503537167267,0.0052619529249011,0.0341126335161704,9260,1,0.0173733435965292,0.205899095290565,"ADAM15",1.46708475149874
35,"ADAM22;Disintegrin and metalloproteinase domain-containing protein 22",0.0139387790562686,0.00514167781923461,0.0067215245217298,9371,1,0.0783020283023009,0.582822530355992,"ADAM22",2.1725322126182
