"coding","meaning","beta","se","pvalue","n","outlier_count","outlier_pvalue","heteroscedasticity_pvalue","protein","-LOG10P"
1,"A1BG;Alpha-1B-glycoprotein",-0.0200109359972195,0.00573913287431695,0.000489527024659519,34773,3,0.0045720012820413,1.73559121437867e-10,"A1BG",3.31022332768815
2,"AAMDC;Mth938 domain-containing protein",-0.000362976927347035,0.00610303990331172,0.952574307380528,33861,1,0.0478021270128285,5.89736224389133e-11,"AAMDC",0.021101136359321
3,"AARSD1;Alanyl-tRNA editing protein Aarsd1",-0.017703506022345,0.00660779280015358,0.00738325953039448,38703,1,0.133671984198469,1.89985556339703e-14,"AARSD1",2.13175186533926
4,"ABCA2;ATP-binding cassette sub-family A member 2",-0.0147712464815756,0.00605054084623938,0.0146391993663426,33663,1,0.09800274457623,1.67507348719653e-21,"ABCA2",1.83448267466339
5,"ABHD14B;Protein ABHD14B",0.000244780115776794,0.00664969441013372,0.970636108152165,38518,1,0.233747397845689,3.30587891999378e-18,"ABHD14B",0.0129435567467253
6,"ABL1;Tyrosine-protein kinase ABL1",-0.00661821009584474,0.00668884378021741,0.322454063239932,38703,1,0.386405873126627,1.49315566978234e-24,"ABL1",0.491532146152402
7,"ABO;Histo-blood group ABO system transferase",0.000291118426223708,0.00622262678098304,0.962685771180442,34757,1,0.110585897947801,0.283038574664549,"ABO",0.0165154471559412
8,"ABRAXAS2;BRISC complex subunit Abraxas 2",-0.00736916407005026,0.00610335738622442,0.227288492065471,33663,1,0.254492103740951,3.60629045509524e-17,"ABRAXAS2",0.64342255265596
9,"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal",-0.0257325954464817,0.0064289387176105,6.27636670637047e-05,38061,1,0.485158481238506,2.75127230347686e-08,"ACAA1",4.20229169002127
10,"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.00553130804871228,0.00618346344902534,0.371043440604622,34147,1,0.0818225944496083,4.80500882716392e-06,"ACADM",0.430575241569731
11,"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-0.00272802212740333,0.00618805624097742,0.659322283102855,34781,1,0.132846694636591,6.23166491452035e-06,"ACADSB",0.180902246165786
12,"ACAN;Aggrecan core protein",0.0128042385246257,0.00610898922415521,0.036091672468216,38378,1,0.228047854358899,8.36466600798368e-22,"ACAN",1.44259299250719
13,"ACE;Angiotensin-converting enzyme",0.00748867023035349,0.00615671622052152,0.223863073977138,34757,1,0.0350920341463944,4.13896110788489e-13,"ACE",0.650017537017309
14,"ACE2;Angiotensin-converting enzyme 2",-0.0193957169376807,0.00565591004206463,0.000605818285425138,38118,8,0.000288250928242085,1.23017691512736e-75,"ACE2",3.21765762248651
