"coding","meaning","beta","se","pvalue","n","outlier_count","outlier_pvalue","heteroscedasticity_pvalue","protein","-LOG10P"
1,"A1BG;Alpha-1B-glycoprotein",-0.0831150857699258,0.00927994788490855,3.52632931075168e-19,32864,3,0.00382880436185939,1.20391649132063e-09,"A1BG",18.4526771329998
2,"AAMDC;Mth938 domain-containing protein",-0.0223929956827803,0.00983275109639247,0.0227695975668226,32004,2,0.0468190193308465,2.24502397771594e-10,"AAMDC",1.64264464510083
3,"AARSD1;Alanyl-tRNA editing protein Aarsd1",-0.0229043464105081,0.0106729756836052,0.0318785103521445,36465,1,0.282785326578539,8.73126268246498e-12,"AARSD1",1.49650198090701
4,"ABCA2;ATP-binding cassette sub-family A member 2",-0.0156264964334205,0.0097353251830255,0.108474374136288,31776,1,0.0806520374869331,5.55580291217799e-24,"ABCA2",0.964672846936853
5,"ABHD14B;Protein ABHD14B",-0.0315693531720235,0.0107327837520771,0.00326944474929068,36270,1,0.189435180764716,8.30732950812252e-17,"ABHD14B",2.48552599742981
6,"ABL1;Tyrosine-protein kinase ABL1",-0.0412803049452115,0.0107497468809088,0.00012318267299127,36465,1,0.35082977714782,2.07321782825915e-29,"ABL1",3.90945037620969
7,"ABO;Histo-blood group ABO system transferase",0.018948660931481,0.0100234683543193,0.0587093344823844,32833,1,0.0938689821319012,0.257765350257429,"ABO",1.23129284267235
8,"ABRAXAS2;BRISC complex subunit Abraxas 2",-0.0305370836663236,0.00980702398137056,0.00184860538496242,31776,1,0.249096165504645,4.71538275068548e-17,"ABRAXAS2",2.73315578620364
9,"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal",-0.0730053206589354,0.0103640209698564,1.9000733387776e-12,35873,1,0.447809795523812,1.33446266224326e-08,"ACAA1",11.7212296358831
10,"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.00601671420599984,0.00993323832678319,0.544708100754054,32262,1,0.225244672957979,1.67118408931197e-06,"ACADM",0.263836165966771
11,"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-0.0123951748360002,0.0100081634805379,0.215537194626964,32845,1,0.136563816364747,9.71407104758467e-06,"ACADSB",0.666477774100037
12,"ACAN;Aggrecan core protein",-0.0064962582746372,0.0099377586457315,0.513312799839019,36154,1,0.234538969413291,1.29916718044468e-25,"ACAN",0.28961790614612
13,"ACE;Angiotensin-converting enzyme",0.0294481188714307,0.00995742627397433,0.00310463692821829,32833,1,0.038596645713851,4.18473846653726e-12,"ACE",2.50798918108834
14,"ACE2;Angiotensin-converting enzyme 2",-0.0465797183028411,0.00920392520128275,4.19442023877746e-07,35898,9,0.000308252093252282,1.0057278189936e-79,"ACE2",6.37732805974594
15,"ACHE;Acetylcholinesterase",0.0491391270539059,0.00928572640344402,1.21846852363236e-07,32092,1,0.109626435364016,8.96269394981021e-98,"ACHE",6.91418568534618
