"coding","meaning","beta","se","pvalue","n","outlier_count","outlier_pvalue","heteroscedasticity_pvalue","protein","-LOG10P"
1,"A1BG;Alpha-1B-glycoprotein",-0.0741548994219803,0.0105451166755213,2.08770455798877e-12,24232,3,0.00269552303833637,2.66553704633664e-09,"A1BG",11.6803309606092
2,"AAMDC;Mth938 domain-containing protein",-0.00211836104375212,0.0111991003356602,0.849973299453683,23578,1,0.0371178888758742,2.14838167551279e-06,"AAMDC",0.0705947167351904
3,"AARSD1;Alanyl-tRNA editing protein Aarsd1",-0.0361012384848067,0.0121784747908572,0.0030359039925391,26960,1,0.107899635502889,5.45889360664923e-09,"AARSD1",2.51771196669282
4,"ABCA2;ATP-binding cassette sub-family A member 2",-0.0245662826179056,0.0110817303959342,0.0266444618671033,23437,1,0.0634235137432391,2.62055244902758e-14,"ABCA2",1.57439304669376
5,"ABHD14B;Protein ABHD14B",-0.0182321436400842,0.0121940417005169,0.134882326791809,26799,1,0.153467251819892,8.93645583428553e-12,"ABHD14B",0.870044950844131
6,"ABL1;Tyrosine-protein kinase ABL1",-0.0151567036375224,0.0122143896741027,0.214657504893188,26960,1,0.26072335817335,3.98180560951977e-20,"ABL1",0.668253923039555
7,"ABO;Histo-blood group ABO system transferase",0.0223401326963759,0.0114369086230833,0.0507912233208015,24220,1,0.0558029177937738,0.530557827924916,"ABO",1.29421132694152
8,"ABRAXAS2;BRISC complex subunit Abraxas 2",-0.0154991641634404,0.0112011418865352,0.166459578677086,23437,1,0.289039064756837,7.04364232767846e-13,"ABRAXAS2",0.77869120893681
9,"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal",-0.046735810856787,0.0117896636552244,7.38559636709912e-05,26511,1,0.316074407633603,3.23941107294831e-05,"ACAA1",4.13161443082145
10,"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.0277916688863592,0.011362036913882,0.0144518475743111,23799,1,0.577422967627853,0.000521054454249861,"ACADM",1.84007662764544
11,"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-0.0147172768013361,0.0113806617246919,0.195960156767877,24228,1,0.170407885054094,1.44742915269232e-06,"ACADSB",0.707832221780533
12,"ACAN;Aggrecan core protein",-0.00590377238843881,0.011243241185682,0.599521346303242,26723,1,0.763003858251291,1.14530887638368e-16,"ACAN",0.222195348984377
13,"ACE;Angiotensin-converting enzyme",0.0239552496347877,0.0113568313112218,0.0349267684975122,24220,1,0.0231913048882446,7.16911984093809e-11,"ACE",1.4568415943973
14,"ACE2;Angiotensin-converting enzyme 2",-0.024836752974934,0.0105174325069944,0.0182091292260145,26518,6,0.000252139609560836,2.7236362563101e-50,"ACE2",1.73971082199086
15,"ACHE;Acetylcholinesterase",0.0565550962637094,0.0106489060689838,1.1007954080878e-07,23689,1,0.00679489213739578,1.17043697514869e-73,"ACHE",6.95829339074218
16,"ACOT13;Acyl-coenzyme A thioesterase 13",-0.0249266006411844,0.0113194524999798,0.0276674650673149,24124,1,0.0980474697612187,0.0124056135526758,"ACOT13",1.55803062971734
17,"ACOX1;Peroxisomal acyl-coenzyme A oxidase 1",-0.0118380352327413,0.012394100222733,0.339518162086554,26924,1,0.632455835114487,0.209040486041706,"ACOX1",0.469136988738427
18,"ACP1;Low molecular weight phosphotyrosine protein phosphatase",0.0356328675189572,0.0112196882268617,0.00149553561965243,23501,1,0.32473455259688,1.10768806510308e-17,"ACP1",2.82520323877825
19,"ACP5;Tartrate-resistant acid phosphatase type 5",-0.15650813751137,0.0117998876557469,5.02300568175527e-40,27104,1,0.356362982160938,0.636299943736809,"ACP5",39.2990363305895
20,"ACP6;Lysophosphatidic acid phosphatase type 6",-0.0133959662152923,0.0125436680338977,0.285554129809376,27214,1,1.44180127483956,2.91312900505286e-15,"ACP6",0.544311554496045
21,"ACRBP;Acrosin-binding protein",-0.0233755202033721,0.011349562136317,0.0394478303374507,24120,1,0.71143235414168,0.00263122568049111,"ACRBP",1.40397687834519
22,"ACRV1;Acrosomal protein SP-10",0.0235320970702866,0.00723951214305912,0.00115360954980391,23501,10,0.000173425487877457,0,"ACRV1",2.93794115743569
23,"ACSL1;Long-chain-fatty-acid--CoA ligase 1",0.0104723542199531,0.0113015625620032,0.354128804874798,23437,1,0.0470107162074857,0.0586824970952493,"ACSL1",0.450838746245592
24,"ACTA2;Actin, aortic smooth muscle",-0.0121602496992983,0.0105942847240464,0.251056443437084,26518,1,0.0660105121394087,1.60223774062253e-66,"ACTA2",0.600228627851636
25,"ACTN2;Alpha-actinin-2",0.118322783106806,0.0109833921404177,5.34842963527622e-27,23437,1,0.00416767803775223,1.17072386802209e-28,"ACTN2",26.271773713464
26,"ACTN4;Alpha-actinin-4",-0.0310097542908569,0.0121658127327516,0.0108111037803835,26565,1,0.354136504881364,0.365878653714883,"ACTN4",1.96612996365464
27,"ACVRL1;Serine/threonine-protein kinase receptor R3",-0.0224523143473394,0.0109316628029155,0.0399970779159248,26791,1,0.0421722193099653,6.70838144786953e-07,"ACVRL1",1.39797173595566
28,"ACY1;Aminoacylase-1",-0.0517139279787112,0.0107723066438256,1.59011074145321e-06,26924,3,0.0202889991793297,3.06202206936784e-17,"ACY1",5.79857262868127
29,"ACY3;N-acyl-aromatic-L-amino acid amidohydrolase",-0.0104326342975182,0.0110368908841804,0.344540399677347,23437,1,0.0879975845999866,6.9812652736214e-11,"ACY3",0.462759846823854
30,"ACYP1;Acylphosphatase-1",-0.0126170685155836,0.0111213584639009,0.256600656689714,23589,1,0.0536978875374482,4.8167039032624e-22,"ACYP1",0.590742236517777
31,"ADA;Adenosine deaminase",0.0743648886775587,0.0124237994039615,2.18181305602058e-09,27250,1,0.70505957741953,4.16576834720179e-07,"ADA",8.66118246374622
32,"ADA2;Adenosine deaminase 2",-0.0626955008031927,0.0117255998741766,9.02115945613389e-08,26750,1,0.346777449373819,0.000259725378363518,"ADA2",7.04473764061325
33,"ADAM12;Disintegrin and metalloproteinase domain-containing protein 12",-0.0857987363896189,0.0105259321784404,3.78236428106445e-16,23501,1,0.0120372148734669,6.70983954725767e-92,"ADAM12",15.4222366463959
34,"ADAM15;Disintegrin and metalloproteinase domain-containing protein 15",0.0152656735169049,0.0119485027053881,0.201393824928047,26518,1,0.0966649659362295,2.47723386395318e-06,"ADAM15",0.695953849774399
35,"ADAM22;Disintegrin and metalloproteinase domain-containing protein 22",-0.118454087533548,0.0117808169843263,9.63737649097858e-24,26841,1,0.0434190217446377,0.349629179879439,"ADAM22",23.0160411746614
36,"ADAM23;Disintegrin and metalloproteinase domain-containing protein 23",0.00884427739559948,0.0124460748159385,0.477333415678606,27250,1,0.833947018750154,0.000341977830271951,"ADAM23",0.321178161827237
