coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
1,-0.00042776,0.023809675,0.985666586,8189,2,0.001175196,0.015670645,A1BG,0.006269966
2,0.002377624,0.025396161,0.925412262,7961,1,0.151517307,0.041488341,AAMDC,0.03366475
3,-0.024776322,0.02680152,0.355282751,9306,1,1.467380018,0.002414592,AARSD1,0.449425877
4,-0.003491617,0.025249439,0.890018748,7932,1,0.028968091,8.57E-07,ABCA2,0.050600845
5,0.015868837,0.027052892,0.557496355,9267,1,3.010914568,5.58E-05,ABHD14B,0.253757968
6,-0.012959443,0.027252664,0.634420875,9306,1,0.274320512,6.38E-07,ABL1,0.197622536
7,0.0559051,0.025523663,0.028528914,8179,1,0.374405661,0.032280955,ABO,1.544714763
8,-0.000498084,0.025025559,0.984121246,7932,1,0.601446611,0.001407848,ABRAXAS2,0.006951392
9,-0.054953205,0.026041531,0.034867112,9127,1,0.153212894,0.005796109,ACAA1,1.457584026
10,-0.038854283,0.025322398,0.124974706,8023,1,0.057964177,0.085853679,ACADM,0.903177876
11,-0.01432207,0.025638542,0.576439968,8165,1,0.069381048,0.104978424,ACADSB,0.239245915
12,0.042888244,0.024753161,0.0831936,9245,1,0.042084365,7.18E-05,ACAN,1.079910085
13,-0.024718839,0.025038547,0.323558493,8179,1,0.017725747,0.012273433,ACE,0.490047196
14,-0.020665268,0.0226492,0.361579007,9174,2,0.000969314,1.46E-16,ACE2,0.441796793
15,0.056122109,0.02301299,0.014761292,7987,1,0.009183272,1.88E-22,ACHE,1.830875627
16,-0.026440622,0.025643199,0.302526059,8149,1,0.275959383,0.077100509,ACOT13,0.519237211
17,-0.00357208,0.027244571,0.895689852,9317,1,2.249433993,0.268703299,ACOX1,0.047842346
18,0.047017577,0.024907303,0.059102385,7946,1,0.210369477,5.65E-08,ACP1,1.228394991
19,-0.099962129,0.025938799,0.000117092,9360,1,0.150323112,0.153572346,ACP5,3.931472099
20,-0.008917305,0.027644384,0.747026561,9406,1,0.378007366,0.000268514,ACP6,0.126663957
21,-0.015674738,0.025485464,0.538541454,8129,1,0.041299795,0.237191306,ACRBP,0.268780862
22,0.022437583,0.016321154,0.169246337,7946,10,1.81E-05,2.02E-172,ACRV1,0.771480723
23,-0.011405439,0.025480075,0.654438368,7932,1,0.121791337,0.083455829,ACSL1,0.184131247
24,-0.055309687,0.023479631,0.018511518,9174,1,0.037350643,1.32E-25,ACTA2,1.732557965
25,0.05773605,0.024606495,0.018981582,7932,2,0.035390642,1.19E-12,ACTN2,1.721667606
26,-0.032882376,0.026672125,0.217668259,9192,1,0.202141813,0.401586752,ACTN4,0.662204897
27,-0.002222269,0.024106145,0.926551589,9270,1,0.027377912,0.175750994,ACVRL1,0.033130395
28,-0.041690866,0.023454577,0.075516188,9317,1,0.007026424,1.32E-07,ACY1,1.121959943
29,0.005283558,0.024326086,0.82806024,7932,1,0.044619267,5.19E-08,ACY3,0.081938068
30,-0.002790625,0.025117796,0.911538662,7951,1,0.006993112,1.73E-06,ACYP1,0.040224907
31,0.135799687,0.027672127,9.38E-07,9419,1,0.267852523,5.69E-07,ADA,6.027724084
32,-0.055204487,0.025549275,0.030743709,9228,1,0.079842923,0.205462344,ADA2,1.512243745
33,-0.08967557,0.023939887,0.000181048,7946,1,0.186188833,7.26E-29,ADAM12,3.742206064
34,0.005666092,0.026172693,0.828611672,9174,1,0.019617445,0.23088567,ADAM15,0.081648953
35,-0.051668812,0.025645133,0.043958531,9283,1,0.078771961,0.518523575,ADAM22,1.356956831
36,0.046356297,0.027284406,0.089351636,9419,1,0.543715504,0.53283357,ADAM23,1.048897493
37,-0.09537114,0.026238286,0.000279672,9420,1,2.045584175,0.316450891,ADAM8,3.553351392
38,-0.047176974,0.02486203,0.057790619,8149,1,0.015165515,0.102361242,ADAM9,1.238142654
39,-0.00430799,0.024825393,0.862238024,7946,2,0.027396054,0.003607191,ADAMTS1,0.064372829
40,0.070659776,0.027259372,0.009553181,9423,1,1.387515223,0.706851324,ADAMTS13,2.019852006
41,-0.062758196,0.024450463,0.010281217,9306,1,0.000474774,0.67912933,ADAMTS15,1.987955473
42,-0.118910186,0.02410077,8.20E-07,9174,1,1.226512767,4.27E-14,ADAMTS16,6.086008661
43,-0.007392954,0.024648678,0.764236045,7946,1,0.405894083,1.45E-08,ADAMTS4,0.116772483
44,0.137353684,0.026587592,2.44E-07,9381,1,0.049009131,0.00533999,ADAMTS8,6.612656716
45,-0.092565647,0.023949388,0.000111926,8182,1,0.157644567,0.000741126,ADAMTSL2,3.951070058
46,-0.025114269,0.024438137,0.304137729,7961,1,0.172434129,6.88E-10,ADAMTSL4,0.516929702
47,0.157723142,0.025222223,4.22E-10,8165,1,0.101990717,0.002920259,ADAMTSL5,9.374690157
48,-0.019268918,0.026791846,0.472031036,9127,1,0.423589185,0.004260835,ADCYAP1R1,0.326029446
49,0.035552941,0.024886384,0.153155496,7987,1,0.058551744,1.13E-05,ADD1,0.814867414
50,-0.000824209,0.026318164,0.975017314,9270,1,0.63161353,0.020572043,ADGRB3,0.010987672
51,0.044307334,0.021895261,0.043044233,7987,2,0.012941669,1.85E-18,ADGRD1,1.366085031
52,-0.034944474,0.024875698,0.16012978,8149,1,0.027183699,0.000294741,ADGRE1,0.795527893
53,0.048670539,0.025691791,0.058202657,9384,1,1.695762653,0.000437324,ADGRE2,1.235057192
54,0.044616989,0.025550341,0.080802356,9366,1,0.113700899,0.000310081,ADGRE5,1.092575975
55,-0.047892528,0.025326781,0.05866197,8165,1,0.139796043,2.30E-17,ADGRF5,1.231643357
56,-0.139604235,0.025228009,3.22E-08,9306,1,0.673512561,0.001690754,ADGRG1,7.49205998
57,0.191772967,0.023358534,2.51E-16,9317,1,0.003168942,3.60E-06,ADGRG2,15.60080801
58,0.007931684,0.02543681,0.755186227,7919,1,0.285763526,0.184426752,ADGRV1,0.121945939
59,-0.044333047,0.023129535,0.055308097,7987,1,0.023094054,5.94E-25,ADH1B,1.257211285
60,-0.072460387,0.023858506,0.002395478,9174,1,0.278146607,2.15E-21,ADH4,2.620607853
61,0.001656188,0.020385811,0.935251337,8189,3,0.003086612,5.02E-46,ADIPOQ,0.029071662
62,-0.139704748,0.022004855,2.27E-10,9416,1,0.018948655,0.056635448,ADM,9.643948417
63,-0.024035975,0.025062783,0.337572643,7932,1,0.155485127,0.548733036,ADRA2A,0.471632756
64,-0.032451593,0.025314521,0.199902421,7987,1,0.111353133,0.201011552,AFAP1,0.699181946
65,-0.013850273,0.023075377,0.548377142,8189,1,0.01857201,0.000636422,AFM,0.260920656
66,0.011872493,0.026578635,0.655107119,9262,1,1.632749168,0.00038748,AFP,0.183687681
67,0.01442081,0.025109017,0.565762255,7919,1,0.516216581,0.342305069,AGBL2,0.24736603
68,0.025610857,0.025234397,0.310171036,9327,1,0.53869342,0.004889476,AGER,0.508398759
69,-0.033681451,0.02558701,0.188089806,9136,1,0.258604067,0.214001608,AGR2,0.725634742
70,0.022021568,0.026366463,0.403620682,9114,1,1.536949975,0.00666288,AGR3,0.394026588
71,-0.033522418,0.025197107,0.183416455,9384,1,0.610566964,0.150667426,AGRN,0.736561704
72,-0.045522081,0.026957128,0.091313096,9419,1,0.764552725,0.843605964,AGRP,1.039466934
73,0.012731325,0.024796608,0.607664381,8179,1,0.060447793,8.50E-11,AGT,0.21633622
