coding,beta,se,pvalue,n,-Log10P,protein
1,-0.00271173715251057,0.00119386486578977,0.023148893158217,8235,1.63546976951732,A1BG
2,0.00161661554594466,0.00127061559642047,0.203300399601104,8007,0.691861767725051,AAMDC
3,-0.00273382994720752,0.00133273967936974,0.0402669115130634,9370,1.39505167966181,AARSD1
4,-0.00253907200259372,0.00126660868054195,0.0450372512469141,7974,1.34642812359024,ABCA2
5,0.00194780722307052,0.00134107716514506,0.14641856278281,9328,0.834403860414963,ABHD14B
6,0.000526159701191273,0.00134980404629607,0.696689984473988,9370,0.156960432782419,ABL1
7,0.00130158210388825,0.00127877574629512,0.308786590719246,8226,0.510341567478408,ABO
8,-0.000270289243672272,0.00125439523179421,0.829403497662997,7974,0.0812341375124684,ABRAXAS2
9,-0.0028883499842293,0.00129102776795938,0.0252940170974383,9190,1.59698219221717,ACAA1
10,-0.00112076683863999,0.00126595574063934,0.376014371020681,8069,0.424795556307149,ACADM
11,-0.000500536364837339,0.00128318226993339,0.696491777800446,8211,0.157084006127272,ACADSB
12,-0.000833128243886899,0.00122791739604932,0.497478696935153,9307,0.303225511906393,ACAN
13,-1.22525031682577e-06,0.00126278793415897,0.999225857037183,8226,0.000336336219918161,ACE
14,0.000440549226059059,0.00113043725062429,0.696755734864224,9234,0.156919448004487,ACE2
15,0.0032144308832896,0.00115700165353851,0.00547809197725506,8036,2.2613706802093,ACHE
16,-0.00109080624592437,0.00128476619488483,0.395888923692725,8195,0.402426648908119,ACOT13
17,0.000448200501816081,0.00135023666645828,0.739940349835508,9378,0.130803289433144,ACOX1
18,0.0030144821669348,0.00124952802878022,0.0158661063841663,7990,1.79952963804294,ACP1
19,-0.00783720656384464,0.00128663128629493,1.16414179726304e-09,9423,8.93399411760857,ACP5
20,0.00184602584328584,0.00137014993582906,0.177910552967324,9470,0.749798290479605,ACP6
21,-0.000667414606650654,0.00128062750742499,0.602267949707477,8175,0.220210247630587,ACRBP
22,0.00233710044929651,0.000818795639996208,0.00432409768762982,7990,2.36410450326652,ACRV1
23,-0.000656984523665388,0.00127602745960491,0.606660208777266,7974,0.217054489768641,ACSL1
24,-0.00337702050440554,0.00117146435888874,0.00395151148837977,9234,2.40323675108204,ACTA2
25,0.00663045825113195,0.00123358853421827,7.87809918994799e-08,7974,7.10357855546698,ACTN2
26,-0.00225916863356847,0.00132100848926258,0.0872652808036826,9254,1.05915850949605,ACTN4
27,-0.00111257358079455,0.00119641828704315,0.352436477622626,9331,0.452919147903701,ACVRL1
28,-0.00393843688336265,0.00116867472393029,0.000754711502731954,9378,3.12221903077587,ACY1
29,0.000509674614796547,0.00122801844035973,0.678125095268185,7974,0.168690183458371,ACY3
30,1.61981098065168e-05,0.00126285345863964,0.989766458969493,8000,0.00446726757000337,ACYP1
31,0.00856875619410848,0.00137035977388113,4.20243586195968e-10,9481,9.37649890608827,ADA
32,-0.00283632196165629,0.00126931561362682,0.0254720401289349,9291,1.59393626974954,ADA2
33,-0.00610101820247813,0.00120249255649107,3.99077437476082e-07,7990,6.39894282510153,ADAM12
34,-0.000258807556777859,0.00130167643502484,0.842402978264248,9234,0.0744801063982559,ADAM15
35,-0.00690137336073875,0.00126943542967208,5.56869443886548e-08,9344,7.25424661173052,ADAM22
36,0.000742244138276436,0.00135147824986377,0.582874922607693,9481,0.234424629201709,ADAM23
37,-0.00527269066565159,0.00129902523549083,4.96882384100751e-05,9485,4.30374639996095,ADAM8
38,-0.00229846299779992,0.00124748964940257,0.0654425109748167,8195,1.18414004549832,ADAM9
39,-0.0027878574253305,0.00124460242652215,0.0251210736229357,7990,1.59996180368672,ADAMTS1
40,0.00370063404307779,0.00135154649512771,0.00619156514964988,9487,2.20819955292904,ADAMTS13
41,-0.00239034388527114,0.00121098682362078,0.0484246509424774,9370,1.31493350110554,ADAMTS15
42,-0.00836488752747426,0.00120015657811952,3.39101058861869e-12,9234,11.4696708541112,ADAMTS16
43,-0.000870303732743207,0.00123738834737289,0.481864917866631,7990,0.317074691319769,ADAMTS4
44,0.0114036276815909,0.00131468109275914,4.86015492185505e-18,9445,17.3133498869858,ADAMTS8
45,-0.00487982200098472,0.00120436646476828,5.12987857963943e-05,8229,4.28989291418967,ADAMTSL2
46,0.00314785644774216,0.00122299742676096,0.0100741780508842,8007,1.99679037769578,ADAMTSL4
47,0.0107092871919813,0.00125927335670661,2.14962992043451e-17,8211,16.6676363016413,ADAMTSL5
48,0.000432783377950431,0.00132336084230363,0.743649979647862,9190,0.128631429610404,ADCYAP1R1
49,0.00241912239241885,0.00124688690480714,0.0523989259556146,8036,1.28067761485464,ADD1
50,-0.00208237951156863,0.00130415209619869,0.110359697022313,9331,0.957189500488233,ADGRB3
51,0.00246066983572974,0.00110023343602673,0.025346549996577,8036,1.59608114557779,ADGRD1
52,-0.00187049266585639,0.00124637728280677,0.1334605004085,8195,0.874647251100392,ADGRE1
53,0.00315929844466299,0.00127552191765915,0.0132715193969215,9446,1.87707935385562,ADGRE2
54,0.00231762043031671,0.00127200597359317,0.0684836521489698,9429,1.16441308732256,ADGRE5
55,-0.00288650274500439,0.00126807643172458,0.0228546622486358,8211,1.64102519242924,ADGRF5
56,-0.0069883958053279,0.00125697435321229,2.77669453502565e-08,9370,7.55647189448438,ADGRG1
57,0.0177779513873163,0.00114799295308308,1.97350737438667e-53,9378,52.7047612464413,ADGRG2
58,-0.00115468677341095,0.00127759420482094,0.366130048092823,7962,0.436364627345187,ADGRV1
59,-0.00494690378485651,0.00116156683642545,2.07854059563663e-05,8036,4.68224148894039,ADH1B
60,-0.0064833627276301,0.00118805975448067,4.96513681059246e-08,9234,7.3040687803475,ADH4
61,0.0045833469313683,0.00102186816632443,7.3813249781388e-06,8235,5.13186567353669,ADIPOQ
62,-0.00652530349229247,0.00109230186712902,2.39996907436845e-09,9480,8.61979435450409,ADM
63,-0.00187834785607964,0.00125629724123992,0.134915976868446,7974,0.869936617748803,ADRA2A
64,-0.00168920599656674,0.00127009776249923,0.183562320954748,8036,0.736216459740358,AFAP1
65,-0.00384465688375228,0.00115625693599889,0.000887774581011327,8235,3.05169729396323,AFM
66,7.38004490600881e-05,0.00131793727943153,0.955345450189221,9323,0.0198395603712343,AFP
67,0.00132346031944667,0.00126014918526115,0.293639267031213,7962,0.532185868665076,AGBL2
68,-0.00066746663866763,0.00124969161092854,0.593281500347985,9389,0.226739193584084,AGER
69,0.00070226440059816,0.00126467780558472,0.578709056262433,9196,0.237539721275598,AGR2
70,0.00393565542368633,0.00130154888111624,0.00250292153615631,9177,2.60155276483383,AGR3
71,-0.0059531641079055,0.00124688512309696,1.829307288553e-06,9446,5.73771333524887,AGRN
72,-0.00161796516688318,0.00133576053313525,0.225822608720211,9481,0.646232579900436,AGRP
73,0.0018805047187926,0.00124345192073911,0.130489424876186,8226,0.884424682992477,AGT
74,-0.00365369528219494,0.00130016132698081,0.00496156218741117,9378,2.3043815608982,AGXT
75,0.000294680078780199,0.00134060173160365,0.826022521784106,9378,0.0830081113318983,AHCY
76,0.00660520800788248,0.0011703205665716,1.71894181224508e-08,8007,7.76473882433016,AHNAK
77,0.00223741726694886,0.00124473784228873,0.0722938857072564,8007,1.14089843183254,AHNAK2
78,0.000264729390657642,0.00128049841610617,0.836218594538923,8175,0.0776801795076062,AHSA1
79,-0.00285895852783824,0.00126370062894395,0.0237005669310251,8226,1.62524126529492,AHSG
80,-0.00306190575924532,0.00130011703910945,0.0185381987693233,9395,1.73193246558235,AHSP
81,-0.0013030106150079,0.00127203505847205,0.30570047010759,7998,0.514703893413344,AIDA
82,-0.00118894468605275,0.00133250883063752,0.37227684531892,9190,0.4291339749633,AIF1
83,-2.26132146761677e-05,0.00127702703248349,0.985872477994079,8007,0.00617925715327057,AIF1L
84,-0.00189224612803581,0.0013190325011827,0.151442783951693,9356,0.819751415395652,AIFM1
85,-0.000936199072263104,0.00133067247833038,0.481728469851511,9378,0.317197686394631,AK1
86,0.000466802326147725,0.00128136501754203,0.715642786971892,8210,0.145303701656533,AK2
87,0.00769156525755472,0.00124851870154859,7.59865780476602e-10,8036,9.11926311291157,AKAP12
88,0.00257191302155856,0.00132873263539618,0.0529457228148215,9190,1.27616911833175,AKR1B1
89,-0.000671369492765585,0.00127340551720786,0.598052944369795,7998,0.22326036713226,AKR1B10
90,-0.00119686242011866,0.00134824108396349,0.374713807577308,9234,0.426300303585811,AKR1C4
