coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
1,-0.002620902,0.001193476,0.028118104,8237,2,0.001010618,0.023584658,A1BG,1.55101396
2,0.001939455,0.001269665,0.126668054,8009,1,0.13065296,0.035149176,AAMDC,0.897332901
3,-0.001809218,0.001326759,0.172714584,9372,1,1.392869265,0.002503004,AARSD1,0.76267099
4,-0.002387014,0.001265344,0.059270114,7976,1,0.025197714,6.63E-07,ABCA2,1.22716424
5,0.002577953,0.001339775,0.054363915,9330,1,3.035961411,0.000167545,ABHD14B,1.264689273
6,0.001290628,0.001348724,0.338629639,9372,1,0.28282537,1.22E-06,ABL1,0.470275033
7,0.001094583,0.001277984,0.391750633,8228,1,0.327880832,0.100716003,ABO,0.406990293
8,3.58E-05,0.001253417,0.977219077,7976,1,0.585397718,0.000785078,ABRAXAS2,0.010008064
9,-0.002422933,0.001289932,0.060366127,9192,1,0.138844683,0.006664658,ACAA1,1.219206686
10,-0.000839849,0.001265805,0.507035616,8071,1,0.06009521,0.148697081,ACADM,0.294961533
11,-0.000252745,0.001282566,0.843784156,8213,1,0.07122622,0.092681009,ACADSB,0.073768634
12,-0.000929779,0.001225848,0.448184231,9309,1,0.044966068,7.19E-05,ACAN,0.348543428
13,0.000849772,0.001254082,0.498041508,8228,1,0.017647883,0.008231136,ACE,0.30273446
14,0.00110841,0.001125062,0.324552455,9236,2,0.000779792,2.02E-17,ACE2,0.488715102
15,0.003664893,0.001154243,0.001503265,8038,1,0.008036952,7.39E-23,ACHE,2.822964534
16,-0.000796834,0.00128407,0.534910561,8197,1,0.286800505,0.059112792,ACOT13,0.271718828
17,0.000687053,0.001349806,0.61076347,9380,1,2.273257353,0.308127959,ACOX1,0.214126946
18,0.003168817,0.001248186,0.011144152,7992,1,0.173247339,1.91E-08,ACP1,1.952952956
19,-0.007674838,0.001284927,2.41E-09,9425,1,0.144124113,0.158264005,ACP5,8.617245842
20,0.001642424,0.001369699,0.230514091,9472,1,0.363241891,0.000305286,ACP6,0.637302522
21,-0.000328613,0.00127955,0.797325019,8177,1,0.044250386,0.247387434,ACRBP,0.098364608
22,0.002537214,0.000817635,0.001921659,7992,10,1.51E-05,3.02E-173,ACRV1,2.716323771
23,-0.000519646,0.001275432,0.683705198,7976,1,0.118785349,0.10825223,ACSL1,0.165131118
24,-0.002933258,0.001167329,0.011994859,9236,1,0.034058398,5.29E-26,ACTA2,1.921004849
25,0.006997912,0.001230798,1.35E-08,7976,2,0.032879421,2.83E-12,ACTN2,7.869975139
26,-0.00214226,0.001321036,0.10491229,9256,1,0.199773424,0.23818027,ACTN4,0.979173631
27,-0.000699126,0.001193029,0.557883378,9333,1,0.026099079,0.144300621,ACVRL1,0.253456578
28,-0.003277412,0.001161976,0.004804219,9380,1,0.006709729,1.77E-07,ACY1,2.318377226
29,0.001097184,0.001222682,0.369554725,7976,1,0.045809355,1.67E-08,ACY3,0.432321241
30,0.000629417,0.001262837,0.618205468,8002,1,0.006837037,1.66E-06,ACYP1,0.208867158
31,0.009366131,0.001368068,8.05E-12,9483,1,0.273595529,1.19E-06,ADA,11.09408022
32,-0.002557998,0.001266908,0.043506739,9293,1,0.076392501,0.121704018,ADA2,1.361443472
33,-0.005780773,0.001200523,1.50E-06,7992,1,0.200159905,6.20E-31,ADAM12,5.824628961
34,-0.000102502,0.001301511,0.93722808,9236,1,0.019891805,0.215756351,ADAM15,0.028154708
35,-0.006986619,0.001269149,3.79E-08,9346,1,0.056675616,0.358823454,ADAM22,7.421323349
36,0.000826116,0.001350311,0.540686593,9483,1,0.47774466,0.449804781,ADAM23,0.267054399
37,-0.004818591,0.001297604,0.000205625,9487,1,1.980165841,0.261154931,ADAM8,3.686923139
38,-0.002019886,0.001245454,0.104883245,8197,1,0.014261043,0.081202448,ADAM9,0.979293884
39,-0.002858974,0.001244092,0.021585217,7992,2,0.027100502,0.001857914,ADAMTS1,1.665843572
40,0.003928743,0.001350899,0.003643108,9489,1,1.289747507,0.706568581,ADAMTS13,2.438527981
41,-0.002379792,0.001210183,0.049273441,9372,1,0.000608737,0.665902134,ADAMTS15,1.307387109
