coding,beta,se,pvalue,n,protein,-Log10P
1,0.00837841105512847,0.00482804943338517,0.0827143884180995,8210,A1BG,1.0824189370369
2,0.000673882380804533,0.00516118483101676,0.896120844882137,7983,AAMDC,0.0476334203304919
3,0.013094380955321,0.00540020850998416,0.0153360432419692,9340,AARSD1,1.81428667557847
4,0.0108528307275404,0.00511866879664023,0.0340163541504792,7950,ABCA2,1.46831223561405
5,0.0060459360308586,0.00542973108850101,0.265528072965147,9299,ABHD14B,0.575889556355262
6,0.00986155896083668,0.00547203604567047,0.0715503757807004,9340,ABL1,1.14538808099497
7,0.00332801282031783,0.00517573595517259,0.520240277127631,8202,ABO,0.283796027655069
8,0.00779317599628277,0.00506701405212015,0.124083257277036,7950,ABRAXAS2,0.906286814494296
9,0.0112390340071436,0.00524438856178604,0.0321346685593021,9161,ACAA1,1.49302617509413
10,0.00173998265791503,0.00513260643420148,0.734614324767404,8047,ACADM,0.133940607291049
11,0.00312317301993956,0.00518956568096557,0.547312120225004,8186,ACADSB,0.261764934301209
12,-0.0115671449644924,0.00499124688383511,0.0204989556457017,9278,ACAN,1.6882682642546
13,-0.00157560592198141,0.00510766952791102,0.75772615265977,8202,ACE,0.12048772296594
14,0.000951843644265124,0.00458402023180234,0.835511658667323,9204,ACE2,0.0780474856155233
15,-0.000274399880471683,0.00468090660287492,0.953255371573617,8010,ACHE,0.0207907388072861
16,0.00164520464183428,0.00518429952230647,0.750990967068512,8171,ACOT13,0.124365286665463
17,0.00448851062179465,0.00548154253107528,0.412898157453492,9350,ACOX1,0.384157055147983
18,-0.00594816009813852,0.00504953212771177,0.238846763622457,7966,ACP1,0.621880639038073
19,0.0125702306141334,0.00522713562903898,0.0162004457378143,9395,ACP5,1.79047303614811
20,0.00438243052285979,0.00555892010402069,0.430505960429442,9440,ACP6,0.366020831286525
21,0.00580914425554317,0.00517145800464568,0.26133951462677,8151,ACRBP,0.582794919829039
22,-0.00130271734939415,0.00331294202039597,0.69416703179578,7966,ACRV1,0.158536016203597
23,0.00294094183551759,0.00514741911564509,0.567783346477374,7950,ACSL1,0.245817349814824
24,0.0176996617747304,0.0047501356751059,0.000195601522221608,9204,ACTA2,3.70862776974334
25,-0.0228269098571203,0.00498631284322223,4.76786229737529e-06,7950,ACTN2,5.32167629612723
26,0.00904338379952639,0.00535930075582453,0.0915567504634999,9225,ACTN4,1.03830962972417
27,0.00403595983199715,0.00484899449074673,0.405244540256628,9302,ACVRL1,0.39228282756493
28,0.0224167890945494,0.00474957822343773,2.39577365097879e-06,9350,ACY1,5.62055421582132
29,-0.00119881909279324,0.00496036247185236,0.809034577532393,7950,ACY3,0.0920329165699187
30,0.00229106806876846,0.00509996276637806,0.653276312017651,7974,ACYP1,0.184903089164442
31,-0.0132985041612001,0.0055661717040647,0.0169062235758926,9452,ADA,1.77195339200686
32,0.0062503137630312,0.00515381382302535,0.225254465252788,9262,ADA2,0.64732659117942
33,0.0247658395874217,0.00486804781503132,3.71256168738486e-07,7966,ADAM12,6.43032632144085
34,0.0114110880066107,0.00527375188578001,0.0305091207600238,9204,ADAM15,1.51557030807612
35,0.0139778164655516,0.00515639029857892,0.00672492574405613,9315,ADAM22,2.17231250673443
36,0.0039708699356159,0.00548863917814822,0.469408646017378,9452,ADAM23,0.328448915412636
37,0.0135300212856147,0.00527518849950098,0.0103376184642839,9455,ADAM8,1.98557950059877
38,0.02025005509168,0.00503561015921082,5.83821371759794e-05,8171,ADAM9,4.23372001097963
39,0.00641872387380303,0.00504180291807597,0.203019457822495,7966,ADAMTS1,0.692462336372634
40,-0.0108556126283422,0.00548182911428843,0.0476999010025169,9459,ADAMTS13,1.32148252230381
41,0.0137037340962479,0.00490710893928813,0.00523881485961569,9340,ADAMTS15,2.28076694930316
42,0.0207780697629159,0.00487391978247592,2.03613317427553e-05,9204,ADAMTS16,4.69119382016557
43,-0.00213460843127649,0.00501695172006406,0.670498921871372,7966,ADAMTS4,0.17360191613556
44,-0.0359230949812005,0.00534938019870247,1.98442679383528e-11,9416,ADAMTS8,10.7023649177293
45,0.0118107274589582,0.00488407731177975,0.0156187232243422,8204,ADAMTSL2,1.80635447105323
46,-0.00222186214978012,0.00496627758474223,0.654605769400519,7983,ADAMTSL4,0.184020171335122
47,-0.0250375474709521,0.0051173322506101,1.01366013576513e-06,8186,ADAMTSL5,5.99410763267843
48,-0.00559969145765969,0.0053818703698056,0.298147649427775,9161,ADCYAP1R1,0.52556861024771
49,0.00189875572112079,0.00504443873685258,0.706625263844258,8010,ADD1,0.150810839372145
50,0.00424703008505728,0.00529803623759248,0.422791318478935,9302,ADGRB3,0.373873938998014
51,0.00420547689480545,0.00445167839040778,0.344843321297831,8010,ADGRD1,0.46237818072792
52,0.00474261516939449,0.00503487138841706,0.346244301161563,8171,ADGRE1,0.460617365925919
53,-0.00524205660356845,0.00518406664573785,0.311953345574971,9417,ADGRE2,0.505910352373873
54,-0.00117803058042355,0.00516728873692006,0.819667944244243,9401,ADGRE5,0.0863620490661923
55,0.00669586364751535,0.00512871145131403,0.191737454051783,8186,ADGRF5,0.717293043620636
56,0.0103524258437279,0.00511079200687423,0.0428341032658216,9340,ADGRG1,1.36821032064552
57,-0.0476560771919557,0.00469854473046227,4.75557731186556e-24,9350,ADGRG2,23.322796753566
58,0.0121076558060077,0.00517081676668283,0.0192291929790932,7940,ADGRV1,1.71603894207879
59,0.0161730363242464,0.00470687047805065,0.000593267440120332,8010,ADH1B,3.22674948608712
60,0.0216236393472572,0.00482033159501359,7.34807503839157e-06,9204,ADH4,5.13382641733724
61,-0.0136011511452864,0.00414232371122231,0.00102971300848673,8210,ADIPOQ,2.98728380072979
62,0.0361043865698645,0.00442483648142819,3.79501922123867e-16,9450,ADM,15.4207860201225
63,0.00413761575489609,0.0050711788297414,0.414577204500976,7950,ADRA2A,0.382394581237835
64,0.00423530408962447,0.00514362920383284,0.410300724117049,8010,AFAP1,0.386897716570106
65,0.021070945524683,0.00468110605383571,6.8479916202154e-06,8210,AFM,5.16443677977022
66,0.000198371722446155,0.00534581383449245,0.97039980156605,9294,AFP,0.0130493009489632
67,-0.00302846001506727,0.00509745156152334,0.552453786655099,7940,AGBL2,0.257704045317248
68,-0.00265641359405327,0.00506941646333517,0.600285567192091,9359,AGER,0.221642098363575
69,0.00287017390109925,0.00513491035458359,0.576207427501261,9166,AGR2,0.239421147822316
70,0.00125004121785374,0.00529502971476343,0.813377263948513,9148,AGR3,0.089707971444222
71,0.0189580475188766,0.00506775746734508,0.000184442267059027,9417,AGRN,3.73413954832004
72,0.00753642605161303,0.00541928882654157,0.164359224879506,9452,AGRP,0.784205915544427
73,-0.00881435773501751,0.00502594334206084,0.0795070312278236,8202,AGT,1.0995944626842
74,0.0126650366006938,0.00528050548952887,0.0164840571713775,9350,AGXT,1.78293588788861
75,0.0104454233943689,0.00544028422036582,0.0548865342173401,9350,AHCY,1.26053419165973
76,-0.013527203931897,0.00475811106435286,0.00448078691365942,7983,AHNAK,2.34864570871412
77,0.00167141102781497,0.00505309368894325,0.740827035679714,7983,AHNAK2,0.130283176930515
78,0.00409183085185271,0.00516559362991338,0.428306939051509,8151,AHSA1,0.368244889490033
79,0.0104218454200128,0.00510462140729536,0.0412183437860268,8202,AHSG,1.38490946280038
