coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
1,0.007982648,0.004828542,0.098324002,8254,2,0.001114113,0.020457689,A1BG,1.007340452
2,0.001396501,0.005146376,0.786124162,8024,1,0.152738592,0.047930508,AAMDC,0.104508855
3,0.013737894,0.005369963,0.01053456,9397,1,1.308461893,0.002327709,AARSD1,1.977383602
4,0.010652118,0.005105433,0.03697156,7994,1,0.030327755,8.08E-07,ABCA2,1.43213222
5,0.006630379,0.005424267,0.221604311,9355,1,2.815877287,5.85E-05,ABHD14B,0.654421795
6,0.01069554,0.005459698,0.050142543,9397,1,0.262741863,1.18E-06,ABL1,1.299793646
7,0.003361078,0.005161047,0.514910011,8245,1,0.293656762,0.088033818,ABO,0.288268664
8,0.008469569,0.005050132,0.093562421,7994,1,0.521155996,0.000786485,ABRAXAS2,1.028898548
9,0.011455048,0.005231189,0.028566673,9216,1,0.129994876,0.005799685,ACAA1,1.54414033
10,0.002150431,0.005125116,0.674798429,8087,1,0.060395865,0.18163591,ACADM,0.170825937
11,0.003846041,0.005183503,0.458122324,8230,1,0.067705461,0.135498202,ACADSB,0.339018545
12,-0.011156036,0.004974979,0.024957092,9333,1,0.036418748,4.15E-05,ACAN,1.602806013
13,-0.001967244,0.005062112,0.697566452,8245,1,0.016920131,0.006333069,ACE,0.156414414
14,0.000573052,0.004551365,0.899807643,9260,2,0.000880329,1.40E-17,ACE2,0.045850322
15,-0.00011619,0.004663716,0.980124572,8053,1,0.010715493,1.68E-21,ACHE,0.008718723
16,0.002036343,0.005181936,0.694352206,8214,1,0.283516242,0.077007691,ACOT13,0.15842018
17,0.004410184,0.005474078,0.420465759,9405,1,2.272776535,0.303449001,ACOX1,0.376269366
18,-0.005871779,0.005045445,0.244548663,8009,1,0.197016098,2.07E-08,ACP1,0.611634707
19,0.012879648,0.005209786,0.013445838,9450,1,0.149728222,0.202245736,ACP5,1.871412135
20,0.005381848,0.00554924,0.332153394,9497,1,0.409428175,0.000358565,ACP6,0.478661306
21,0.006370811,0.005165669,0.21749993,8194,1,0.043400542,0.270727582,ACRBP,0.662540878
22,-0.001306011,0.003307509,0.692955053,8009,10,1.70E-05,1.88E-173,ACRV1,0.159294934
23,0.003567042,0.005140782,0.48778298,7994,1,0.125521225,0.099919033,ACSL1,0.311773358
24,0.018046696,0.004722854,0.000133706,9260,1,0.032230489,2.31E-26,ACTA2,3.873850642
25,-0.022641445,0.00496766,5.25E-06,7994,2,0.032572252,1.57E-12,ACTN2,5.280091628
26,0.0099166,0.005352777,0.063970262,9280,1,0.197969386,0.327182688,ACTN4,1.19402187
27,0.004138515,0.00482781,0.391343057,9358,1,0.025588345,0.126737126,ACVRL1,0.407442367
28,0.022087627,0.00470933,2.77E-06,9405,1,0.009408569,6.74E-08,ACY1,5.557816327
29,-0.001750278,0.004933875,0.722788479,7994,1,0.045275846,6.39E-09,ACY3,0.140988779
30,0.003071731,0.005091445,0.546318068,8017,1,0.006778746,1.26E-06,ACYP1,0.262554436
31,-0.013131129,0.005552893,0.018062899,9508,1,0.246387478,1.43E-05,ADA,1.743212556
32,0.006097145,0.005132217,0.234858255,9318,1,0.078711887,0.091302836,ADA2,0.62919417
33,0.024450032,0.004853422,4.82E-07,8009,1,0.294977461,2.56E-32,ADAM12,6.317400481
34,0.011150354,0.005261953,0.034112634,9260,1,0.017373344,0.205899095,ADAM15,1.467084751
35,0.013938779,0.005141678,0.006721525,9371,1,0.078302028,0.58282253,ADAM22,2.172532213
36,0.00404599,0.005471712,0.459659556,9508,1,0.504720532,0.499073132,ADAM23,0.337563707
37,0.01359883,0.005261723,0.009767316,9512,1,1.932996652,0.143791458,ADAM8,2.01022477
38,0.020076981,0.005024235,6.50E-05,8214,1,0.015642816,0.028126477,ADAM9,4.187232233
39,0.006415359,0.005029602,0.202162223,8009,2,0.026203648,0.003057522,ADAMTS1,0.694299996
40,-0.011036545,0.005468728,0.043606885,9514,1,1.235869059,0.68163815,ADAMTS13,1.360444931
41,0.013827038,0.004898973,0.00477606,9397,1,0.000634234,0.785073464,ADAMTS15,2.320930232
42,0.020833597,0.004853649,1.79E-05,9260,1,1.363074686,5.83E-16,ADAMTS16,4.74814696
43,-0.002167566,0.005004761,0.66495324,8009,1,0.40613354,2.85E-09,ADAMTS4,0.177208894
44,-0.035480348,0.00533217,3.01E-11,9472,1,0.058872761,0.060278901,ADAMTS8,10.52140763
45,0.011143603,0.004854218,0.021720717,8248,1,0.144360749,0.00062911,ADAMTSL2,1.663125838
46,-0.002199212,0.004953613,0.657082661,8024,1,0.192683246,4.41E-10,ADAMTSL4,0.182379993
47,-0.025140816,0.005106008,8.65E-07,8230,1,0.118069938,0.007994737,ADAMTSL5,6.062749164
48,-0.005422939,0.005369092,0.312507915,9216,1,0.408588919,0.015459638,ADCYAP1R1,0.505138979
49,0.002813161,0.005035068,0.576372807,8053,1,0.048787368,2.81E-05,ADD1,0.239296517
50,0.004092785,0.005281613,0.438411276,9358,1,0.643297488,0.024651808,ADGRB3,0.358118284
51,0.004275795,0.004438566,0.335411916,8053,2,0.014603272,5.42E-18,ADGRD1,0.474421512
52,0.004600766,0.005025869,0.359999636,8214,1,0.026439227,0.000317101,ADGRE1,0.443697939
53,-0.004553888,0.005157841,0.377309615,9473,1,1.918017749,0.000240204,ADGRE2,0.423302128
54,-0.001018562,0.00513516,0.842775111,9456,1,0.122976068,0.000244303,ADGRE5,0.074288298
55,0.006543887,0.005122634,0.201480993,8230,1,0.129738019,7.65E-18,ADGRF5,0.695765918
56,0.009949276,0.005066179,0.049575599,9397,1,0.672896989,0.00054924,ADGRG1,1.304732031
57,-0.046830473,0.004678257,1.80E-23,9405,1,0.008176697,1.18E-06,ADGRG2,22.74436768
58,0.012332622,0.005158133,0.016829831,7980,1,0.041594855,0.029763324,ADGRV1,1.773920241
59,0.01637017,0.004690447,0.000485414,8053,1,0.029906407,1.97E-26,ADH1B,3.313888029
60,0.021513807,0.004792721,7.25E-06,9260,1,0.209187787,3.13E-22,ADH4,5.13980868
61,-0.012540723,0.004122726,0.002358675,8254,3,0.002793581,1.59E-47,ADIPOQ,2.627331923
62,0.035803308,0.004399774,4.54E-16,9507,1,0.032729307,0.030977444,ADM,15.34281903
63,0.004058392,0.005060935,0.422631466,7994,1,0.137618204,0.510876919,ADRA2A,0.374038172
64,0.00501584,0.005130522,0.328278271,8053,1,0.114534268,0.237736388,AFAP1,0.483757862
65,0.020987338,0.004663596,6.88E-06,8254,1,0.029263004,8.18E-05,AFM,5.162373803
66,0.00073464,0.005332578,0.890429559,9350,1,1.605530692,0.000415027,AFP,0.050400432
67,-0.002279619,0.005087592,0.654111746,7980,1,0.474919646,0.435934149,AGBL2,0.184348052
68,-0.002305707,0.005055965,0.648373907,9415,1,0.573768028,0.00351175,AGER,0.188174471
69,0.002980331,0.00512233,0.560694675,9221,1,0.290638635,0.212328143,AGR2,0.251273569
70,0.00112408,0.005286445,0.831616813,9203,1,1.546649438,0.006757858,AGR3,0.080076739
71,0.019056142,0.00504264,0.000158426,9473,1,0.612424312,0.155648385,AGRN,3.800173692
72,0.007371173,0.005399243,0.172215189,9508,1,0.749137037,0.869336757,AGRP,0.763928548
73,-0.008610598,0.005014118,0.085967383,8245,1,0.064853336,1.20E-10,AGT,1.065666295
74,0.012675764,0.005254694,0.015872391,9405,1,0.225277151,1.34E-17,AGXT,1.799357649
75,0.011362801,0.005423622,0.036192609,9405,1,0.669862752,0.02097501,AHCY,1.441380103
76,-0.01310981,0.004736757,0.005658716,8024,1,0.301980411,1.30E-20,AHNAK,2.247282101
77,0.001752466,0.005039642,0.728047492,8024,1,0.051933571,1.69E-08,AHNAK2,0.13784029
78,0.004457022,0.005166915,0.388378257,8194,1,0.291150146,0.257520134,AHSA1,0.410745091
79,0.010203546,0.005100031,0.045459361,8245,1,0.521849416,2.20E-07,AHSG,1.342376671
80,0.00801009,0.005250537,0.127149308,9422,1,0.060255224,1.15E-22,AHSP,0.895686
