coding,beta,se,pvalue,n,-Log10P,protein
1,-0.0210015115646485,0.00573674097619654,0.000251724275661618,34767,3.59907490015482,A1BG
2,-0.000520870605268682,0.00609871580217714,0.931938648392584,33855,0.0306126772829032,AAMDC
3,-0.018925840735396,0.00660441288130734,0.00416397272944052,38697,2.38049212341997,AARSD1
4,-0.016286938771967,0.00605004361386714,0.00710522892100243,33657,2.14842192512194,ABCA2
5,-4.21567709098108e-05,0.00664455139432451,0.99493783845634,38512,0.00220405217761034,ABHD14B
6,-0.00748784587709399,0.00668466877582807,0.262655899655905,38697,0.58061283982859,ABL1
7,0.000608260667578108,0.00621864318349281,0.922081792864445,34751,0.0352305533344935,ABO
8,-0.00743664768403451,0.00609915984273017,0.222742499776771,33657,0.652196910682338,ABRAXAS2
9,-0.0281716430092683,0.0064319768112196,1.19031322943906e-05,38055,4.92433873951771,ACAA1
10,-0.00569359187107366,0.00617902931838548,0.35682835690298,34141,0.447540639842066,ACADM
11,-0.00286010468699043,0.00618398264943844,0.643724223576955,34775,0.191300147904024,ACADSB
12,0.0147826565402525,0.00610920102970939,0.0155363760946274,38372,1.80865027418656,ACAN
13,0.00291427678782315,0.00618395008051149,0.637454748526224,34751,0.195550639384806,ACE
14,-0.0243054483087182,0.00568576776601336,1.91784464424351e-05,38112,4.71718657593513,ACE2
15,0.022519850952758,0.00570198703088733,7.84810650597149e-05,33971,4.10523511181544,ACHE
16,-0.00786574814399836,0.00617189689691719,0.202514017715985,34644,0.693544910197453,ACOT13
17,-0.00532333357999063,0.00671349289952787,0.427823155520968,38681,0.368735713353007,ACOX1
18,0.0128528172191386,0.0060758167330139,0.034402707006788,33696,1.4634073832466,ACP1
19,-0.0624345347543339,0.00643611106553516,3.17442295542649e-22,38920,21.4983352089705,ACP5
20,-0.00365203249245896,0.00679374636404918,0.590885315902637,39090,0.228496802543089,ACP6
21,-0.0129610798234493,0.00616809973619165,0.0356211143097881,34621,1.44829249893727,ACRBP
22,0.0114055850966838,0.00388588387299788,0.00333630120462435,33696,2.47673474772219,ACRV1
23,-0.000353934507507817,0.00613406863683757,0.953988099070878,33657,0.0204570430528079,ACSL1
24,-0.0112736523084912,0.00576693693091782,0.0506048934091192,38112,1.29580748557474,ACTA2
25,0.0747873342625852,0.00593123859337649,2.27524056143671e-36,33657,35.6429726785755,ACTN2
26,-0.0108500896992518,0.00659322877817147,0.0998458659738425,38160,1.00066991198422,ACTN4
27,-0.00970374026815978,0.00593422754639223,0.102012076459099,38513,0.991348412266589,ACVRL1
28,-0.0427591576283763,0.00586038279821982,3.01441774991524e-13,38681,12.5207965616063,ACY1
29,-0.0108651703400718,0.00599478216024131,0.069927472758719,33657,1.15535216726635,ACY3
30,-0.0031631350487484,0.00609689979046081,0.603896355740805,33837,0.219037591167365,ACYP1
31,0.0486582294322037,0.00676958561568404,6.70328190983216e-13,39160,12.1737125157532,ADA
32,-0.0394808365777609,0.00634378972805402,4.91068162306225e-10,38424,9.30885822181003,ADA2
33,-0.052785096546931,0.00576717960056946,5.85801490407355e-20,33696,19.2322495277127,ADAM12
34,-0.0010125308830114,0.00652223272248376,0.876630583600277,38112,0.0571833818943112,ADAM15
35,-0.0624745602865793,0.00639357647201643,1.58557215886427e-22,38580,21.799813988589,ADAM22
36,0.00476861658975469,0.00675984437989418,0.480545076574184,39160,0.318265867955405,ADAM23
37,-0.0460020290519816,0.00655411325926399,2.27421638546433e-12,39051,11.6431682157511,ADAM8
38,-0.00901206849725627,0.00603529424011162,0.135386705992143,34644,0.86842397817454,ADAM9
39,-0.0156039852493647,0.00603984474556385,0.00978430207288936,33696,2.00947014769664,ADAMTS1
40,-0.0173830592755928,0.00669740902575231,0.00944913975082011,39115,2.02460772783758,ADAMTS13
41,-0.0218102743372371,0.00599656375944603,0.000276052180511918,38697,3.55900881805634,ADAMTS15
42,-0.062913094700668,0.00595879590068022,5.06668478206788e-26,38112,25.2952761139976,ADAMTS16
43,-0.000944131625204908,0.00594003622437999,0.873714145259932,33696,0.058630633089195,ADAMTS4
44,0.0958191776315483,0.00664295490159155,4.82127078865393e-47,38971,46.316838475504,ADAMTS8
45,-0.0350585318007164,0.00590507218648426,2.92998480450037e-09,34787,8.53313463197994,ADAMTSL2
46,0.00769678669153062,0.00592599811728469,0.194015612478313,33855,0.712163320892649,ADAMTSL4
47,0.0871738765305391,0.00611397994331233,5.38114199931405e-46,34775,45.2691255474992,ADAMTSL5
48,0.00204798069139507,0.00660932589215652,0.756667396867118,38055,0.121094978422742,ADCYAP1R1
49,0.00127910045443225,0.00607925201366068,0.8333534391114,33971,0.0791707679798637,ADD1
50,-0.0204845569207455,0.006539923567776,0.00173612786487033,38513,2.76041829242989,ADGRB3
51,0.00668015507793302,0.00538712103982743,0.214975381574416,33971,0.667611271519514,ADGRD1
52,-0.0106080934430913,0.00604185964991091,0.0791371642416241,34644,1.10161951606493,ADGRE1
53,0.00132187426978431,0.00641164493644156,0.836660974343506,38921,0.0774504880031036,ADGRE2
54,0.00294991374892932,0.00638173517360421,0.643909504775598,38923,0.191175164221235,ADGRE5
55,-0.0281129611882467,0.00602787339782225,3.11535028955157e-06,34775,5.50649311424837,ADGRF5
56,-0.047572582460971,0.00621617209211994,2.00837095223376e-14,38697,13.6971560686041,ADGRG1
57,0.0953664499629145,0.00586940008577104,3.62198697510953e-59,38681,58.4410531157691,ADGRG2
58,-0.0024477291180703,0.00614086935898399,0.69019306116231,33648,0.161029411190674,ADGRV1
59,-0.0476926510494388,0.00567988933231652,4.76554248898943e-17,33971,16.3218876539838,ADH1B
