coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
1,-0.020010936,0.005739133,0.000489527,34773,3,0.004572001,1.74E-10,A1BG,3.310223328
2,-0.000362977,0.00610304,0.952574307,33861,1,0.047802127,5.90E-11,AAMDC,0.021101136
3,-0.017703506,0.006607793,0.00738326,38703,1,0.133671984,1.90E-14,AARSD1,2.131751865
4,-0.014771246,0.006050541,0.014639199,33663,1,0.098002745,1.68E-21,ABCA2,1.834482675
5,0.00024478,0.006649694,0.970636108,38518,1,0.233747398,3.31E-18,ABHD14B,0.012943557
6,-0.00661821,0.006688844,0.322454063,38703,1,0.386405873,1.49E-24,ABL1,0.491532146
7,0.000291118,0.006222627,0.962685771,34757,1,0.110585898,0.283038575,ABO,0.016515447
8,-0.007369164,0.006103357,0.227288492,33663,1,0.254492104,3.61E-17,ABRAXAS2,0.643422553
9,-0.025732595,0.006428939,6.28E-05,38061,1,0.485158481,2.75E-08,ACAA1,4.20229169
10,-0.005531308,0.006183463,0.371043441,34147,1,0.081822594,4.81E-06,ACADM,0.430575242
11,-0.002728022,0.006188056,0.659322283,34781,1,0.132846695,6.23E-06,ACADSB,0.180902246
12,0.012804239,0.006108989,0.036091672,38378,1,0.228047854,8.36E-22,ACAN,1.442592993
13,0.00748867,0.006156716,0.223863074,34757,1,0.035092034,4.14E-13,ACE,0.650017537
14,-0.019395717,0.00565591,0.000605818,38118,8,0.000288251,1.23E-75,ACE2,3.217657622
15,0.023541304,0.005703835,3.68E-05,33976,1,0.107420674,1.58E-100,ACHE,4.434199994
16,-0.007341483,0.006175889,0.234552938,34650,1,0.137451402,0.011824144,ACOT13,0.629759124
17,-0.004767244,0.006717687,0.477922051,38687,1,0.76508803,0.072726342,ACOX1,0.320642931
18,0.012534773,0.006079121,0.039221251,33702,1,0.245833913,3.64E-31,ACP1,1.406478563
19,-0.059876734,0.00643294,1.37E-20,38926,1,0.085768087,0.823067161,ACP5,19.86310978
20,-0.003742561,0.006798847,0.582000234,39096,1,1.780080694,2.69E-16,ACP6,0.235076841
21,-0.012706544,0.006172484,0.039542073,34627,1,0.133864228,1.09E-06,ACRBP,1.402940565
22,0.011341071,0.003888336,0.003540005,33702,10,5.49E-05,0,ACRV1,2.450996164
23,-0.000313323,0.006138404,0.959291545,33663,1,0.062195566,0.034577301,ACSL1,0.018049383
24,-0.00882674,0.005763393,0.12564976,38118,1,0.127059248,5.76E-109,ACTA2,0.900838338
25,0.076365708,0.005931393,7.66E-38,33663,1,0.113422416,1.98E-42,ACTN2,37.11557451
26,-0.010182072,0.006597559,0.122764114,38166,1,0.473281354,0.0333481,ACTN4,0.910928568
27,-0.007982071,0.005935179,0.178673634,38519,1,0.075772379,5.89E-12,ACVRL1,0.747939529
28,-0.03797331,0.005832963,7.60E-11,38687,2,0.024606023,8.74E-32,ACY1,10.11915013
29,-0.007323413,0.005978881,0.220628912,33663,1,0.116088978,1.25E-15,ACY3,0.656337577
30,-0.002566378,0.006100232,0.673975629,33842,1,0.043370507,3.35E-29,ACYP1,0.171355807
31,0.050335098,0.006771468,1.08E-13,39166,1,1.089309561,4.23E-15,ADA,12.9666157
32,-0.036566745,0.00633824,8.02E-09,38429,1,0.676777775,0.000138509,ADA2,8.095575812
33,-0.050256658,0.00575892,2.74E-18,33702,1,0.272881293,6.08E-113,ADAM12,17.56239136
34,0.000950612,0.006522834,0.884130538,38118,1,0.148404652,4.74E-06,ADAM15,0.053483609
35,-0.062486153,0.006398243,1.67E-22,38586,1,0.054944121,0.056039009,ADAM22,21.77709672
36,0.005736065,0.006763828,0.396415241,39166,1,1.225762642,5.78E-06,ADAM23,0.401849656
37,-0.044418624,0.006555717,1.26E-11,39057,1,0.284488472,0.186448701,ADAM8,10.90071795
38,-0.006773606,0.006033131,0.261557964,34650,1,0.05703518,7.56E-13,ADAM9,0.582432052
39,-0.01444168,0.006041052,0.016826775,33702,1,0.156280889,5.09E-20,ADAMTS1,1.773999103
40,-0.016230964,0.006700809,0.015429696,39121,1,1.172237164,0.110194096,ADAMTS13,1.811642627
41,-0.020690139,0.005999302,0.000563771,38703,1,0.192090894,0.056969484,ADAMTS15,3.248897513
42,-0.061619927,0.00596125,5.19E-25,38118,1,0.011358529,1.21E-67,ADAMTS16,24.28515439
43,-0.000370988,0.005943223,0.950227193,33702,1,0.314623224,2.90E-59,ADAMTS4,0.022172545
44,0.093475559,0.006640744,6.87E-45,38977,1,0.35055761,1.50E-07,ADAMTS8,44.16318932
45,-0.030404203,0.00587515,2.29E-07,34793,1,0.041532251,8.26E-32,ADAMTSL2,6.639951658
46,0.00846263,0.005929595,0.153535709,33861,1,0.179721231,1.53E-45,ADAMTSL4,0.813790601
47,0.08656982,0.006117659,2.47E-45,34781,1,0.004397425,4.18E-11,ADAMTSL5,44.60772693
48,0.001858593,0.006614492,0.778721179,38061,1,0.914656545,3.47E-05,ADCYAP1R1,0.108618013
49,0.000959778,0.006083056,0.874631978,33976,1,0.109055608,2.79E-21,ADD1,0.058174648
50,-0.019943521,0.006544723,0.002310884,38519,1,1.638771324,8.00E-09,ADGRB3,2.636221786
51,0.009178461,0.005379328,0.087971281,33976,2,0.000721682,1.09E-72,ADGRD1,1.055659083
52,-0.010103064,0.006045684,0.094707022,34650,1,0.122999748,9.52E-18,ADGRE1,1.023617817
