coding,beta,se,pvalue,n,-Log10P,protein
1,-0.084921338442435,0.00927259824288108,5.56809342529134e-20,32862,19.2542934864456,A1BG
2,-0.0229257343927958,0.00982140291422887,0.0195881280396301,32002,1.70800706583806,AAMDC
3,-0.0256406239570774,0.010663336242303,0.0161969362070853,36462,1.7905671283089,AARSD1
4,-0.018612713693453,0.00972949426798415,0.0557545199797765,31774,1.25371991890395,ABCA2
5,-0.032553530946404,0.0107198249637222,0.00239305971176166,36267,2.62104646471082,ABHD14B
6,-0.0439386079894411,0.0107397161417472,4.30020240848586e-05,36462,4.36651110190422,ABL1
7,0.0196471036836923,0.0100126559153115,0.0497445007429331,32831,1.30325492354151,ABO
8,-0.0313836754609398,0.00979591839011869,0.00135783989936094,31774,2.8671514339753,ABRAXAS2
9,-0.0785617117676404,0.0103657725739678,3.56733744693194e-14,35870,13.4476558072838,ACAA1
10,-0.00658385430481262,0.00992290872423238,0.507014841205771,32260,0.29497932792616,ACADM
11,-0.0131911151317005,0.00999716091827561,0.187015847538721,32843,0.728121590217501,ACADSB
12,-0.00204898774692153,0.00993631707312484,0.836626481824459,36151,0.0774683927697185,ACAN
13,0.0201786264982166,0.0100046873685759,0.0437122778420353,32831,1.35939656188255,ACE
14,-0.0565557020018911,0.00925560876484368,1.00387078360361e-09,35895,8.99832218517852,ACE2
15,0.0473386558472229,0.00927927140463448,3.38802772093293e-07,32090,6.47005304491779,ACHE
16,-0.0510772145066311,0.00998067816900882,3.11181282539672e-07,32710,6.5069865335789,ACOT13
17,-0.0251609614488471,0.0108719793974247,0.0206571102798607,36445,1.68493043195903,ACOX1
18,0.0388620240883833,0.00980247716681036,7.37071085869478e-05,31883,4.13249062515032,ACP1
19,-0.172139164163219,0.0103343708232564,4.55941596568605e-62,36667,61.3410907843365,ACP5
20,-0.039536424340902,0.0109854084562225,0.000319869203414675,36811,3.49502757120349,ACP6
21,-0.0242400424347378,0.00992801664258667,0.0146284316069967,32700,1.83480223443108,ACRBP
22,0.0239045274028613,0.00629485763638455,0.000146451988794752,31883,3.83430472629224,ACRV1
23,0.0251701826831964,0.00986258705556893,0.0107126093007659,31774,1.97010473393901,ACSL1
24,-0.0204411276609265,0.00926010263293227,0.0272895885550732,35895,1.56400301213547,ACTA2
25,0.0692588962309952,0.00957398002754616,4.79304203599029e-13,31774,12.3193887621372,ACTN2
26,-0.029840032309996,0.0106157334163667,0.00494259960221495,35957,2.30604457011616,ACTN4
27,-0.0417947299248272,0.00957194289915446,1.26672914998102e-05,36262,4.8973162353481,ACVRL1
28,-0.0721824025858436,0.00949728765091001,3.02477611730312e-14,36445,13.5193067646869,ACY1
29,-0.018230011580182,0.00966761166412649,0.0593473528086108,31774,1.22659864800261,ACY3
30,-0.0398146889173045,0.00977427733367059,4.6440441346175e-05,31963,4.33310366160147,ACYP1
31,0.0166618535743127,0.0109085619375337,0.126667511995701,36878,0.897334759783037,ADA
32,-0.0664353909467695,0.010270485733316,1.0019285097471e-10,36198,9.99916326542485,ADA2
33,-0.0712380933428695,0.00924740142515529,1.36133946363438e-14,31883,13.8660335656119,ADAM12
34,-0.00162226629553457,0.0105201268480985,0.87744820763503,35895,0.0567785088246905,ADAM15
35,-0.0625901537496365,0.0104163150936201,1.88611324155206e-09,36324,8.72443223593338,ADAM22
36,0.00106705074805304,0.0109124889420395,0.922105513693934,36878,0.0352193811229538,ADAM23
37,-0.0987894982256134,0.0106407940707462,1.71827204936816e-20,36758,19.7649080743897,ADAM8
38,-0.000650620530972453,0.00971267642375062,0.946592668977008,32710,0.0238368633110428,ADAM9
39,-0.0137718111635214,0.00970416436028827,0.155860675305276,31883,0.807263446403524,ADAMTS1
40,0.0292891036372413,0.010866448444936,0.00703423356259447,36846,2.15278321559515,ADAMTS13
41,-0.0282112608457883,0.00974636709001735,0.00379938349202607,36462,2.42028686857606,ADAMTS15
42,-0.107062026635223,0.00961230907732507,9.1334239803826e-29,35895,28.039366381609,ADAMTS16
43,-0.0227751557423524,0.00950135789284944,0.0165337428035729,31883,1.78162882247563,ADAMTS4
44,0.145692151213722,0.0107871949350916,1.81097191928609e-41,36681,40.742088283752,ADAMTS8
45,-0.070732394629026,0.00945068083706593,7.36890986563238e-14,32857,13.1325967556088,ADAMTSL2
46,0.00167626132347074,0.00955146209882878,0.860689549434355,32002,0.0651534702428281,ADAMTSL4
47,0.157364985179895,0.00985580923371396,3.57974237050155e-57,32843,56.4461482278521,ADAMTSL5
48,0.0039886469142922,0.0106415739214387,0.707798500437102,35870,0.150090361806701,ADCYAP1R1
49,-0.0136120829156055,0.00983516724609432,0.166361501683027,32090,0.778947168075626,ADD1
50,-0.0216987967323871,0.0105519311732149,0.0397528945695037,36262,1.4006312431133,ADGRB3
51,-0.0154729042021956,0.0087082706616369,0.0756097032130877,32090,1.12142246664842,ADGRD1
52,-0.0339172498225714,0.00980069337245811,0.000539462295729534,32710,3.26803890376852,ADGRE1
53,0.0330021384228832,0.0103558716929276,0.00143974664093804,36650,2.84171392604603,ADGRE2
54,0.0249974939961558,0.0103293759048225,0.0155236663040704,36673,1.80900570140345,ADGRE5
55,-0.0536169502812476,0.0097033595111847,3.30838211130665e-08,32843,7.48038433610613,ADGRF5
56,-0.0865801116867849,0.0100521165617857,7.39031357315758e-18,36462,17.1313371339729,ADGRG1
57,0.071935472425564,0.00955724165259144,5.31956024125089e-14,36445,13.2741242685869,ADGRG2
58,0.00339013285840018,0.00989108871054957,0.731791685500448,31801,0.135612529205504,ADGRV1
59,-0.0788132969453874,0.00915213491613315,7.53727536789418e-18,32090,17.1227856178618,ADH1B
60,-0.116806000292721,0.00948632140811974,9.05358753465636e-35,35895,34.0431792950742,ADH4
61,-0.0235720371027323,0.00823380102117697,0.00420130933845186,32862,2.37661534059085,ADIPOQ
62,-0.096259889342866,0.00888997480148973,2.790626232414e-27,36877,26.5542983276354,ADM
63,0.0126250330611215,0.00986686525601739,0.200716870839387,31774,0.697416122258314,ADRA2A
64,0.0158679743094757,0.00974071221940973,0.103315143785981,32090,0.985836015550568,AFAP1
65,-0.0624317429845682,0.00922435927167608,1.32639322605545e-11,32862,10.8773277047479,AFM
66,-0.0426031900824814,0.0104265855565611,4.39789519063509e-05,36202,4.35675512483226,AFP
67,0.0117929887772095,0.00985602025755164,0.231500113673773,31801,0.635448791393846,AGBL2
68,0.00438414326444067,0.0102608963431511,0.669187332788166,36399,0.174452288499045,AGER
