coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
1,-0.083115086,0.009279948,3.52632931075168e-19,32864,3,0.003828804,1.20391649132063e-09,A1BG,18.45267713
2,-0.022392996,0.009832751,0.022769598,32004,2,0.046819019,2.24502397771594e-10,AAMDC,1.642644645
3,-0.022904346,0.010672976,0.03187851,36465,1,0.282785327,8.73126268246498e-12,AARSD1,1.496501981
4,-0.015626496,0.009735325,0.108474374,31776,1,0.080652037,5.55580291217799e-24,ABCA2,0.964672847
5,-0.031569353,0.010732784,0.003269445,36270,1,0.189435181,8.30732950812252e-17,ABHD14B,2.485525997
6,-0.041280305,0.010749747,0.000123183,36465,1,0.350829777,2.07321782825915e-29,ABL1,3.909450376
7,0.018948661,0.010023468,0.058709334,32833,1,0.093868982,0.25776535,ABO,1.231292843
8,-0.030537084,0.009807024,0.001848605,31776,1,0.249096166,4.71538275068548e-17,ABRAXAS2,2.733155786
9,-0.073005321,0.010364021,1.9000733387776e-12,35873,1,0.447809796,1.33446266224326e-08,ACAA1,11.72122964
10,-0.006016714,0.009933238,0.544708101,32262,1,0.225244673,1.67118408931197e-06,ACADM,0.263836166
11,-0.012395175,0.010008163,0.215537195,32845,1,0.136563816,9.71407104758467e-06,ACADSB,0.666477774
12,-0.006496258,0.009937759,0.5133128,36154,1,0.234538969,1.29916718044468e-25,ACAN,0.289617906
13,0.029448119,0.009957426,0.003104637,32833,1,0.038596646,4.18473846653726e-12,ACE,2.507989181
14,-0.046579718,0.009203925,4.19442023877746e-07,35898,9,0.000308252,1.0057278189936e-79,ACE2,6.37732806
15,0.049139127,0.009285726,1.21846852363236e-07,32092,1,0.109626435,8.96269394981021e-98,ACHE,6.914185685
16,-0.049589892,0.009991415,6.96711993044899e-07,32712,1,0.153259157,0.00021632,ACOT13,6.156946714
17,-0.024087155,0.010884877,0.026910648,36448,1,0.729604317,0.562033055,ACOX1,1.570075838
18,0.038300126,0.009811869,9.50267453537855e-05,31885,1,0.270970224,2.34704396104683e-26,ACP1,4.022154145
19,-0.167234117,0.010334149,1.06836669389842e-58,36670,1,0.054294263,0.541999112,ACP5,57.97127966
20,-0.038734258,0.010999412,0.000429657,36814,1,1.820996332,4.39908574068941e-19,ACP6,3.366878226
21,-0.023848315,0.009939809,0.016433231,32702,1,0.124441182,0.00028575,ACRBP,1.784277053
22,0.023697526,0.006301462,0.000169782,31885,10,6.33150420898434e-05,0,ACRV1,3.77010755
23,0.025300855,0.009874761,0.010406488,31776,1,0.053324042,0.067164816,ACSL1,1.982695831
24,-0.015945922,0.009257585,0.084992843,35898,1,0.078174373,2.82399449948318e-109,ACTA2,1.070617646
25,0.07197156,0.00957966,5.93257607337756e-14,31776,1,0.00454969,1.28650159576406e-33,ACTN2,13.22675668
26,-0.028548114,0.010628841,0.007236574,35960,1,0.430120372,0.365003509,ACTN4,2.140466999
27,-0.038468606,0.009577114,5.9132187038744e-05,36265,1,0.052607534,2.71096868707892e-14,ACVRL1,4.228176058
28,-0.062627601,0.009458023,3.60169188517776e-11,36448,2,0.033728452,9.90872982053504e-30,ACY1,10.44349344
29,-0.011103545,0.009644501,0.249624709,31776,1,0.095493552,3.85814092163746e-11,ACY3,0.602712428
30,-0.038446133,0.009783278,8.52024462612366e-05,31965,1,0.029429267,1.12130927743269e-25,ACYP1,4.069547936
31,0.020348951,0.010915144,0.062289473,36881,1,1.36176104,2.67007065957519e-07,ADA,1.205585343
32,-0.060559508,0.01026386,3.66138992135648e-09,36201,1,0.454536553,0.00018428,ADA2,8.436354018
33,-0.066414874,0.009235793,6.57183580002972e-13,31885,1,0.017531062,1.58371271923637e-136,ADAM12,12.1823133
34,0.001971729,0.010525454,0.851403313,35898,1,0.157124503,7.73020203839505e-08,ADAM15,0.069864664
35,-0.062667643,0.010429356,1.88708224355244e-09,36327,1,0.085408714,0.008945215,ADAM22,8.724209172
36,0.003084938,0.010923938,0.777637115,36881,1,1.122007184,3.42957272038491e-06,ADAM23,0.10922302
37,-0.095591216,0.010647442,2.88862748990155e-19,36761,1,0.265824701,0.117978004,ADAM8,18.53930846
38,0.00372048,0.009711203,0.70163908,32712,1,0.05167761,1.33683266686339e-17,ADAM9,0.15388623
39,-0.012049562,0.009711399,0.214701782,31885,1,0.007377469,1.35996081549548e-18,ADAMTS1,0.66816435
40,0.031997913,0.010874653,0.003258495,36849,1,1.22822306,0.213658413,ADAMTS13,2.486982992
41,-0.025567176,0.00975428,0.008767679,36465,1,0.221647426,0.019335326,ADAMTS15,2.057115359
