coding,beta,se,pvalue,n,protein,-Log10P
1,-0.0756758589486118,0.0105409384997324,7.21258019932563e-13,24230,A1BG,12.1419093447297
2,-0.00263405823337457,0.0111903611176135,0.813910927109685,23576,AAMDC,0.0894231208864974
3,-0.0380094106521568,0.0121701658697339,0.00179108201590665,26958,AARSD1,2.74688452680303
4,-0.0272742624540592,0.011081861559936,0.0138559191774397,23435,ABCA2,1.85836465858989
5,-0.0193307505035082,0.0121842347628711,0.112629142389868,26797,ABHD14B,0.948349222792209
6,-0.0172716184064115,0.0122073937127145,0.157124339734674,26958,ABL1,0.803756534287308
7,0.0229935757956497,0.0114284443579277,0.0442351869258367,24218,ABO,1.3542321331786
8,-0.0159210592970969,0.0111918000737086,0.154875712625807,23435,ABRAXAS2,0.810016682302766
9,-0.0506316468075219,0.0117953321547095,1.7728722179009e-05,26509,ACAA1,4.75132256561759
10,-0.028398812645417,0.0113548771082084,0.0123901722429741,23797,ACADM,1.90692265620237
11,-0.0152686813065731,0.0113721108657116,0.179400294100361,24226,ACADSB,0.746176849329501
12,-0.00210742342790731,0.0112459982113573,0.851353788818819,26721,ACAN,0.0698899268693069
13,0.0163281347573165,0.0114191045210327,0.15275970595572,24218,ACE,0.815991186263181
14,-0.032407534671323,0.0105704961362224,0.0021727200387243,26516,ACE2,2.66299623017749
15,0.0553902224261951,0.010644002373331,1.96786134630959e-07,23687,ACHE,6.70600550481423
16,-0.0259501321781419,0.0113116476723474,0.0217928999052419,24122,ACOT13,1.66168497585526
17,-0.012770021996887,0.0123841762729842,0.302476774961594,26922,ACOX1,0.519307966113156
18,0.0364526879243556,0.0112141301931208,0.00115322622433371,23499,ACP1,2.93808549032656
19,-0.160838627280114,0.0118067602901131,4.0474824648467e-42,27102,ACP5,41.3928150240908
20,-0.0141754286876992,0.0125328060681481,0.258037358777276,27212,ACP6,0.588317412113304
21,-0.023748289640582,0.0113405130134596,0.0362605379568035,24118,ACRBP,1.44056575705413
22,0.0235029229280969,0.00723500949057054,0.00116178501239121,23499,ACRV1,2.93487423044008
23,0.0102539167907432,0.0112928993582286,0.36388924061989,23435,ACSL1,0.439030785327452
24,-0.0165450852248812,0.0106055928585305,0.118763792684906,26516,ACTA2,0.925315941794876
25,0.115945996177219,0.0109810829560178,5.29735968637783e-26,23435,ACTN2,25.2759405378241
26,-0.0326163872076193,0.0121577911183999,0.00730634577790627,26563,ACTN4,2.13629977834869
27,-0.0257363471420116,0.0109317846701169,0.0185664237390803,26789,ACVRL1,1.73127174192298
28,-0.0596055826303791,0.0108256666484937,3.70534338212251e-08,26922,ACY1,7.43117153881806
29,-0.0163688661917081,0.0110710957645899,0.1392813794467,23435,ACY3,0.85610694060466
30,-0.0133158170172589,0.0111148313057791,0.230920337291198,23587,ACYP1,0.636537816825584
31,0.0711072723421676,0.0124224330552947,1.05073746168741e-08,27248,ADA,7.97850578367081
32,-0.0671667766311393,0.0117338778788455,1.05048727785429e-08,26748,ADA2,7.97860920284026
33,-0.0895737666886162,0.010544854467463,2.10326979272555e-17,23499,ADAM12,16.6771050154845
34,0.0118098054496994,0.0119493543999904,0.323004177426477,26516,ADAM15,0.490791860883957
35,-0.118489033428738,0.0117708893603402,8.58304414781225e-24,26839,ADAM22,23.0663586536289
36,0.00743920722329274,0.0124369709749713,0.549743052510439,27248,ADAM23,0.259840250417276
37,-0.0971012360466859,0.0121056771191228,1.08966170688758e-15,27171,ADAM8,14.9627083108994
38,0.0058102842692521,0.0110553818551911,0.599197671098646,24122,ADAM9,0.222429883277503
39,-0.0267583478049007,0.0110967834409813,0.0159007450207821,23499,ADAMTS1,1.79858252657047
40,-0.00687528340198626,0.0123499283407596,0.577732662188433,27231,ADAMTS13,0.23827307887157
41,-0.0246743554311269,0.0111353907195251,0.026710102479432,26958,ADAMTS15,1.57332444570508
42,-0.119349885275162,0.0109555205285334,1.40800901313095e-27,26516,ADAMTS16,26.8513945651225
43,-0.00417216346527586,0.0108931129410957,0.7017163417711,23499,ADAMTS4,0.153838409379162
44,0.183751601450728,0.0123050157163745,3.18113925775375e-50,27134,ADAMTS8,49.4974173187737
45,-0.0604351447885107,0.0107763979911367,2.06787251825928e-08,24229,ADAMTSL2,7.6844762384616
46,0.0075606244855672,0.0108978622061142,0.487832457173042,23576,ADAMTSL4,0.311729307953791
47,0.193847789793704,0.0112349392037224,2.60327425670119e-66,24226,ADAMTSL5,65.5844800762635
48,-0.00801477528634756,0.0121182448072463,0.508373842776165,26509,ADCYAP1R1,0.293816803181401
49,-0.000775312547441081,0.0111357805855244,0.94449388239496,23687,ADD1,0.0248008507127306
50,-0.0398553713645526,0.0120919761927664,0.000981932285656879,26789,ADGRB3,3.00791846025738
51,0.00341431579961216,0.00987215265653588,0.729456098864404,23687,ADGRD1,0.137000840295075
52,-0.0232769294366527,0.0111553381251279,0.0369331592948258,24122,ADGRE1,1.43258354082928
53,0.0202792212902788,0.0117898754797764,0.0854340685176999,27098,ADGRE2,1.06836891129227
54,0.02588431756424,0.0117823291312916,0.0280377352519468,27098,ADGRE5,1.55225706942525
55,-0.0453995000745831,0.0111073520288013,4.37758218227462e-05,24226,ADGRF5,4.35876569196677
56,-0.0889696016371538,0.0114863007583469,9.83779441524501e-15,26958,ADGRG1,14.0071022573263
57,0.119365086915128,0.0109094341190584,8.35701623993263e-28,26922,ADGRG2,27.0779487538809
58,-0.00951579723725507,0.0113484137624997,0.401750969393074,23441,ADGRV1,0.396043066645377
59,-0.0935747418204647,0.0104223604472876,2.95054377036532e-19,23687,ADH1B,18.5300979383586
60,-0.124901631164342,0.0108137743510454,8.72469080835912e-31,26516,ADH4,30.059249954925
