coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
1,-0.074154899,0.010545117,2.09E-12,24232,3,0.002695523,2.67E-09,A1BG,11.68033096
2,-0.002118361,0.0111991,0.849973299,23578,1,0.037117889,2.15E-06,AAMDC,0.070594717
3,-0.036101238,0.012178475,0.003035904,26960,1,0.107899636,5.46E-09,AARSD1,2.517711967
4,-0.024566283,0.01108173,0.026644462,23437,1,0.063423514,2.62E-14,ABCA2,1.574393047
5,-0.018232144,0.012194042,0.134882327,26799,1,0.153467252,8.94E-12,ABHD14B,0.870044951
6,-0.015156704,0.01221439,0.214657505,26960,1,0.260723358,3.98E-20,ABL1,0.668253923
7,0.022340133,0.011436909,0.050791223,24220,1,0.055802918,0.530557828,ABO,1.294211327
8,-0.015499164,0.011201142,0.166459579,23437,1,0.289039065,7.04E-13,ABRAXAS2,0.778691209
9,-0.046735811,0.011789664,7.39E-05,26511,1,0.316074408,3.24E-05,ACAA1,4.131614431
10,-0.027791669,0.011362037,0.014451848,23799,1,0.577422968,0.000521054,ACADM,1.840076628
11,-0.014717277,0.011380662,0.195960157,24228,1,0.170407885,1.45E-06,ACADSB,0.707832222
12,-0.005903772,0.011243241,0.599521346,26723,1,0.763003858,1.15E-16,ACAN,0.222195349
13,0.02395525,0.011356831,0.034926768,24220,1,0.023191305,7.17E-11,ACE,1.456841594
14,-0.024836753,0.010517433,0.018209129,26518,6,0.00025214,2.72E-50,ACE2,1.739710822
15,0.056555096,0.010648906,1.10E-07,23689,1,0.006794892,1.17E-73,ACHE,6.958293391
16,-0.024926601,0.011319452,0.027667465,24124,1,0.09804747,0.012405614,ACOT13,1.55803063
17,-0.011838035,0.0123941,0.339518162,26924,1,0.632455835,0.209040486,ACOX1,0.469136989
18,0.035632868,0.011219688,0.001495536,23501,1,0.324734553,1.11E-17,ACP1,2.825203239
19,-0.156508138,0.011799888,5.02E-40,27104,1,0.356362982,0.636299944,ACP5,39.29903633
20,-0.013395966,0.012543668,0.28555413,27214,1,1.441801275,2.91E-15,ACP6,0.544311554
21,-0.02337552,0.011349562,0.03944783,24120,1,0.711432354,0.002631226,ACRBP,1.403976878
22,0.023532097,0.007239512,0.00115361,23501,10,0.000173425,0,ACRV1,2.937941157
23,0.010472354,0.011301563,0.354128805,23437,1,0.047010716,0.058682497,ACSL1,0.450838746
24,-0.01216025,0.010594285,0.251056443,26518,1,0.066010512,1.60E-66,ACTA2,0.600228628
25,0.118322783,0.010983392,5.35E-27,23437,1,0.004167678,1.17E-28,ACTN2,26.27177371
26,-0.031009754,0.012165813,0.010811104,26565,1,0.354136505,0.365878654,ACTN4,1.966129964
27,-0.022452314,0.010931663,0.039997078,26791,1,0.042172219,6.71E-07,ACVRL1,1.397971736
28,-0.051713928,0.010772307,1.59E-06,26924,3,0.020288999,3.06E-17,ACY1,5.798572629
