"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","ssoe",64,0.00157040057265862,0.00327979647650322,0.632073536934746,64,0.00344794330801622,0.00363390890460726,0.342709667778889,64,0.00582122726150081,0.00344574584905152,0.0960872952488495,64,0.00505027666527949,0.00675325107836351,0.457345814217073,64,0.00742672277283077,0.00590700122776039,0.213369738173317,NA,NA,NA,NA,"A1BG",0.199232391927885
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","ssoe",63,0.000607100742463053,0.000654449878423682,0.353588904534451,63,0.000253681978829828,0.000693708913917406,0.714596875684222,63,4.67605426034412e-05,0.000661987022963518,0.943914296832089,63,0.00109245239717382,0.00220874550562962,0.622628425663285,63,0.000570337452681767,0.000782788300197366,0.469036030687916,NA,NA,NA,NA,"AAMDC",0.451501371416503
"AARSD1_Q9BTE6_OID21311_v1_Oncology","ssoe",39,0.000381412847170206,0.0039449954062239,0.922978370845986,39,0.00202801223405209,0.00482868833484807,0.67449103119817,39,0.000797941103386463,0.00435441447358841,0.855577096628412,39,0.00196637737940075,0.00966654095163346,0.839891407508202,39,0.00220629595270514,0.00715229643386551,0.759451987069137,NA,NA,NA,NA,"AARSD1",0.0348084761488429
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","ssoe",22,-0.000861823905831085,0.00408466563606795,0.832895016621068,22,-0.00334886800081446,0.00486194836789506,0.49095457713509,22,-0.00262454470336476,0.00458801708314934,0.573365872474908,22,0.00782326541658326,0.0103340496788472,0.457437717656337,22,-0.00104267093647794,0.00608381888589832,0.865643763844089,NA,NA,NA,NA,"ABCA2",0.0794097363789278
"ABHD14B_Q96IU4_OID20921_v1_Neurology","ssoe",50,0.000930077563836923,0.00162195121267957,0.566352714477931,50,0.00169516628432363,0.00201768643640119,0.400822336833908,50,0.000724630670497398,0.00153395160206928,0.638742306146088,50,-0.00291794726821398,0.00456730611472719,0.525878158051497,50,0.00129820439623377,0.00209763578364987,0.538915521325879,NA,NA,NA,NA,"ABHD14B",0.246913013613779
"ABL1_P00519_OID21280_v1_Oncology","ssoe",37,-0.00161274743709322,0.00507286880525454,0.750548464423225,37,-0.00199890168505947,0.0065737642287074,0.761072569030527,37,4.04407168227983e-05,0.00737762974975747,0.99565665558944,37,0.00301501054624564,0.0111962552585613,0.78924598966792,37,-0.0023147263553852,0.0118531218614774,0.846299815788814,NA,NA,NA,NA,"ABL1",0.124621259247479
"ABO_P16442_OID30675_v1_Inflammation_II","ssoe",24,0.000220214152653214,0.000899774962672266,0.806654975911814,24,-0.000320348756219555,0.0011525523962263,0.781052860622782,24,0.000295653264573287,0.00103677498471054,0.778068917816026,24,-4.47587338417155e-05,0.00184419171313319,0.980846497975968,24,0.000776714296552972,0.00120463299959345,0.525741618052727,NA,NA,NA,NA,"ABO",0.0933121828720164
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","ssoe",28,-0.00486243554598137,0.00679446892228326,0.474209867679403,28,-0.000378106506507064,0.00858291175827803,0.964861832381028,28,0.00652440794289969,0.0140151358689298,0.645288228804509,28,0.00652440794289969,0.0160871027803923,0.688256334208748,28,-0.0087226946480858,0.0232677381828008,0.710787613816243,NA,NA,NA,NA,"ABRAXAS2",0.324029413170724
"ACAA1_P09110_OID21269_v1_Oncology","ssoe",38,0.00525187760361827,0.00431837285478662,0.223919985066561,38,0.00402874806836448,0.00508779059282266,0.428450311814642,38,0.00279192876473709,0.00511221294869267,0.588255287774808,38,-0.00123107034137462,0.0099264739505314,0.901971620595528,38,0.00141087238572277,0.00829160214169273,0.865839504805526,NA,NA,NA,NA,"ACAA1",0.649907143505409
"ACADM_P11310_OID31277_v1_Oncology_II","ssoe",19,-0.00332749427189211,0.00473348368346527,0.482074807989933,19,-0.00273725679567961,0.00614805317719123,0.656158358219639,19,-0.00283883752283665,0.0060782326660856,0.646068070654543,19,-0.017494750638582,0.0122488561638648,0.170334674479118,19,0.00995806648833842,0.0110052084311693,0.378189970997432,NA,NA,NA,NA,"ACADM",0.316885563055104
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","ssoe",57,0.00234435894724627,0.00316259159618674,0.458525018091031,57,0.00388536423414303,0.00452810935957682,0.390862416218509,57,0.0044024493070301,0.00399484124208662,0.275160986262671,57,0.00658514494683415,0.00748848634178306,0.382959031399849,57,0.0047334999823412,0.00573009974245334,0.412329937642785,NA,NA,NA,NA,"ACADSB",0.338636963325558
"ACAN_P16112_OID20159_v1_Cardiometabolic","ssoe",110,0.00145062604954866,0.00286754883362779,0.61294323245037,110,-0.000265833620318363,0.00382207607589352,0.944550120969281,110,-0.000793290156351156,0.00473452816264581,0.867244464528102,110,-0.00834770129626755,0.00774422254175985,0.283446388732056,110,0.00253299929204397,0.00688773296039568,0.713775542833263,NA,NA,NA,NA,"ACAN",0.212579745669471
"ACE_P12821_OID30696_v1_Inflammation_II","ssoe",49,1.18049142943355e-06,0.00147878274994096,0.999363060067002,49,-0.00136842098306041,0.00199698329743879,0.4931899121521,49,-0.002731850964211,0.0017634177330636,0.127907343182529,49,0.00334304755144724,0.00355954950883306,0.352342039226987,49,-0.00135486851900723,0.00228212374170156,0.555567769858791,NA,NA,NA,NA,"ACE",0.000276707630632529
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","ssoe",98,-0.00375445029279106,0.0027680123851525,0.174981320237732,98,-0.0014950762084978,0.00390405681461837,0.701753484961085,98,-0.00236203629047538,0.00347657602009247,0.498493325451327,98,-0.0149668653318203,0.00900426725125948,0.099701724431064,98,0.00158264841338762,0.00469144920477444,0.73659146914679,NA,NA,NA,NA,"ACE2",0.757008311031867
"ACHE_P22303_OID30585_v1_Inflammation_II","ssoe",83,0.00168757377221029,0.00224363624409423,0.451954755487466,83,-0.000627710773697773,0.00282712686814988,0.824289484498675,83,-0.00221328281305325,0.0022324297871573,0.324395508358672,83,-0.00464746603997204,0.00506088931283098,0.361149791850009,83,-0.00290718062966103,0.00349600791471097,0.408095618931134,NA,NA,NA,NA,"ACHE",0.344905039581616
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","ssoe",45,0.00191649689723382,0.00549563548651518,0.727291482267871,45,0.00729149853012537,0.00653369087343503,0.264428717813095,45,0.0115185411752636,0.0102839356736444,0.268768391855337,45,0.016061790703752,0.0131759616634955,0.229330906158024,45,0.0115417247800363,0.0157033193211182,0.466337644510344,NA,NA,NA,NA,"ACOT13",0.138291498673202
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","ssoe",27,-0.000143375484309226,0.00421477497582401,0.972863313746215,27,-0.00428478570493128,0.00446627294892004,0.337374928022444,27,-0.0036874012256371,0.00416375866744916,0.383953764046995,27,-0.0132508216989214,0.011721509904093,0.268598912262045,27,-0.00330655447644872,0.00639828376062976,0.60984623282927,NA,NA,NA,NA,"ACOX1",0.0119481733552147
"ACP1_P24666_OID30524_v1_Inflammation_II","ssoe",28,-0.00103837001297768,0.00141361397657558,0.462613656067882,28,-0.000602362427942416,0.00194496972397215,0.756787028633727,28,-0.00076323735908862,0.0015517613719812,0.626798986896983,28,-0.00349564651802234,0.00330848912423966,0.300070891655201,28,-0.0011818728511744,0.00196294858881471,0.552328838538133,NA,NA,NA,NA,"ACP1",0.33478155127273
"ACP5_P13686_OID20314_v1_Cardiometabolic","ssoe",105,0.000964991432547944,0.00219607906125082,0.660360413688003,105,0.00399083350722926,0.00290762462757269,0.169895138720702,105,0.00197697847088962,0.00248537381967768,0.428166369651458,105,0.000980804636896981,0.00640592311223769,0.878608976159858,105,0.00215866650419385,0.00325781734153578,0.50905956291077,NA,NA,NA,NA,"ACP5",0.180218969073921
"ACP6_Q9NPH0_OID21432_v1_Oncology","ssoe",54,0.000756039364082951,0.00135035651796283,0.575560403980931,54,0.00070744875216074,0.00188704299065519,0.707736283564564,54,0.000867662930055677,0.0015102840935299,0.56805798742479,54,0.00131333284549541,0.00295795512060631,0.658849958475137,54,0.00102769954241889,0.00154956200764618,0.510119598293532,NA,NA,NA,NA,"ACP6",0.239909091254003
