"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","mvpa_leisure_time",37,-0.00326714681629416,0.0109811155194185,0.766066390272388,37,0.00944890999108519,0.0117351412765039,0.420715376518672,37,0.00323911654791081,0.0115941267549527,0.781555405596321,37,0.00323911654791081,0.0183593419440981,0.86094587749959,37,0.00758316267505414,0.0211576423814857,0.722187521911286,NA,NA,NA,NA,"A1BG",-0.00326714681629416,0.115733591099083
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","mvpa_leisure_time",37,0.00289439493140204,0.00225509817700319,0.199320620380827,37,0.00142945775196381,0.00219887616093113,0.515636923361645,37,0.00386806509985638,0.0018770943566566,0.0466166919650327,37,0.00672224533648747,0.00420769609844821,0.118872157607108,37,-1.20693150834057e-05,0.00293393318846166,0.996741111324295,NA,NA,NA,NA,"AAMDC",0.00289439493140204,0.700447769767333
"AARSD1_Q9BTE6_OID21311_v1_Oncology","mvpa_leisure_time",14,-0.00583272073296624,0.0211070638736201,0.782287128749266,14,-0.00149305109134819,0.0201216411488783,0.940850244672537,14,0.00216427798314489,0.0242367947531112,0.930206789732544,14,-0.0188758092793488,0.0296970465578715,0.536058278575375,14,0.0299210482788376,0.0845488100988366,0.729560762022356,NA,NA,NA,NA,"AARSD1",-0.00583272073296624,0.106633815298082
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","mvpa_leisure_time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","mvpa_leisure_time",29,0.00270938499054728,0.00664969693582204,0.683681267685637,29,0.00385764066184001,0.00645566923326976,0.550134496003212,29,0.00417826778549357,0.00522954981935849,0.431031785220355,29,-0.00589998295890926,0.0115017714357758,0.612000814406873,29,0.0019184816664652,0.00909709471300472,0.834557088681187,NA,NA,NA,NA,"ABHD14B",0.00270938499054728,0.165146319254871
"ABL1_P00519_OID21280_v1_Oncology","mvpa_leisure_time",16,-0.00191283838965738,0.0382374140187853,0.960102221193946,16,0.0268068849830059,0.0292183173765011,0.358897206980147,16,0.0344393709891078,0.0295244072897663,0.26163540290229,16,0.0279066665543742,0.0425842942634664,0.522181073541779,16,0.0398574736481977,0.122977152166572,0.750650180145091,NA,NA,NA,NA,"ABL1",-0.00191283838965738,0.0176825255676388
"ABO_P16442_OID30675_v1_Inflammation_II","mvpa_leisure_time",17,0.000595769474169637,0.00304530390354597,0.844895492130308,17,0.00155334555715987,0.00336820209375198,0.644669870804071,17,0.00173590991348255,0.00318675710640098,0.59345376679022,17,0.00376037370760057,0.00657138216183205,0.575115836697827,17,0.00272559205490486,0.00469151200073553,0.569892686621764,NA,NA,NA,NA,"ABO",0.000595769474169637,0.0731970070243332
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","mvpa_leisure_time",5,0.0572387361107025,0.0908787200729179,0.528801554048248,5,0.0445995233923134,0.0494901408370515,0.367492641531936,5,0.0341787183745278,0.0459820144699996,0.498582418872351,5,0.038497963147888,0.0517201910282159,0.498015771007673,5,0.0827779253538188,2.15561629593775,0.971780436423348,NA,NA,NA,NA,"ABRAXAS2",0.0572387361107025,0.276707277210792
"ACAA1_P09110_OID21269_v1_Oncology","mvpa_leisure_time",16,0.0128972775396272,0.0180162380518331,0.474071857078704,16,0.0222531602103279,0.0232819496201945,0.33916736825004,16,0.030589013749884,0.02771906254672,0.287183646733682,16,0.0433814034248471,0.0327984569842121,0.20575860082239,16,-0.0208249693066546,0.0484618295672316,0.673940316787084,NA,NA,NA,NA,"ACAA1",0.0128972775396272,0.324155825482985
"ACADM_P11310_OID31277_v1_Oncology_II","mvpa_leisure_time",6,-0.00419419678660122,0.02380679929022,0.860155341315348,6,-0.00189209730340097,0.0260331323806691,0.94206048163043,6,-0.000650878600095162,0.0247672723341749,0.980050790781851,6,0.00274743297143676,0.0407337391371879,0.948838674892123,6,0.00813618290427968,0.134442552583886,0.954646162399661,NA,NA,NA,NA,"ACADM",-0.00419419678660122,0.0654231094729208
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","mvpa_leisure_time",33,0.00676492670528553,0.0161602775749754,0.675497882263047,33,0.0147291528999669,0.0163205833698534,0.366796969071226,33,0.0187478754267409,0.0135377791862452,0.175676561321465,33,-0.00407372802791772,0.0226841917057874,0.858611156908692,33,0.0321455092140802,0.0287407449396168,0.27196107403498,NA,NA,NA,NA,"ACADSB",0.00676492670528553,0.170376008185866
"ACAN_P16112_OID20159_v1_Cardiometabolic","mvpa_leisure_time",63,-0.00980543918532541,0.00976318646448112,0.315220657741506,63,-0.00340754941735765,0.011997182349555,0.776388047308144,63,0.00511305410184881,0.0124991883872647,0.68389733520788,63,-0.00286769749049542,0.0210382810033043,0.892019006746368,63,0.0182132999098582,0.0230741815369021,0.432972636501996,NA,NA,NA,NA,"ACAN",-0.00980543918532541,0.501385329097563
"ACE_P12821_OID30696_v1_Inflammation_II","mvpa_leisure_time",34,-0.00065211269308156,0.00489106215942277,0.893934444079288,34,-0.0109297216380658,0.00682273350377307,0.109165250031111,34,-0.00980823931468997,0.00685811745787309,0.16207035839963,34,0.017218062886626,0.0141666514176882,0.232839887545926,34,-0.00427936960589374,0.0100821204802928,0.674076866182786,NA,NA,NA,NA,"ACE",-0.00065211269308156,0.0486943286521007
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","mvpa_leisure_time",49,-0.00494450196886744,0.0106579871859414,0.642701799118696,49,-0.00176108385992974,0.0141845642382519,0.901192591084491,49,-0.00366639321715878,0.0143119653964613,0.798909089060571,49,0.0301718964791669,0.0223105551524948,0.182597480973342,49,-0.0141477780040105,0.0262906462771202,0.593026883577554,NA,NA,NA,NA,"ACE2",-0.00494450196886744,0.191990484364957
"ACHE_P22303_OID30585_v1_Inflammation_II","mvpa_leisure_time",40,0.00130732025167022,0.00910498630946165,0.885829852102724,40,-0.00476961110060654,0.0100943644388258,0.636568251923905,40,-0.00527019306765164,0.00900044505135763,0.561552527643007,40,-0.00902651593931858,0.014668851379922,0.541896304847954,40,-0.00577705090802915,0.0163702285971362,0.726113634608343,NA,NA,NA,NA,"ACHE",0.00130732025167022,0.052649688258719
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","mvpa_leisure_time",19,-0.00784404861592397,0.0284287719103502,0.782610002028957,19,0.00786911336662541,0.0237716983379333,0.740622839821251,19,0.0131469372026002,0.0233704543716205,0.580683923672915,19,0.006868713346042,0.0275146681741202,0.805693785063223,19,0.0874601003066837,0.140885353990083,0.542972546205149,NA,NA,NA,NA,"ACOT13",-0.00784404861592397,0.106454605964823
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","mvpa_leisure_time",5,0.0769309204684795,0.0709175551981638,0.278013015389375,5,0.00229948395321716,0.0442958317637625,0.958598835312916,5,-0.0161298113527672,0.0394285016060576,0.703429985816477,5,0.258943338373385,0.12869617584968,0.114530675303006,5,-0.243705638946122,0.268361408949502,0.43076224578696,NA,NA,NA,NA,"ACOX1",0.0769309204684795,0.555934871781672
"ACP1_P24666_OID30524_v1_Inflammation_II","mvpa_leisure_time",15,0.000285258566609941,0.00536830942227034,0.957622349302227,15,-0.00177816400713037,0.00673469335500723,0.79175646791713,15,-0.00218027115391922,0.00605816574881603,0.724300735230556,15,-0.00903737819686518,0.00958447946661967,0.361711071910693,15,-0.00918341281668749,0.0119250814823628,0.455012325949199,NA,NA,NA,NA,"ACP1",0.000285258566609941,0.0188057267773269
"ACP5_P13686_OID20314_v1_Cardiometabolic","mvpa_leisure_time",49,-0.00117943058069981,0.00833338742479699,0.887450668743431,49,0.0050302279429792,0.0104908364046844,0.631591653778927,49,0.00524816774416048,0.0092719890932667,0.574014373549679,49,-0.00670997916963023,0.0236620681213486,0.777955396043648,49,0.00407673857244698,0.0130920394129184,0.756880715173464,NA,NA,NA,NA,"ACP5",-0.00117943058069981,0.0518557789917018
"ACP6_Q9NPH0_OID21432_v1_Oncology","mvpa_leisure_time",29,0.00177593153599561,0.00519232380027455,0.732328166758222,29,0.00112722581652457,0.00650463643148435,0.862418968070779,29,0.00173040947042619,0.00776465278442757,0.82526435097006,29,0.00173040947042619,0.0105358023882257,0.870721408068054,29,0.00329450706895652,0.00898356812750542,0.716681903947835,NA,NA,NA,NA,"ACP6",0.00177593153599561,0.135294261735852
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","mvpa_leisure_time",18,0.00574356289855325,0.0228623064094279,0.801640834325707,18,0.0050934039088452,0.0202242711333661,0.801160019055574,18,0.00232294577418235,0.0199028437143577,0.908454241127874,18,0.0083895412567051,0.036018156768286,0.818600724152557,18,-0.00814900763044317,0.0615035023091659,0.896243458476288,NA,NA,NA,NA,"ACRBP",0.00574356289855325,0.0960201686342086
"ACRV1_P26436_OID30513_v1_Inflammation_II","mvpa_leisure_time",6,-0.021805685262694,0.0356431753840771,0.540685116718698,6,-0.00445802708698193,0.0447380068219124,0.920624243104252,6,0.0065081909460587,0.0530080385803051,0.907065744430673,6,0.00443206344296548,0.0612872485760032,0.945153895273219,6,0.119508715293428,0.115518664659923,0.359326823616072,NA,NA,NA,NA,"ACRV1",-0.021805685262694,0.26705558495721
"ACSL1_P33121_OID30080_v1_Cardiometabolic_II","mvpa_leisure_time",2,0.0720308388966993,0.0535494134105164,0.178583760528282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACSL1",0.0720308388966993,0.748158036117208
"ACTA2_P62736_OID20079_v1_Cardiometabolic","mvpa_leisure_time",3,-0.0328232879718236,0.0497800594547439,0.509660649950755,3,-0.0323193274427769,0.0513490683710687,0.529084365226317,3,-0.00810404048321017,0.0506481013758085,0.88757539905084,3,-0.210284899259378,0.125946466844204,0.236939155841796,3,14.5101789093122,11.872225933295,0.436555834164555,NA,NA,NA,NA,"ACTA2",-0.0328232879718236,0.292718896269952
