"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","acc_ave",11,0.0348484169897911,0.127888761162074,0.785245228458663,11,0.120667520238657,0.139643090297747,0.387525383408291,11,0.102180012364038,0.147790055147996,0.505056446255703,11,0.202168239476531,0.268528573559917,0.46887845361145,11,0.0307775886822511,0.212698174059468,0.888135717800498,NA,NA,NA,NA,"A1BG",0.104994693911144
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","acc_ave",21,0.0181883106820219,0.0171934196142069,0.290117157132337,21,0.0274749722619491,0.0244601977768265,0.261330376015106,21,0.0226445496670451,0.0192466013541114,0.253190079462867,21,-0.0114446724257191,0.0355214214009819,0.750651754179932,21,-0.0136859399455556,0.0331331434109948,0.684187711074039,NA,NA,NA,NA,"AAMDC",0.5374265868555
"AARSD1_Q9BTE6_OID21311_v1_Oncology","acc_ave",12,-0.196660533261872,0.174956804986969,0.260990998867266,12,-0.151927029002094,0.203504837047295,0.455333776916337,12,-0.190935859902599,0.217364315578821,0.398500369815563,12,-0.161129074642275,0.249116440046299,0.531024611939063,12,1.32876481716459,0.97949593044958,0.204748416155228,NA,NA,NA,NA,"AARSD1",0.583374470476609
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","acc_ave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","acc_ave",12,-0.0746977374530407,0.0820688333447677,0.362725490705574,12,-0.0302688590816377,0.08319735698964,0.715992456795661,12,-0.028966290456572,0.0821327035464984,0.730995670413956,12,-0.016763227854891,0.115029583108628,0.886770937436905,12,-0.0282235202839796,0.130372694694419,0.832963383518517,NA,NA,NA,NA,"ABHD14B",0.440421923096792
"ABL1_P00519_OID21280_v1_Oncology","acc_ave",3,-0.251870456865699,0.382409481887125,0.510126507329176,3,-0.0875805600811592,0.319447978222385,0.783959976547993,3,-0.0581668312974504,0.301032407223615,0.864627373079747,3,-0.0768219842058393,0.336975799000637,0.840852053130964,3,-15.3217587993607,7.73087727515237,0.297489712776,NA,NA,NA,NA,"ABL1",0.292322108957165
"ACAA1_P09110_OID21269_v1_Oncology","acc_ave",7,-0.191951671646192,0.182183406300894,0.292057956760055,7,-0.28458213796068,0.230720520188119,0.217408061969942,7,-0.263558123414239,0.256207772391801,0.34329734941047,7,-0.263558123414239,0.332162501940956,0.457730399294569,7,-0.421759103921922,0.518376272804099,0.452853398699126,NA,NA,NA,NA,"ACAA1",0.534530957443757
"ACADM_P11310_OID31277_v1_Oncology_II","acc_ave",8,-0.158046724115411,0.175366675182595,0.367462965261838,8,-0.12406573120393,0.212952554916378,0.560163956477002,8,-0.0901093217916182,0.204034477977752,0.672072140750489,8,-0.96412272000872,0.384955353682629,0.0407229060033135,8,0.290734012902451,0.500921220138992,0.58277106238426,NA,NA,NA,NA,"ACADM",0.434786424723751
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","acc_ave",5,-0.184238664603133,0.216197821305035,0.394116235332381,5,-0.0758040186516601,0.159328691039263,0.634237317733505,5,-0.0376714575393384,0.164789788940435,0.830389082247087,5,-0.135140663979204,0.303832061742376,0.679480583810872,5,0.213619171612313,0.349708526376783,0.584468035380854,NA,NA,NA,NA,"ACADSB",0.404375674319796
"ACAN_P16112_OID20159_v1_Cardiometabolic","acc_ave",8,0.545462725585803,0.216674327915253,0.0118214035514831,8,0.498060284970589,0.276287582253495,0.0714372415364306,8,0.478741142255348,0.27989510978532,0.13092773993744,8,0.537389635614777,0.366498731969995,0.186002002769078,8,1.05991266070258,0.632233519150164,0.144663466719556,NA,NA,NA,NA,"ACAN",1.92733095674777
"ACE_P12821_OID30696_v1_Inflammation_II","acc_ave",29,0.011786301384448,0.0402148113507687,0.769458257637646,29,-0.0839447639518811,0.0617238255707096,0.173828072203221,29,-0.0847252487338812,0.0704798964015055,0.239385644097592,29,-0.0912757429904192,0.102491554395008,0.380749448589243,29,-0.0056652950799865,0.0795194671667904,0.943728568584629,NA,NA,NA,NA,"ACE",0.113814935246861
