"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","acc_425",11,-0.00553932432009923,0.0136629707133954,0.685164361979265,11,-0.0039011807321851,0.016056331547297,0.808029899064837,11,-0.00406819552203547,0.0161754047507728,0.806516661781084,11,0.0075327450786723,0.0244175455946959,0.764034708332969,11,-0.0168031020597207,0.0221984621421613,0.468432640599399,NA,NA,NA,NA,"A1BG",-0.00553932432009923,0.164205234437209
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","acc_425",20,-0.00190804437378884,0.00195113805966357,0.328117075962238,20,-0.00294327112822841,0.00255667047290213,0.2496448044186,20,-0.00223206724677083,0.00225531112069739,0.334761067425118,20,0.00132967637955039,0.00383790892794951,0.732805460459406,20,-0.0049168634522188,0.00375952762361109,0.20738492232288,NA,NA,NA,NA,"AAMDC",-0.00190804437378884,0.483971167348798
"AARSD1_Q9BTE6_OID21311_v1_Oncology","acc_425",11,-0.0309739093120193,0.0169870914044925,0.0682459768060434,11,-0.0485657715365831,0.0228420592501508,0.0334903080559816,11,-0.0491453038058723,0.0271142018089936,0.0999887650942536,11,-0.0466677177653094,0.0320980817315784,0.176625043663739,11,0.00949778557748278,0.10384202465313,0.929127491214397,NA,NA,NA,NA,"AARSD1",-0.0309739093120193,1.16592294578809
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","acc_425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","acc_425",10,-0.00618864101240403,0.00704831484515347,0.379926735641573,10,-0.00285543935812087,0.00875855822188413,0.744411451415268,10,-0.00133096444459729,0.00905158900995855,0.886340025798411,10,0.00399676190516393,0.0111893361626962,0.729179039688803,10,0.0128164530802351,0.012029282598061,0.317774476337922,NA,NA,NA,NA,"ABHD14B",-0.00618864101240403,0.420300143841819
"ABL1_P00519_OID21280_v1_Oncology","acc_425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.203375831704198,0.100264777532971,0.0425207044123237,"ABL1",-0.203375831704198,1.37139954942035
"ACAA1_P09110_OID21269_v1_Oncology","acc_425",6,-0.0119591130039979,0.0287211250954173,0.677126587710756,6,-0.00625680183349063,0.03613814775539,0.862544800555796,6,0.0117357718937915,0.0451481244834309,0.805274960443229,6,-0.0245879052545668,0.05444064300501,0.670440184913197,6,0.0250932203585929,0.0779208849411476,0.763554121817825,NA,NA,NA,NA,"ACAA1",-0.0119591130039979,0.169330133079894
"ACADM_P11310_OID31277_v1_Oncology_II","acc_425",6,-0.0422802870080428,0.0206929019873894,0.0410300153670365,6,-0.0422813957366166,0.0228558471264102,0.0643256672450989,6,-0.0414879777431836,0.0227496188403021,0.127802931852982,6,-0.0092406955034709,0.03649849245396,0.810209107418188,6,0.0150210884775051,0.115089716494328,0.902458587175071,NA,NA,NA,NA,"ACADM",-0.0422802870080428,1.38689832037606
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","acc_425",4,-0.0050428712867457,0.0166109541749572,0.761442486199183,4,-0.00164150999264229,0.0171008602911916,0.923528588422873,4,0.00584983781261131,0.0205043062652297,0.793979091569272,4,-0.023772934887903,0.0344972527579657,0.54025954507267,4,0.01776085757605,0.0293389915685324,0.606478631617066,NA,NA,NA,NA,"ACADSB",-0.0050428712867457,0.118362894520492
"ACAN_P16112_OID20159_v1_Cardiometabolic","acc_425",7,0.0522317197422861,0.0310592110145271,0.0926304974991706,7,0.0455170919861056,0.0341032954600072,0.181980088229625,7,0.0366730762759747,0.0337162685245348,0.318479828037674,7,0.0699006410128907,0.0607927322844077,0.293976946321591,7,0.100723780152749,0.116346278384309,0.42622142305452,NA,NA,NA,NA,"ACAN",0.0522317197422861,1.03324600343686
"ACE_P12821_OID30696_v1_Inflammation_II","acc_425",28,-0.000494428183568924,0.00456106186066028,0.913676822411013,28,0.000820720759478164,0.00683817247470004,0.904466922593855,28,-0.0129444878196203,0.0067937542856427,0.06743560866749,28,0.012230870299594,0.0115224162513616,0.297872635026975,28,-0.00793006771457804,0.00900709328820378,0.386695254536542,NA,NA,NA,NA,"ACE",-0.000494428183568924,0.0392073918625244
"ACHE_P22303_OID30585_v1_Inflammation_II","acc_425",15,-0.00260692138079416,0.00869979365093963,0.76444166717653,15,-0.00414322276599154,0.0109274823908724,0.704571870234358,15,-0.00380796451620219,0.0104941356788253,0.722124904791448,15,-0.00273418721130536,0.0166668200440619,0.87203684359341,15,-0.0149265111313258,0.0214090718270759,0.497954097982766,NA,NA,NA,NA,"ACHE",-0.00260692138079416,0.116655649021966
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","acc_425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.0871818805569056,0.0719877009973089,0.225869985914329,"ACOT13",-0.0871818805569056,0.646141475223081
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","acc_425",3,0.0531241887945399,0.0437862636460325,0.225029849826313,3,0.0635232716146397,0.0468410402019186,0.175052839504926,3,0.0646935255422224,0.0480705505274029,0.310631305537729,3,0.0624845203946249,0.0556101536582108,0.377925987098424,3,0.797428237509511,0.804097917932299,0.502651237303198,NA,NA,NA,NA,"ACOX1",0.0531241887945399,0.647759869644127
"ACP1_P24666_OID30524_v1_Inflammation_II","acc_425",13,0.00624967423393788,0.00637501440539727,0.326918888046203,13,0.0100575994233585,0.00781081746845953,0.197867812079043,13,0.00949006325105523,0.00688021540683813,0.192957708991165,13,0.00291317450011921,0.0108884976401641,0.793591757547516,13,0.012298083404395,0.0212667832077591,0.574725358393241,NA,NA,NA,NA,"ACP1",0.00624967423393788,0.485559986922635
"ACP5_P13686_OID20314_v1_Cardiometabolic","acc_425",17,0.000894951263036902,0.0129807880274193,0.945033961051983,17,-0.00051157367140851,0.0120167873795811,0.966043047757785,17,-0.00313371812914898,0.010254126563995,0.763845137952313,17,0.0346156893647135,0.022486491234703,0.143248534899755,17,-0.00469444953081167,0.0238312933942481,0.846482172684982,NA,NA,NA,NA,"ACP5",0.000894951263036902,0.0245525842606223
"ACP6_Q9NPH0_OID21432_v1_Oncology","acc_425",15,0.00181113316664723,0.00624069618175589,0.771653045577151,15,-0.00366178770841254,0.00905113600303386,0.685796082036743,15,-0.0118998042180183,0.010908782635636,0.293759518364772,15,0.000155240771469903,0.0137424975887341,0.991146365600699,15,-0.0194794062429698,0.0128889322507323,0.154626353260006,NA,NA,NA,NA,"ACP6",0.00181113316664723,0.112577925391035
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","acc_425",5,0.0293192512606056,0.0209341966553817,0.161350652250272,5,0.0260141475202078,0.0237496856539512,0.273364633172938,5,0.0222237167147728,0.0246649198356218,0.418520800464168,5,0.0326921421368492,0.036001967874805,0.415205070154885,5,0.00426875576186309,0.0539271409608533,0.9418915367991,NA,NA,NA,NA,"ACRBP",0.0293192512606056,0.7922292746473
