"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","mvpa",36,0.00239783920364685,0.00640047127040155,0.707932096417832,36,0.0103351861014626,0.00722714857768341,0.152702578674685,36,0.0116002707600376,0.00682242424840168,0.0979428013009029,36,0.0108176450184122,0.0107275727302754,0.320185185475263,36,0.0217251439210433,0.0112430789629382,0.0616874291747954,NA,NA,NA,NA,"A1BG",0.00239783920364685,0.150008397063498
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","mvpa",34,0.00112572029620199,0.0016842524098145,0.503891183557455,34,0.0013772213179705,0.00134240596307717,0.304922203854171,34,0.00058953301088735,0.00120833151846625,0.628853666212645,34,0.00293627704655694,0.00332012349601664,0.3828852830511,34,0.000873032132912246,0.00224947704153248,0.700508661839523,NA,NA,NA,NA,"AAMDC",0.00112572029620199,0.297663240306355
"AARSD1_Q9BTE6_OID21311_v1_Oncology","mvpa",14,0.0170331555010477,0.0106038013023997,0.108202429582607,14,0.0178513850304929,0.0127113924006387,0.160211347980633,14,0.0317887447899636,0.0139493515496648,0.040203084219724,14,0.0325247146462609,0.0182837433932394,0.0986369737123591,14,0.0744093537911364,0.0383278790635276,0.0760598361543983,NA,NA,NA,NA,"AARSD1",0.0170331555010477,0.965762987450584
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","mvpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","mvpa",27,-0.00189508746904797,0.00275318410799499,0.49124768039375,27,-0.00378850186974146,0.00333026890168904,0.255289056061411,27,-0.0020438286978855,0.00267156522735863,0.451142171386801,27,0.00135897728748191,0.0056575020151584,0.812052862591909,27,0.000953935817189924,0.00369148668454697,0.798202215658559,NA,NA,NA,NA,"ABHD14B",-0.00189508746904797,0.308699487292492
"ABL1_P00519_OID21280_v1_Oncology","mvpa",14,-0.0124263488449433,0.0164616336434566,0.450328611480692,14,0.0133684197830987,0.0182991997765738,0.465056085838925,14,0.0263334947497466,0.0215794908728808,0.244024741406293,14,-0.054646413726557,0.0357944219784003,0.150799044931229,14,0.0491319133703614,0.0519951664690078,0.363331690738863,NA,NA,NA,NA,"ABL1",-0.0124263488449433,0.346470459402956
"ABO_P16442_OID30675_v1_Inflammation_II","mvpa",17,0.000371883458882759,0.00202905409348243,0.854578935441353,17,0.00368904276160566,0.00251580225771941,0.142553380250221,17,0.00320587992222304,0.00230852952411324,0.183950608466335,17,-0.0036295088457778,0.00476218813509667,0.45705854058647,17,0.00385559469228883,0.00300933196927318,0.219572573766869,NA,NA,NA,NA,"ABO",0.000371883458882759,0.0682478163331573
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","mvpa",5,-0.00039436544295435,0.0277616156196548,0.988666094935072,5,-0.00158148954457248,0.0296279231833055,0.957430457741423,5,-0.00799433515571629,0.0361996071355455,0.836031333890237,5,-0.00667702217970148,0.0352550940906297,0.859007784362142,5,0.786157109115864,0.48705707741077,0.204912269451094,NA,NA,NA,NA,"ABRAXAS2",-0.00039436544295435,0.00495035917357215
"ACAA1_P09110_OID21269_v1_Oncology","mvpa",14,0.00992479642686602,0.0117545416826142,0.398481022532098,14,0.0162731712758892,0.0161463561404258,0.313524508414923,14,0.0266531299797674,0.0272110076415044,0.345211365455289,14,0.0266531299797674,0.0281398690738604,0.360828824863395,14,-0.0165203266535836,0.0341859847650355,0.637616476307853,NA,NA,NA,NA,"ACAA1",0.00992479642686602,0.399592356842131
"ACADM_P11310_OID31277_v1_Oncology_II","mvpa",6,-0.0101934572129266,0.0111196831644992,0.359297808255733,6,-0.00859322842352635,0.0123675317441624,0.487167098317006,6,-0.00881754305929555,0.0119989284722281,0.495422955294546,6,-0.00785006313787595,0.0190742174826225,0.697713982502445,6,0.0276742584560211,0.0622646008449963,0.679696786757981,NA,NA,NA,NA,"ACADM",-0.0101934572129266,0.444545432017015
