"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","acc_ave",36,0.00904886728865255,0.0971104599987452,0.925759625223942,36,0.102170615412913,0.12156256826108,0.400640656794763,36,0.0992935293014012,0.120686841450731,0.416227991491735,36,0.159016844653078,0.204084417307927,0.441115254769924,36,-0.105095752947726,0.179320153187425,0.561693372545952,NA,NA,NA,NA,"A1BG",0.0335017638478808
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","acc_ave",34,0.0206618052565863,0.0184031787428958,0.261552081451846,34,0.0289279134486294,0.0251612917670556,0.250267842370574,34,0.0176300791599955,0.0183858205620603,0.344584635126203,34,0.0176300791599955,0.0409779578758547,0.669822752278038,34,0.0214019488617972,0.0245885494618839,0.390562996894714,NA,NA,NA,NA,"AAMDC",0.582441819473463
"AARSD1_Q9BTE6_OID21311_v1_Oncology","acc_ave",14,-0.137233960354014,0.169851088672914,0.419109966544576,14,-0.148291681208094,0.204092632193004,0.467477109180491,14,-0.171899039414671,0.237304224927423,0.481665195604292,14,-0.105671984321599,0.298786565911379,0.729255609146133,14,0.0685752468318941,0.668889247957036,0.92003637509115,NA,NA,NA,NA,"AARSD1",0.377672011407036
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","acc_ave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","acc_ave",27,-0.00536320479582314,0.0476818746543463,0.910443699181003,27,0.0171671740114963,0.0539247232749098,0.750216108463124,27,0.0128153172399323,0.0454216235015898,0.7800688943112,27,0.0128153172399323,0.101617797115573,0.900612716684968,27,-0.00442021466282142,0.0656102427857335,0.94682243557982,NA,NA,NA,NA,"ABHD14B",0.0407469053232258
"ABL1_P00519_OID21280_v1_Oncology","acc_ave",14,0.715873107989715,0.243993575154377,0.00334642066511852,14,0.739769759450907,0.287805156933069,0.0101585852893406,14,0.845573199458881,0.374356185569852,0.0417283100494671,14,0.750341737616602,0.447724129814913,0.117627213652907,14,-0.304909175214148,0.757174356091514,0.694255225126307,NA,NA,NA,NA,"ABL1",2.47541946652472
"ABO_P16442_OID30675_v1_Inflammation_II","acc_ave",17,0.00249330856386408,0.029043756889401,0.93158834029013,17,-0.0241314486259708,0.0382913472289442,0.528559611670337,17,-0.0217908516033889,0.0320115741601418,0.505782500360998,17,-0.0293685917554705,0.0595113047729921,0.628367358718756,17,-0.0459648373249774,0.0447885149570254,0.32103336618224,NA,NA,NA,NA,"ABO",0.030775955709862
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","acc_ave",5,0.414808025234758,0.526297622627702,0.430601688383365,5,0.557358891720907,0.503274738338388,0.268093165239672,5,0.676552104979658,0.735018179940261,0.409422428288103,5,0.654455918605162,0.749981348365238,0.432117372374048,5,4.74502747014844,12.379527443446,0.727048488709338,NA,NA,NA,NA,"ABRAXAS2",0.365924271646435
"ACAA1_P09110_OID21269_v1_Oncology","acc_ave",14,-0.0919518249437976,0.200127673032561,0.6458996932429,14,0.00132651040843251,0.263299986135152,0.995980259198433,14,0.0174793023329531,0.339424581058877,0.959712477535989,14,-0.0437197677145691,0.392704538564947,0.913055254543696,14,0.0341344527019234,0.598650988846944,0.95546853025336,NA,NA,NA,NA,"ACAA1",0.189834921716252
"ACADM_P11310_OID31277_v1_Oncology_II","acc_ave",6,-0.123607957932282,0.182569300932544,0.498376271933724,6,-0.0866465304805237,0.210550183436026,0.680688079288523,6,-0.0754020869754011,0.20373177384366,0.726464313174975,6,-0.976806870352878,0.42179424463804,0.0684075502332601,6,0.641093516037428,1.01566169264044,0.56217580970605,NA,NA,NA,NA,"ACADM",0.302442642941101
