"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","mvpa",11,0.00727585771990425,0.00685995601400527,0.288859238258846,11,0.0114665464367255,0.00857054659119206,0.180928574884043,11,0.0126851665754858,0.00786154511591468,0.137695265671614,11,0.0137262473162241,0.0117122173081649,0.268377681459826,11,0.0146151554194985,0.0108256215747316,0.209970141498993,NA,NA,NA,NA,"A1BG",0.539313738350435
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","mvpa",21,0.000780596929558793,0.00141315552368071,0.580688960309583,21,0.0013588953352867,0.00135181822023362,0.314783582153308,21,0.000905685208786825,0.00110177589837519,0.420756107467253,21,0.0022090683407347,0.00228033525979905,0.344241510182915,21,0.00376382965388181,0.00267567835573316,0.17566810868848,NA,NA,NA,NA,"AAMDC",0.236056430419585
"AARSD1_Q9BTE6_OID21311_v1_Oncology","mvpa",12,0.0201788541385029,0.00961038038535194,0.0357558034057212,12,0.0176233942982583,0.0127349146406259,0.166399996322054,12,0.0249709012112855,0.0172591033262437,0.17583490723596,12,0.0296998991783667,0.0215973482896451,0.19644038225228,12,0.0637301491541693,0.0585312796229732,0.301776066723344,NA,NA,NA,NA,"AARSD1",1.44665345924662
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","mvpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","mvpa",12,-0.000956757014794883,0.00422444430221294,0.820827216448541,12,0.000483279925995843,0.00499801058427722,0.922969040849618,12,0.000332971012849848,0.00446514151938761,0.941894727963619,12,-0.000395654881243712,0.0063800038172391,0.95166349727497,12,0.00810424885621418,0.00574531823283282,0.188708801056212,NA,NA,NA,NA,"ABHD14B",0.0857482519429594
"ABL1_P00519_OID21280_v1_Oncology","mvpa",3,-0.00621636573247,0.016708968875556,0.709864807747714,3,-0.00137215478141032,0.0194466369264963,0.943747943132799,3,-0.00112964549773462,0.0193292391047851,0.95871028338537,3,-0.00100675972262333,0.0216469851362193,0.967131589853595,3,-0.386510216870609,0.472711786812304,0.563655970961406,NA,NA,NA,NA,"ABL1",0.148824353872074
"ACAA1_P09110_OID21269_v1_Oncology","mvpa",7,-0.0119620567102012,0.0142267352638263,0.400451413216798,7,-0.0317053442451751,0.0153457874804339,0.03882265112635,7,-0.0305683902955026,0.0155402419381101,0.0967453944113116,7,-0.0200989534097935,0.0336440251402265,0.57208046268957,7,-0.0777471062367302,0.0314486851402853,0.0563785546501002,NA,NA,NA,NA,"ACAA1",0.397450169347227
"ACADM_P11310_OID31277_v1_Oncology_II","mvpa",8,-0.00452133601779868,0.0107315724971576,0.673527558171069,8,-0.0078027546365384,0.0122565474133528,0.524372850518011,8,-0.00753448129705708,0.0112997118850431,0.526269302543954,8,-0.0025373015078812,0.0227507653581796,0.91432980424902,8,-0.0483629516105679,0.0305113229914606,0.164040660325413,NA,NA,NA,NA,"ACADM",0.171644629908667
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","mvpa",5,-0.00477406891185266,0.00884130810273996,0.589215555103851,5,-0.00751579797915874,0.00979269752931993,0.442790202996168,5,-0.00933345613503378,0.0106810985291369,0.431535713929809,5,-0.00484860726857681,0.0165864085060088,0.784574454683974,5,-0.00675112069426292,0.0158273727366725,0.698466371618676,NA,NA,NA,NA,"ACADSB",0.22972579644143
"ACAN_P16112_OID20159_v1_Cardiometabolic","mvpa",8,0.00408509582325588,0.0152300042205886,0.788524720517501,8,0.00171573431901047,0.0185396659761092,0.926265856916192,8,0.00516030060914385,0.0186815331966799,0.790353025263639,8,0.0137906160025394,0.0290484597895394,0.649422729551327,8,0.0535168681688982,0.0431246532940619,0.260930936022488,NA,NA,NA,NA,"ACAN",0.103184686842307
"ACE_P12821_OID30696_v1_Inflammation_II","mvpa",29,0.000260565500126923,0.00291202144333303,0.928701042056109,29,0.00151959057281521,0.0038082123601049,0.689871177766258,29,0.000327370478943434,0.00381484320911057,0.932224251213868,29,0.00843053155876279,0.00658810652187885,0.211167084600033,29,-0.00131127775079815,0.00585195227719692,0.82438569583759,NA,NA,NA,NA,"ACE",0.0321240671482476
"ACHE_P22303_OID30585_v1_Inflammation_II","mvpa",15,-0.00475992150394839,0.00439622932075188,0.278929078664211,15,-0.00137129537084095,0.0056342365019697,0.807706238930866,15,-0.00183836353775292,0.00546580750531281,0.741603461237973,15,0.000775184685707808,0.0083592984780635,0.927429463769885,15,0.00852143102149715,0.0105783013300921,0.4349856473394,NA,NA,NA,NA,"ACHE",0.554506207694843
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","mvpa",3,0.0102811452458492,0.0322309103851381,0.749738633253636,3,-0.0097230098312968,0.0349408543206396,0.78080470151102,3,-0.0149189948297925,0.0348496454526757,0.710273745060623,3,-0.019626567561453,0.0430498086027172,0.693176567598493,3,0.0748852388326137,0.101135307527744,0.594244984852172,NA,NA,NA,NA,"ACOT13",0.125090109833382
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","mvpa",3,0.0266393949996468,0.0235045984209836,0.257059116080134,3,0.0321948451981339,0.0251654921580547,0.200782605327646,3,0.0338291516536185,0.0283482366176748,0.355097597804396,3,0.0307277332918119,0.0328874618175031,0.448767940823111,3,0.482290650376287,0.430236981129962,0.463724362534907,NA,NA,NA,NA,"ACOX1",0.589966990150972
"ACP1_P24666_OID30524_v1_Inflammation_II","mvpa",16,0.00345730043259626,0.00273104131655832,0.205539023257292,16,0.00406973625094228,0.00344713948723721,0.237756662980552,16,0.00294779645621972,0.00301552782653826,0.343805641252532,16,0.00294779645621972,0.0045556881488702,0.527372827489096,16,0.00313961810035074,0.00536199090105731,0.567509282849946,NA,NA,NA,NA,"ACP1",0.68710571161571
"ACP5_P13686_OID20314_v1_Cardiometabolic","mvpa",19,-0.00410891208278304,0.00685902363662138,0.549138184156763,19,0.00561698682601283,0.00782519964635519,0.472876001640867,19,0.00747727004567328,0.00703724351185394,0.302044101726581,19,-0.0210455129530114,0.012742315712992,0.11594888987978,19,-0.00902252678900527,0.0124760297623829,0.479396784053127,NA,NA,NA,NA,"ACP5",0.260318356705826
"ACP6_Q9NPH0_OID21432_v1_Oncology","mvpa",15,-0.000394885968414229,0.00335230066145397,0.90622968673048,15,0.00228236228786003,0.00422325476130357,0.588902365381102,15,0.00203291788911897,0.00475632158631432,0.675578758710838,15,0.00100335905806093,0.00637211418458312,0.877130025725537,15,-0.000523712713944128,0.00693801575681745,0.940978486080375,NA,NA,NA,NA,"ACP6",0.0427617150854837
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","mvpa",6,0.0132067610680176,0.0157260566489693,0.401019866840393,6,0.0149043348938312,0.012814248476555,0.244786320605726,6,0.0237455920151232,0.0139289138234223,0.148958016692424,6,-0.0047205679993477,0.0248534348171646,0.856829373305745,6,0.0495953214832612,0.0336423702248254,0.214441581557584,NA,NA,NA,NA,"ACRBP",0.396834111555799
