"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","vpa",36,0.000568998894376529,0.00343185132682043,0.868314817515556,36,0.003528839950958,0.00456286001345137,0.439295542298475,36,0.00157265955885141,0.00419171720087165,0.709788722541703,36,-0.000229407654240538,0.0062289754724182,0.970830519790953,36,0.0129898387101357,0.00586177079399351,0.0334858180080829,NA,NA,NA,NA,"A1BG",0.0613227878171986
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","vpa",34,-9.54575466813764e-05,0.000869083338204239,0.912538610238928,34,-0.00057529228657395,0.000814846368923261,0.480179933154502,34,0.000170159644862722,0.000684754276770388,0.805289582088964,34,-0.000563333052555293,0.00173689122028664,0.747732056972752,34,-0.000204855909075235,0.00116097923258477,0.861051671300968,NA,NA,NA,NA,"AAMDC",0.0397487511356322
"AARSD1_Q9BTE6_OID21311_v1_Oncology","vpa",14,0.00257964096358476,0.00694358616787775,0.710254570408878,14,0.0106504229759662,0.00754412596915024,0.158023462845173,14,0.0193491224621273,0.0135297632568875,0.176276710562624,14,0.0172327410470392,0.0114025845036228,0.154633117729621,14,0.00714045986658996,0.0274653009353484,0.799285359949446,NA,NA,NA,NA,"AARSD1",0.148585962959522
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","vpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","vpa",27,-0.000424331368271763,0.00189524811448024,0.822841144787622,27,-0.000383600495952901,0.00199801434528269,0.847749363533034,27,-0.000330148217551396,0.00167018336104229,0.844839142526878,27,-0.00201312008659654,0.00413280640105887,0.630263908038975,27,0.00202689534616791,0.00250263677057521,0.42563766176901,NA,NA,NA,NA,"ABHD14B",0.0846840002691678
"ABL1_P00519_OID21280_v1_Oncology","vpa",14,-0.00166516972033627,0.00984181232737537,0.86564451855059,14,0.0135927474167327,0.0110426029336659,0.218346465466783,14,0.0162041648518461,0.0116011413086157,0.185871055496069,14,0.0136195145636441,0.016775153751966,0.43147266450079,14,0.0319769035604572,0.0314116912451246,0.328766811819929,NA,NA,NA,NA,"ABL1",0.0626604166740881
"ABO_P16442_OID30675_v1_Inflammation_II","vpa",17,0.000496745719783151,0.00105367920156653,0.637327101164486,17,0.00194035251536732,0.00134342601454953,0.148645748142062,17,0.00142389506996214,0.00126221913570771,0.275914918697364,17,-0.00254825072104906,0.00244639265684937,0.31306507273422,17,0.00139995003582986,0.00162496007397962,0.40250952225562,NA,NA,NA,NA,"ABO",0.195637613552239
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","vpa",5,-0.00243113381065188,0.0189045905548499,0.897674021257127,5,0.0128436436830307,0.0167279149572994,0.442607770023322,5,0.0171702626509064,0.0198600104041422,0.436044366505902,5,0.0171702626509064,0.0203026318885632,0.445335019075143,5,0.466344088687717,0.363779260038321,0.289953477733993,NA,NA,NA,NA,"ABRAXAS2",0.0468813431444284
"ACAA1_P09110_OID21269_v1_Oncology","vpa",14,0.00246538443715465,0.00725204170285172,0.733888692704561,14,-0.000227763905341898,0.00985874227915488,0.981568324456905,14,-0.000580757345362365,0.0172840813767948,0.97370598928578,14,-0.000580757345362365,0.0153830480341383,0.970458152511881,14,-0.00502082334429183,0.0215493379577392,0.819694376231193,NA,NA,NA,NA,"ACAA1",0.134369803585076
"ACADM_P11310_OID31277_v1_Oncology_II","vpa",6,-0.00497802086387631,0.00674803928173211,0.460697466964855,6,-0.00227865051355095,0.00733511179161798,0.756066915552411,6,-0.00227511724244764,0.00722865854349964,0.76567249885168,6,-0.00445240318701956,0.0145232385058254,0.771525787467416,6,0.0341884094120908,0.0372401354728429,0.410538823943709,NA,NA,NA,NA,"ACADM",0.336584175605385
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","vpa",31,-0.00390197694079805,0.00475995172391285,0.412357859519551,31,0.00323406150269378,0.00562305048565267,0.565194182492086,31,0.00446052604642433,0.00530240738514957,0.406876634064804,31,0.00773602114073524,0.00999230031715215,0.444872454126964,31,0.00754918947570805,0.00795749680666891,0.350618154693136,NA,NA,NA,NA,"ACADSB",0.384725723391521
"ACAN_P16112_OID20159_v1_Cardiometabolic","vpa",60,0.000154769394573158,0.00319211387821819,0.961329780267647,60,0.0025668992401547,0.00534810772859401,0.631252983311299,60,0.00766296620001011,0.00590821841998311,0.199680039355502,60,0.00914883164844765,0.00883994112913569,0.304919191007828,60,0.0103549399111897,0.00817170085843647,0.21015872597499,NA,NA,NA,NA,"ACAN",0.0171276038175619
"ACE_P12821_OID30696_v1_Inflammation_II","vpa",31,-0.000114766428919061,0.0018422198674803,0.950325600858274,31,0.000975330004872386,0.00229773355469222,0.671219575338788,31,-5.59791151958644e-05,0.00246979114594329,0.982067163544035,31,0.00282987233226217,0.00411529269505948,0.496957071776818,31,-0.00218172560354914,0.00369302711655319,0.559251748945083,NA,NA,NA,NA,"ACE",0.0221275711017968
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","vpa",46,-0.00654735699869828,0.00377218270800379,0.0826178562253903,46,-0.00456032534216045,0.00560062996498512,0.415500479612729,46,-0.00312203574418818,0.00798758702260184,0.697744456505958,46,-0.00312203574418818,0.0104620608587145,0.766760097531379,46,-0.0175293713882783,0.00901551692364492,0.058262942680723,NA,NA,NA,NA,"ACE2",1.08292607832049
"ACHE_P22303_OID30585_v1_Inflammation_II","vpa",38,-0.00368922263990817,0.00322434258508249,0.252549723383914,38,-0.00118144492196061,0.00348563093783268,0.734649490060043,38,-0.00283048884220263,0.00304070985271925,0.357957890557858,38,-0.00612073991980092,0.00596109795337754,0.311189919148686,38,-0.00219022029849536,0.0055678470564754,0.696366782391978,NA,NA,NA,NA,"ACHE",0.597653102831321
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","vpa",17,-0.00375987216406364,0.00932547881596008,0.686813791105877,17,0.00947689825171756,0.0102079330710022,0.353207576149763,17,0.0138767801829437,0.0124966946168083,0.28322115435202,17,0.00994502886785092,0.0166045890768038,0.557603453176837,17,0.0595191618023671,0.0420380759472429,0.177251186349009,NA,NA,NA,NA,"ACOT13",0.163160992863118
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","vpa",5,-0.000204819466166922,0.0140648322509224,0.988381197088434,5,0.00210632790451494,0.0145804911640964,0.885135607641565,5,0.000795423798261807,0.0189010781272259,0.968449004045001,5,0.027571008103012,0.0246605225954084,0.326168771221981,5,0.00245101054484576,0.066459512185175,0.972897691104758,NA,NA,NA,NA,"ACOX1",0.00507552518660242
"ACP1_P24666_OID30524_v1_Inflammation_II","vpa",14,0.000976784482169606,0.00214375437484267,0.648647452200631,14,-0.000112564126240229,0.00265633336834176,0.966199157424153,14,-0.000128764616131455,0.00235133032942888,0.957160379534519,14,0.000430662845708585,0.00343817641797505,0.902234761820884,14,-0.00209008890673202,0.00488347279287394,0.676237457019655,NA,NA,NA,NA,"ACP1",0.187991283422734
"ACP5_P13686_OID20314_v1_Cardiometabolic","vpa",45,-0.00183953523086056,0.00281275143224475,0.513112768962014,45,-0.00235750727147258,0.00328212281996516,0.472580134248382,45,-0.00385094463332467,0.00273645067401606,0.166370436599297,45,-0.00657367448785709,0.00650198625284524,0.317531880199647,45,-0.00307534388020986,0.00428930983039954,0.477263892705386,NA,NA,NA,NA,"ACP5",0.289787177664356
"ACP6_Q9NPH0_OID21432_v1_Oncology","vpa",26,0.00171226590082868,0.00169850729376559,0.313406260391864,26,0.000121906088011308,0.00233996743811272,0.958451129466071,26,9.95518562916242e-05,0.0027824206728732,0.971742841435479,26,-0.00153890297458832,0.00348426343080825,0.662523112647526,26,0.00297197559201735,0.00292341906702819,0.319478798433676,NA,NA,NA,NA,"ACP6",0.503892332607423
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","vpa",18,-0.006097818664213,0.00508644570206672,0.230591381513547,18,-0.000117622353380106,0.00704737735190711,0.986683740900363,18,0.00169794756995868,0.00781278356683403,0.830538640114974,18,0.00122724286813301,0.0129995639727674,0.925890095738564,18,0.0067629419889179,0.0130763486207326,0.612100080016604,NA,NA,NA,NA,"ACRBP",0.637156928745811
"ACRV1_P26436_OID30513_v1_Inflammation_II","vpa",6,-0.0265404671170514,0.0129770705109885,0.0408369480480213,6,-0.0245599660194243,0.0153506949890877,0.109615145356332,6,-0.0206921386216855,0.0208953572983208,0.367511278706086,6,-0.0377819561997336,0.020863888831237,0.12992549833395,6,-0.0129448972315935,0.0408039371167365,0.766925901215305,NA,NA,NA,NA,"ACRV1",1.38894672239881
"ACSL1_P33121_OID30080_v1_Cardiometabolic_II","vpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACSL1",307.652655568589
"ACTA2_P62736_OID20079_v1_Cardiometabolic","vpa",3,-0.0317087606578289,0.0196394625634264,0.10640965520456,3,-0.0327645365283102,0.020213858965716,0.105040227282252,3,-0.0336824019377993,0.0221686091243779,0.268015749209531,3,-0.0287506250954629,0.0317826588691489,0.461155783981152,3,-0.925141504779899,3.93716022982122,0.853074509439395,NA,NA,NA,NA,"ACTA2",0.973018964035155
"ACTN2_P35609_OID30192_v1_Cardiometabolic_II","vpa",7,-0.00323345748720124,0.015091785308643,0.83034991169459,7,-0.00421694185279254,0.014521238170898,0.771511598144139,7,-0.00619290878081796,0.0162611563065636,0.716441070327952,7,0.00383827097591061,0.0228968526334785,0.872379345601486,7,0.0420895723159802,0.0634198491448197,0.536275945153928,NA,NA,NA,NA,"ACTN2",0.0807388561848369
"ACTN4_O43707_OID20435_v1_Inflammation","vpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACTN4",307.652655568589
"ACVRL1_P37023_OID20999_v1_Neurology","vpa",33,0.00219899848550919,0.00338537872039953,0.515978026958923,33,0.00154848378716782,0.00413544346207467,0.708075488405909,33,0.00251676043747251,0.0035777944644032,0.48686921974606,33,0.0106171660271262,0.00876610061203843,0.234702353095446,33,0.00219149298761148,0.00463873355954847,0.639926521751128,NA,NA,NA,NA,"ACVRL1",0.287368792507824
"ACY1_Q03154_OID20137_v1_Cardiometabolic","vpa",21,-0.00150555905791429,0.00116624883986571,0.196723954269076,21,-0.00127970797511109,0.0012239676384076,0.295773142533548,21,-0.00120679530723244,0.00126315095982889,0.350789355297794,21,-0.0016592008821143,0.00576985094239558,0.776639101311934,21,-0.00137474816283904,0.00133389113765091,0.315656265028334,NA,NA,NA,NA,"ACY1",0.70614275460291
"ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II","vpa",33,0.00428834949172167,0.00286495053111708,0.134436990410059,33,0.00480588691379985,0.0038303866162771,0.209597088445948,33,0.00501575073814088,0.00324019910870616,0.131462238769462,33,-0.000701542140115308,0.00777478096545527,0.928664465470316,33,0.00767640854328849,0.00440615110760509,0.091387840892515,NA,NA,NA,NA,"ACY3",0.871481218479667
"ACYP1_P07311_OID30642_v1_Inflammation_II","vpa",17,0.00082494197399807,0.00265813183548601,0.756297455822743,17,0.000510878278553679,0.00249989577884365,0.838072318066307,17,0.000454703863111777,0.00242754987027623,0.853772419403507,17,0.00929652196721359,0.00696432047656105,0.200600735482303,17,0.000843576320230733,0.00324136187631867,0.798206732813628,NA,NA,NA,NA,"ACYP1",0.121307360563831
