"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","leisure_screen_time",66,0.0100034999571342,0.0114556196264122,0.382532529893644,66,0.0265841685511554,0.0116978658296857,0.023052365085525,66,0.0210242959020884,0.0115686021300956,0.0737718800119285,66,0.0181152844413582,0.0212599569529172,0.397295701593597,66,0.0139898970149672,0.021097423704839,0.509641964037673,NA,NA,NA,NA,"A1BG",0.417331627300956
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","leisure_screen_time",72,0.00344167458623929,0.00193300270388606,0.074997276151243,72,0.00397923954901149,0.0026841363619929,0.138206571327798,72,0.00260415302249628,0.00228224066515105,0.25768283146285,72,0.00260415302249628,0.00733735711890625,0.72370386008324,72,0.00448104041559986,0.00230101353606788,0.0554963696350228,NA,NA,NA,NA,"AAMDC",1.12495450959452
"AARSD1_Q9BTE6_OID21311_v1_Oncology","leisure_screen_time",39,-0.00829819338932522,0.0144553776863303,0.56593004269314,39,-0.0204715921415864,0.0175552272382117,0.243563846226609,39,-0.006463586169556,0.018323183433769,0.726221683447148,39,0.0525458525937944,0.0348137612581954,0.139482312056148,39,-0.0282556092333069,0.0254840421944805,0.274690188265201,NA,NA,NA,NA,"AARSD1",0.247237250702359
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","leisure_screen_time",25,-0.0231318569825189,0.0110313424648911,0.0360005426540976,25,-0.0252664572094914,0.0161438899621358,0.117564473271599,25,-0.0242355161384631,0.0138787696142419,0.0935606503174193,25,0.00676211530410009,0.0329012502244118,0.838893268456305,25,-0.0269013114795496,0.0156036392863772,0.0981179294340948,NA,NA,NA,NA,"ABCA2",1.44369095284649
"ABHD14B_Q96IU4_OID20921_v1_Neurology","leisure_screen_time",53,-0.00692996954048635,0.00551965029599216,0.209294114180299,53,-0.00321035468149913,0.00654312877771905,0.623677416548616,53,-0.00850694950441777,0.00474406097660288,0.078760964364817,53,-0.0109308596836223,0.0154099620925661,0.481283765241707,53,-0.00948857819310502,0.00712409092273487,0.188814908848388,NA,NA,NA,NA,"ABHD14B",0.679242984824047
"ABL1_P00519_OID21280_v1_Oncology","leisure_screen_time",40,0.010007262211799,0.0165099877921636,0.544425884890822,40,0.0102100152243498,0.0202279435304217,0.613735801811721,40,0.0184885674023377,0.0338911721363644,0.588497554624841,40,0.0294284526779162,0.0395284174289552,0.461043688888145,40,-0.020097594858378,0.0387654325517272,0.60715644667487,NA,NA,NA,NA,"ABL1",0.264061234317343
"ABO_P16442_OID30675_v1_Inflammation_II","leisure_screen_time",24,0.0038557255996616,0.00293884880214187,0.18952518951955,24,0.00231220741115143,0.00357836976390706,0.518174292855534,24,0.00351207605800796,0.0032221460032383,0.287010242287827,24,0.00987968250524063,0.00648220529361987,0.14111100971904,24,0.00154987886248498,0.00394525158962069,0.698213410344171,NA,NA,NA,NA,"ABO",0.722333060406609
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","leisure_screen_time",30,-0.00501378425583818,0.0255109587474502,0.844191809569146,30,-0.0194945367702925,0.0304005373473722,0.521356162036175,30,0.0195569086468598,0.0566490719769235,0.73241371857969,30,0.0195569086468598,0.060626175805845,0.749326127095102,30,0.101178298174566,0.0902250703979253,0.271643680603404,NA,NA,NA,NA,"ABRAXAS2",0.0735588657283765
"ACAA1_P09110_OID21269_v1_Oncology","leisure_screen_time",43,0.0104509848004573,0.0150273568145302,0.486764601111849,43,0.0169506774889807,0.018061597111756,0.347991253959686,43,-0.0128330472196594,0.023550207312294,0.588688616494789,43,-0.00902512059162519,0.0458224450322372,0.844810045671946,43,-0.0426415840060384,0.0273794458285549,0.127054720016967,NA,NA,NA,NA,"ACAA1",0.312681012407419
"ACADM_P11310_OID31277_v1_Oncology_II","leisure_screen_time",19,-0.0114912330237395,0.0186617060224645,0.538049361065882,19,0.00695056607023842,0.0276343811365591,0.801413037699835,19,-0.00393549595666859,0.0296500354494984,0.895878229187793,19,0.0553690540441955,0.0565548728851193,0.340540129346566,19,-0.0205432765027711,0.0438597487971891,0.645458380226682,NA,NA,NA,NA,"ACADM",0.269177879993148
