"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","mvpa",64,0.000298763629751236,0.00561242702569066,0.957546645714,64,0.0128211989881918,0.00680821385566265,0.0596738529604057,64,0.00980052984170998,0.00658617205510323,0.141727270826834,64,0.0119720244729551,0.0113413838006689,0.295179955890764,64,0.0170795415178788,0.00990189498246607,0.0895320173044536,NA,NA,NA,NA,"A1BG",0.0188400607193758
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","mvpa",63,0.000478086072049866,0.00152429285635285,0.753791056962611,63,0.00134616023109286,0.00135616518329652,0.320893899411321,63,0.000263629669755794,0.00126908684997374,0.836119246088071,63,0.00538721952613991,0.00461088819561779,0.247130938120414,63,0.00166706999339909,0.00180110974245857,0.358312020554618,NA,NA,NA,NA,"AAMDC",0.122749019360318
"AARSD1_Q9BTE6_OID21311_v1_Oncology","mvpa",39,0.00314021939130524,0.00751767161234813,0.676157916745251,39,0.00052947199189401,0.0102522019660704,0.958811793851562,39,-0.000333182511566388,0.0110003414628673,0.975995587763526,39,0.0124566732769032,0.0211639688720771,0.559626060892244,39,0.000972607233108642,0.0136374665223525,0.943528174459449,NA,NA,NA,NA,"AARSD1",0.169951862694859
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","mvpa",22,0.004016962162625,0.00684684316450265,0.557413127270319,22,-0.000224717117331075,0.0092906171862909,0.98070302179927,22,0.00103383405486632,0.00868557419551735,0.906383785006566,22,0.0197943179401205,0.0195207543490173,0.322117440332885,22,0.00251443346157399,0.00995620552945708,0.803193866100823,NA,NA,NA,NA,"ABCA2",0.253822807718283
"ABHD14B_Q96IU4_OID20921_v1_Neurology","mvpa",50,-0.00193182440774312,0.00263217977880422,0.462994017890913,50,-0.00391098566412013,0.00330190099700919,0.236229103076681,50,-0.00148612186855204,0.00273554075371856,0.589410814964471,50,0.00485814046671504,0.00715789081243307,0.500514059490553,50,-0.000623817427895299,0.00339289560233423,0.854897892188331,NA,NA,NA,NA,"ABHD14B",0.334424620242847
"ABL1_P00519_OID21280_v1_Oncology","mvpa",37,-0.0134126777569946,0.00884969489303321,0.129618234818549,37,-0.00125329282135021,0.0126124739220324,0.920845049816041,37,0.0100154482360502,0.0153590589712752,0.518486874285314,37,-0.0483811348160869,0.0248161871460651,0.0590490710520587,37,0.0138892720439076,0.020036352315945,0.492756534321334,NA,NA,NA,NA,"ABL1",0.887333897199977
"ABO_P16442_OID30675_v1_Inflammation_II","mvpa",24,0.000353027409232691,0.00193508824705685,0.855241528975039,24,0.00368582437230465,0.00247391143084818,0.136256513005991,24,0.00275497612408229,0.00210704060537328,0.203959643982184,24,-0.00530610207623553,0.00461681684139625,0.262244408716996,24,0.00184573956705584,0.00260512282648314,0.486072581667347,NA,NA,NA,NA,"ABO",0.067911218736137
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","mvpa",28,-0.0146100267648992,0.0149204477562703,0.327483674292679,28,0.00199361675940668,0.0172860816844671,0.90818296626748,28,0.00747994309579236,0.0287743319421804,0.796872942335465,28,0.0102166704975178,0.0334306324647243,0.762246916340948,28,-0.00858562779257708,0.0511330907582274,0.867955337239349,NA,NA,NA,NA,"ABRAXAS2",0.484810345569386
"ACAA1_P09110_OID21269_v1_Oncology","mvpa",38,-0.0095620528095914,0.00742286822391634,0.197680385732915,38,0.00159506844491807,0.0107380720174081,0.881914031805428,38,-0.0148436568468017,0.0130582904055597,0.262962844115557,38,-0.0238194581781804,0.0225237688854951,0.297127733809989,38,-0.0154449399276164,0.0142647253230226,0.286124465041495,NA,NA,NA,NA,"ACAA1",0.704036420168133
"ACADM_P11310_OID31277_v1_Oncology_II","mvpa",19,0.00200609156131575,0.00929182583338925,0.829066841052052,19,-0.0119464418439326,0.0120337779922033,0.320835498420486,19,-0.00723787106128751,0.0108246387398232,0.512204819858569,19,-0.00300931208690941,0.0245235000457181,0.903695390439917,19,-0.039066702096944,0.0215972124984103,0.0881904154397947,NA,NA,NA,NA,"ACADM",0.0814104543352959
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","mvpa",57,-0.0102200598204128,0.00782085698009309,0.191290899992562,57,-0.00867229440624025,0.00942286256848894,0.357391948348998,57,-0.00530007588349102,0.00762909342987918,0.490103906530302,57,-0.00220895314434771,0.0169831154552153,0.896979030599597,57,-0.00583926478482217,0.0141783709671533,0.682055081710869,NA,NA,NA,NA,"ACADSB",0.718305689549377
"ACAN_P16112_OID20159_v1_Cardiometabolic","mvpa",110,0.0063162423576027,0.00572782390290606,0.270144502552498,110,-0.00216320126980272,0.00773434426318178,0.779717084916328,110,-0.00208153589844307,0.0108698480995583,0.848493030587888,110,-0.00859801583548103,0.0168380106682466,0.610641851766803,110,0.0034887220085938,0.0137549453256263,0.80026052743542,NA,NA,NA,NA,"ACAN",0.56840386593862
"ACE_P12821_OID30696_v1_Inflammation_II","mvpa",49,0.0020908621126354,0.00353520286836275,0.554225318360827,49,0.00203322348883033,0.00373655129825223,0.586342104449774,49,-6.033702338748e-05,0.00294293792027402,0.983727660507513,49,0.00787055186496699,0.00597082896321649,0.19370364815134,49,-0.00579692429073767,0.00527839059361051,0.277695392358416,NA,NA,NA,NA,"ACE",0.256313638472155
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","mvpa",98,-0.0147467081386816,0.00504414368951432,0.00346086270239755,98,-0.0193924164730478,0.00848940376923816,0.0223534116659947,98,-0.0197847248889301,0.00725314922537215,0.00757041847621338,98,0.00662424603422751,0.018038982474481,0.714256067100921,98,-0.0183730562892558,0.008622489108174,0.0356582029268455,NA,NA,NA,NA,"ACE2",2.46081562947613
"ACHE_P22303_OID30585_v1_Inflammation_II","mvpa",83,0.000273926089693631,0.00447223337823873,0.951159790515794,83,-0.0050709395549987,0.00575943781635911,0.37861158154831,83,-0.00370521736608603,0.00507642194187679,0.467538903197906,83,0.00154064995689771,0.0112543856662242,0.891450690458704,83,-0.00482486553704013,0.0070531118706564,0.49587958609975,NA,NA,NA,NA,"ACHE",0.0217465174371123
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","mvpa",45,-0.00624445940910284,0.00934736078353597,0.504104746998229,45,-0.00976857743090245,0.0125619660578128,0.436786429829092,45,-0.0132295919761908,0.0208849234549861,0.529717771471387,45,-0.0296395870772779,0.0248144691904151,0.238702229493954,45,0.0301025774556395,0.0261583583601489,0.256181110333227,NA,NA,NA,NA,"ACOT13",0.297479212926004
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","mvpa",27,-0.0086716061336425,0.00714873460234664,0.225119602365502,27,-0.011834772083379,0.00940334117816792,0.208185343614003,27,-0.0132732134315638,0.00836005711732629,0.124443781704653,27,0.0096091066290358,0.0204564448360961,0.642460310421711,27,-0.017691187440564,0.0106772640622765,0.110037907249674,NA,NA,NA,NA,"ACOX1",0.647586687014077
"ACP1_P24666_OID30524_v1_Inflammation_II","mvpa",28,0.00312598558018864,0.00277297695548894,0.259614342714203,28,0.00468402119005196,0.00357635668112789,0.190291018224097,28,0.00235663280644526,0.00293750973436408,0.429410439941233,28,0.00235663280644526,0.00585743657836751,0.690607445649424,28,0.00210297540265233,0.00385104781699734,0.589667301207754,NA,NA,NA,NA,"ACP1",0.585671318075184
"ACP5_P13686_OID20314_v1_Cardiometabolic","mvpa",105,-0.00137256554694657,0.00452297784001774,0.761535503652279,105,0.00717718622801091,0.00699751323364322,0.305044004223386,105,-0.00625676457852392,0.00491918605790074,0.20624170192958,105,-0.00625676457852392,0.0154862432731962,0.687027015450669,105,-0.00227075543359173,0.00671763269145917,0.736029249547305,NA,NA,NA,NA,"ACP5",0.118309844552706
"ACP6_Q9NPH0_OID21432_v1_Oncology","mvpa",54,0.00146403743566679,0.00256574531687257,0.568264698907107,54,0.00267108198348762,0.00360561726995887,0.458807868321625,54,0.00317685587555494,0.00292297018364725,0.282017554597649,54,0.00199775643190064,0.00472212408698462,0.673960979148865,54,0.00335748957612223,0.00292001451009294,0.255479038636455,NA,NA,NA,NA,"ACP6",0.245449321864874
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","mvpa",49,0.00688633927094993,0.00734716515571823,0.348615365903782,49,0.0248017648064993,0.00915518911538859,0.00674783975188785,49,0.0228499826080187,0.00851874531759194,0.00999704974570689,49,-0.0180946037893096,0.0212405408285066,0.39850558502555,49,0.0246652100921475,0.0108101368410894,0.027081745750978,NA,NA,NA,NA,"ACRBP",0.457653474425825
"ACRV1_P26436_OID30513_v1_Inflammation_II","mvpa",24,-0.00317324230273471,0.0211911339890425,0.880966699234371,24,-0.0116236833891572,0.0258910343777189,0.653470414558811,24,-0.0231985337977546,0.0387273613157946,0.555013237425639,24,0.0487608617772316,0.0476937845732401,0.317237963419774,24,-0.0842395397131792,0.0509014243300299,0.112131349351655,NA,NA,NA,NA,"ACRV1",0.0550405077197256
"ACSL1_P33121_OID30080_v1_Cardiometabolic_II","mvpa",13,-0.00198349586011347,0.0237424853322317,0.933420544392878,13,-0.0058528822654206,0.0266613760232451,0.826239831110831,13,-0.024633341621526,0.0371134033837655,0.519410745381206,13,-0.0114736231289772,0.0434108968625789,0.796031203282819,13,-0.0802421152824499,0.0576177096785084,0.191229984931343,NA,NA,NA,NA,"ACSL1",0.0299226446140608
"ACTA2_P62736_OID20079_v1_Cardiometabolic","mvpa",26,0.00221458592850747,0.0171807829221114,0.89743755917358,26,0.000125488262929836,0.0197629140117134,0.994933719051622,26,0.0425390605574124,0.0319467721766017,0.195019240476479,26,0.061120859310555,0.0418548140366054,0.156659887297709,26,0.0512852944011002,0.0569839893245525,0.377065266676104,NA,NA,NA,NA,"ACTA2",0.0469957585153472
"ACTN2_P35609_OID30192_v1_Cardiometabolic_II","mvpa",22,-0.00716109597970405,0.0101779811596259,0.481689963640693,22,-0.00391957720920832,0.0116474888771316,0.736481086307792,22,-0.00459755422133618,0.0112222666503578,0.686188560042412,22,-0.0111210291361948,0.0239091776625869,0.646620948207603,22,-0.00344563111189612,0.0192547298700978,0.859777471120398,NA,NA,NA,NA,"ACTN2",0.317232402431412
"ACTN4_O43707_OID20435_v1_Inflammation","mvpa",8,0.0391021887052594,0.0205774322710946,0.0574008101434004,8,0.0380267164837133,0.0270948285057821,0.1604774190247,8,0.0377495679174795,0.0371892054269947,0.34386694883458,8,0.0377495679174795,0.039399145094839,0.369910804376968,8,0.0135223602439234,0.0417515973445759,0.757023654862499,NA,NA,NA,NA,"ACTN4",1.24108197801448
"ACVRL1_P37023_OID20999_v1_Neurology","mvpa",61,-0.000236489481759582,0.00422214717637244,0.955332516587925,61,-0.00274368682258075,0.00561366270366489,0.625017543073748,61,0.000933145835219529,0.00449487921403242,0.836242787238406,61,-0.00831221166975182,0.0141514474241048,0.559155663087113,61,0.00374240640724335,0.00540073144714135,0.491063231256952,NA,NA,NA,NA,"ACVRL1",0.0198454399509142
"ACY1_Q03154_OID20137_v1_Cardiometabolic","mvpa",59,-2.19322892486177e-06,0.00225012051034142,0.999222289111932,59,-0.00166815740864998,0.0021612628553288,0.44020692634162,59,0.000178896621880642,0.00200810783741064,0.929319555328104,59,0.00584675993769468,0.0109074525529234,0.593985267333148,59,-0.000728597150014574,0.00252937309525756,0.774349895705514,NA,NA,NA,NA,"ACY1",0.000337886953422406
"ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II","mvpa",86,-0.00181188025105474,0.00472639855471071,0.701457860847346,86,0.00361303640502798,0.00612076677225383,0.554995258277339,86,0.00583392814777439,0.00489014196689435,0.236189720944597,86,0.00107128367196951,0.0143335774464194,0.94059763707372,86,0.00665774526723221,0.00706564413262624,0.348756495209014,NA,NA,NA,NA,"ACY3",0.15399841351824
"ACYP1_P07311_OID30642_v1_Inflammation_II","mvpa",50,0.00226324728134168,0.0051016731342346,0.65731124215806,50,0.00214096361010248,0.00436386911468009,0.62370137468822,50,0.00172869574486295,0.00405688651217707,0.671890920757074,50,-0.00217417156771083,0.016201965761882,0.893800546883965,50,0.00508639219970162,0.00598930301053985,0.399960189111808,NA,NA,NA,NA,"ACYP1",0.182228939809306
"ADA_P00813_OID20645_v1_Inflammation","mvpa",50,-0.000964946683208769,0.00165340810128345,0.559482249957052,50,-0.00131314728629564,0.00191945467646237,0.493896119537315,50,-0.000698843231820234,0.00156790168497604,0.657763615442807,50,0.00503568636143925,0.00472558975857707,0.29181790064438,50,-0.000966867706095424,0.00202009762662642,0.634379017908011,NA,NA,NA,NA,"ADA",0.252213687273232
"ADA2_Q9NZK5_OID20394_v1_Cardiometabolic","mvpa",126,-0.00344511292767661,0.00318641769899422,0.279614004467204,126,-9.76070560327106e-06,0.00415287383250912,0.998124694019796,126,0.000859929781182156,0.00332910387723781,0.796595051295905,126,0.00444460727139068,0.00893820687938337,0.619879680304524,126,-0.00179303227009295,0.00462234152571862,0.698750976380571,NA,NA,NA,NA,"ADA2",0.553441080742822
"ADAM12_O43184_OID30491_v1_Inflammation_II","mvpa",17,0.000593540080063495,0.00886867557737329,0.946641054427197,17,-0.00153552068912803,0.0119249799736405,0.897543558217225,17,-0.00332288946500642,0.0134730475901457,0.808329174567353,17,-0.00869012572760222,0.0216623683774548,0.693607314772567,17,0.0011401734503048,0.0202068473737956,0.955747911354966,NA,NA,NA,NA,"ADAM12",0.023814664748059
"ADAM15_Q13444_OID20109_v1_Cardiometabolic","mvpa",104,0.000163982011017742,0.00360042885970669,0.963672801326049,104,-0.00618959431069428,0.00475109380200707,0.19265244477391,104,-0.00165608546849422,0.00320794234025644,0.606789569140236,104,-0.00165608546849422,0.0110905493320675,0.881589947135876,104,-0.00509657455534093,0.00448859948844364,0.258848359883104,NA,NA,NA,NA,"ADAM15",0.0160703983583392
