"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","ssoe",36,0.00191601630336053,0.00336265937689288,0.568818804019564,36,0.00348745922149352,0.00374176741354721,0.351318295516099,36,0.00567325092543033,0.00359193479853197,0.123231208926461,36,0.00623035335410552,0.00555712672513986,0.269859191446822,36,0.00663035105065636,0.00618434907552788,0.29121835299404,NA,NA,NA,NA,"A1BG",0.245026055128239
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","ssoe",34,0.000627056944165161,0.000702641754189953,0.372163745032762,34,0.000268797740299423,0.000679127492424393,0.692253577572553,34,0.000148148967182016,0.000605532605736356,0.808235458552018,34,0.000752285760720367,0.00136241390869173,0.584551672709442,34,-8.04075067942883e-05,0.000919081398350955,0.93082975324592,NA,NA,NA,NA,"AAMDC",0.429265936683805
"AARSD1_Q9BTE6_OID21311_v1_Oncology","ssoe",14,-0.00279919643835548,0.00566634164672769,0.621303229979365,14,-0.0031406914849667,0.00624489963442295,0.615019780387679,14,-0.00142282374311273,0.00740320778764218,0.850562913425033,14,-0.000927032933971922,0.0082949226185062,0.912721596403058,14,0.0100402001762808,0.0221115596127292,0.657881594619583,NA,NA,NA,NA,"AARSD1",0.206696388607119
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","ssoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","ssoe",27,0.00107640024855269,0.00186606572122054,0.564055185368386,27,0.00172353418776227,0.0018289985430058,0.346019798294182,27,0.000704254003860358,0.00159800003479592,0.663065918259834,27,-0.00355951012646653,0.00425615891061831,0.410595762379442,27,0.00213938723184961,0.00254796144726725,0.409064573872829,NA,NA,NA,NA,"ABHD14B",0.248678403944813
"ABL1_P00519_OID21280_v1_Oncology","ssoe",14,0.00305578082616114,0.00964375927939401,0.751345171672432,14,0.00208186757422016,0.0100924851520709,0.836572994548272,14,0.00876898953287467,0.0126581196975801,0.50065149129498,14,0.00876898953287467,0.0179090728743939,0.63254758010962,14,0.025272729903022,0.0316414168148585,0.439973455298313,NA,NA,NA,NA,"ABL1",0.124160500128242
"ABO_P16442_OID30675_v1_Inflammation_II","ssoe",17,0.000266651599963308,0.000900732592494905,0.767200616613467,17,-0.000320044407454078,0.0011439467658591,0.779652345817879,17,-6.79686617643949e-06,0.00104244403377273,0.994878333340394,17,-6.79686617643949e-06,0.00185695634630552,0.997124822891146,17,0.000296955064642815,0.00138971811204923,0.833673849377586,NA,NA,NA,NA,"ABO",0.115091056786665
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","ssoe",5,9.57886738513661e-05,0.0212766967319798,0.996407898897599,5,0.00304127681637073,0.0155233839009314,0.844676037999338,5,0.00114057149242403,0.0178455000682298,0.95210549449763,5,-5.84478419786427e-05,0.0202316226896797,0.997833302551289,5,0.158941335701031,0.502402746633404,0.772462229807405,NA,NA,NA,NA,"ABRAXAS2",0.0015628383073064
"ACAA1_P09110_OID21269_v1_Oncology","ssoe",14,0.00885196313734985,0.00667825737378973,0.185008695358357,14,0.00453875670805107,0.00818591185522763,0.579264405975118,14,0.00225564942681794,0.0122198149095676,0.856399504916741,14,0.00175566459702825,0.0133371261759428,0.897286582696954,14,0.02648311691926,0.0192127584477671,0.193232117455255,NA,NA,NA,NA,"ACAA1",0.732807859394783
"ACADM_P11310_OID31277_v1_Oncology_II","ssoe",6,-0.00411848248334602,0.00566398465118423,0.467143151281428,6,-0.00290289445647943,0.00628866238546439,0.644362731447846,6,-0.00235392131286945,0.00619495715306158,0.719569954098363,6,-0.0201638108688968,0.0103699708859621,0.10944631300142,6,0.0310833780223943,0.0317652557922626,0.383216114781832,NA,NA,NA,NA,"ACADM",0.330550013898611
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","ssoe",31,0.000865621520454904,0.00408691234323375,0.832260494028076,31,0.00384729083160179,0.00460391172507673,0.403347920270301,31,0.00339235385121528,0.00437857059591776,0.444543735835129,31,-0.00281018994026788,0.00768166449423549,0.717058372510498,31,0.0083024203254818,0.00698843013919745,0.244463149126521,NA,NA,NA,NA,"ACADSB",0.0797407200886836
