"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","acc_425",64,-0.0145981311275194,0.01040301100278,0.160539266805379,64,-0.00408821927828361,0.0129717138046577,0.752637016468659,64,-0.00749295192965227,0.0106215811716037,0.483133029713246,64,-0.00550750047847792,0.0205400575744932,0.789471704935868,64,0.0037060505515709,0.0187514691207796,0.843972865698363,NA,NA,NA,NA,"A1BG",0.794418724809509
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","acc_425",63,-0.00209525904088592,0.00202774728039057,0.301466347530827,63,-0.00299307983659787,0.00252047141490248,0.235027323617949,63,-0.0029822850567825,0.00224355497883376,0.18863043379802,63,-0.0029822850567825,0.00793806091721418,0.708426479525244,63,-0.00411781290784666,0.00237715854308188,0.0882845639890518,NA,NA,NA,NA,"AAMDC",0.52076116079537
"AARSD1_Q9BTE6_OID21311_v1_Oncology","acc_425",39,-0.00539000943473292,0.0112849752786422,0.632915675650671,39,-0.000374770271851473,0.0175596164837383,0.982972252605475,39,0.00756396346825927,0.0166713692024459,0.652618359473778,39,-0.0135608221570772,0.0309328493768174,0.663581905017327,39,0.00217225321248147,0.0202097027461751,0.914984437885384,NA,NA,NA,NA,"AARSD1",0.198654147864275
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","acc_425",22,0.000141186770893457,0.0140148549680042,0.991962183016593,22,-0.0121278367820719,0.0177268865528609,0.493880902206026,22,-0.0126833750894305,0.0155671059171932,0.424356612709094,22,0.0813924309996785,0.0421624010124247,0.0671658727291239,22,-0.0263915029789656,0.0192292059273082,0.185114182717509,NA,NA,NA,NA,"ABCA2",0.00350488431787355
"ABHD14B_Q96IU4_OID20921_v1_Neurology","acc_425",50,0.00743661913730375,0.00440730080150861,0.0915378104923835,50,0.0112334701182544,0.00623009699510474,0.0713729591288307,50,0.00814517160127687,0.00530810275732182,0.131344077106352,50,0.00524529803363505,0.0130679593819515,0.689881034966691,50,0.0061315375841799,0.00564611503105655,0.28291409109423,NA,NA,NA,NA,"ABHD14B",1.03839947974407
"ABL1_P00519_OID21280_v1_Oncology","acc_425",37,0.0127327504296922,0.0148718570139349,0.391907003761445,37,0.0026480414733192,0.0228560650375208,0.90776565509604,37,0.00277396393066642,0.0315234274824571,0.930366828331461,37,-0.00344661586096867,0.0431867075189817,0.936832497112815,37,-0.0325380697153737,0.0342528852393599,0.34865826887275,NA,NA,NA,NA,"ABL1",0.406816975185411
"ABO_P16442_OID30675_v1_Inflammation_II","acc_425",24,-0.000326384437574363,0.00377135428618804,0.931034749166649,24,-0.00253050533692637,0.00424714768989239,0.551300232021185,24,-0.000759621724866155,0.00368651930544565,0.838561843803539,24,-0.00434867216207047,0.00734704612768829,0.559695443734234,24,-0.00338086572666142,0.0050672576021916,0.511583598462387,NA,NA,NA,NA,"ABO",0.0310341094701139
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","acc_425",28,-0.00489904189756607,0.0232681970162227,0.833241013759313,28,0.0112651279513651,0.0339120865852114,0.739748646243811,28,0.0359957308350033,0.0588822314543424,0.546102508386017,28,0.0538435466785128,0.0669846427671167,0.428521991080124,28,-0.0562314353140685,0.0790437287314615,0.483172796322083,NA,NA,NA,NA,"ABRAXAS2",0.0792293613707481
"ACAA1_P09110_OID21269_v1_Oncology","acc_425",38,-0.0236679752303442,0.0122646367302508,0.0536348650672519,38,-0.0371531265633038,0.0207205216381296,0.0729634230008854,38,-0.0494543685077267,0.0225400932314888,0.0345880332306121,38,-0.0435918389796872,0.0355693180926797,0.228113562372833,38,-0.0677030044329061,0.0233344282989985,0.00630065235898772,NA,NA,NA,NA,"ACAA1",1.27055280762331
"ACADM_P11310_OID31277_v1_Oncology_II","acc_425",19,-0.0353287007944098,0.017280998077835,0.0409173128458224,19,-0.0355929210932077,0.0214096504162455,0.0964183905806375,19,-0.0370621618458067,0.0198762629021859,0.0786218496098266,19,0.000911607819763904,0.0429485426075727,0.983299230760488,19,-0.0735640094982681,0.0401885393835173,0.0847678655379014,NA,NA,NA,NA,"ACADM",1.38809289535458
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","acc_425",57,0.00926941231985404,0.0108689120641543,0.393749602250869,57,0.00784123913497387,0.0177898652579667,0.659379504952844,57,0.00403699734541374,0.016727974743467,0.810179207629115,57,0.00787534554357317,0.031425328018162,0.803036676366046,57,-0.0027506975131387,0.0195014938665625,0.888345316505835,NA,NA,NA,NA,"ACADSB",0.404779871907968
"ACAN_P16112_OID20159_v1_Cardiometabolic","acc_425",110,0.00421922005086334,0.0086934013916335,0.627438072289516,110,-0.00331590054712906,0.0135850706004145,0.807165640022214,110,-0.00393381333215492,0.0177160411172287,0.824691939478536,110,-0.00203152642581783,0.0278949398531846,0.942076639831171,110,0.0118812184325357,0.0208593808291857,0.570141133203556,NA,NA,NA,NA,"ACAN",0.202429132301345
"ACE_P12821_OID30696_v1_Inflammation_II","acc_425",49,-0.00114053780653438,0.00447994398924104,0.799041703280787,49,0.00114652446376106,0.00684887831288515,0.867052770965234,49,-0.00136991943743381,0.00568438902144288,0.810584084190971,49,0.0115006188086064,0.0106718686826868,0.286572888293159,49,-0.00237810009170557,0.00688761368188783,0.731430431573956,NA,NA,NA,NA,"ACE",0.097430553562003
"ACE2_Q9BYF1_OID20105_v1_Cardiometabolic","acc_425",98,0.00187960789095845,0.00871862703929787,0.829311009444256,98,0.0324319896287988,0.0125272455918785,0.00962785083023057,98,0.0262364094190752,0.0132638052315446,0.0507605759481748,98,0.0200192519626885,0.0281427006407929,0.47857582096613,98,0.0301287190737167,0.014473490568928,0.0400356332890284,NA,NA,NA,NA,"ACE2",0.0812825691417932
"ACHE_P22303_OID30585_v1_Inflammation_II","acc_425",84,0.000707786486438403,0.00745279849882287,0.924339272480847,84,-0.00309335003371531,0.0101483049035405,0.760507471217913,84,-0.000255659218888482,0.00907166698462045,0.97758451408428,84,-0.000255659218888482,0.01825125792657,0.988857407226347,84,-0.00619237264407405,0.0117679556378279,0.600165234141813,NA,NA,NA,NA,"ACHE",0.0341685946650184
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","acc_425",45,0.0193337230932923,0.0151300021548249,0.201305820772444,45,0.00327023133105785,0.0225305012529232,0.884594927381721,45,-0.00770095257421094,0.0470909465446193,0.870847162673081,45,0.00445441812291542,0.0501206894907785,0.929585472217526,45,0.0581070348943621,0.0429889117504941,0.183547326196371,NA,NA,NA,NA,"ACOT13",0.696143667273269
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","acc_425",27,0.0103133877848004,0.0120403575178771,0.391683547303613,27,0.00802472376343763,0.0165854638023966,0.628498870300937,27,0.00764475949619165,0.0157465502762632,0.631396386838852,27,0.0203347407510472,0.0398510529406767,0.614168264657529,27,-0.0016960894978011,0.0180773063992591,0.925996693621422,NA,NA,NA,NA,"ACOX1",0.407064670640852
"ACP1_P24666_OID30524_v1_Inflammation_II","acc_425",28,0.00286321908291926,0.00516444483670686,0.579298387088342,28,-0.00155689244823715,0.00722821843718317,0.82946256710245,28,0.00103204069058771,0.00559389152499864,0.855004518728866,28,0.0101626488354506,0.0132379793120323,0.449334128071769,28,-0.00479725748057483,0.00717407421955722,0.509584972396174,NA,NA,NA,NA,"ACP1",0.237097680683764
"ACP5_P13686_OID20314_v1_Cardiometabolic","acc_425",105,0.000425452195961384,0.00722551858253607,0.953046182091217,105,0.00532793968955406,0.0112559052150091,0.635966223416972,105,-0.00366859075126114,0.00969495667433478,0.705903318305194,105,-0.00991659053787197,0.027424378242584,0.718386330254131,105,-0.000145553803254002,0.0107387727809957,0.989211987443786,NA,NA,NA,NA,"ACP5",0.0208860540926023
"ACP6_Q9NPH0_OID21432_v1_Oncology","acc_425",54,0.00194674678144407,0.00516415525629742,0.706193715856679,54,0.00443458151222858,0.00614076669006805,0.470199572585672,54,0.00216667188802033,0.00560661059129073,0.700710962146013,54,0.00987833566360274,0.00805184894736209,0.2253046884862,54,-0.000122143048960114,0.00590323369264849,0.98357144243549,NA,NA,NA,NA,"ACP6",0.151076151373475
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","acc_425",49,0.0146432612727305,0.010291093169496,0.154763320598434,49,0.014121586157981,0.0166699133671109,0.396922583333901,49,0.0150449585996841,0.0138038037427988,0.2811925717888,49,0.0312470530910673,0.0297416531433121,0.298695890917781,49,0.0143269678161191,0.0159369818610226,0.373248060557258,NA,NA,NA,NA,"ACRBP",0.810331960637886
"ACRV1_P26436_OID30513_v1_Inflammation_II","acc_425",24,-0.0437062378794864,0.0306668882725738,0.154101387372541,24,-0.0278513311367608,0.0458077606155945,0.543184394534451,24,-0.0319791281624366,0.0516530688159631,0.541925805176634,24,-0.0233348432917151,0.0817292510723057,0.777805888750017,24,0.0478700648296397,0.0754194720332769,0.532158556244167,NA,NA,NA,NA,"ACRV1",0.812193451317099
"ACSL1_P33121_OID30080_v1_Cardiometabolic_II","acc_425",13,-0.0995760532082817,0.0366357268127794,0.00656770377049006,13,-0.115932193027234,0.0504335127914697,0.0215212175749255,13,-0.143216523625131,0.0759285269257204,0.0836968320293162,13,-0.170919513196231,0.0789266085503777,0.0512007861830788,13,0.0904906740268228,0.0903993208966352,0.338333294144535,NA,NA,NA,NA,"ACSL1",2.1825864438519
"ACTA2_P62736_OID20079_v1_Cardiometabolic","acc_425",26,0.00940803250632256,0.0262552170083539,0.720096352910289,26,0.023782051176059,0.0368433998878468,0.51860960900379,26,0.0409480033873252,0.0737327892681821,0.583586517110044,26,0.0571752671692472,0.0727995540590544,0.43961137410916,26,-0.226631076982429,0.0814946666609631,0.0103782762019795,NA,NA,NA,NA,"ACTA2",0.142609388655474
"ACTN2_P35609_OID30192_v1_Cardiometabolic_II","acc_425",22,-0.0113910162830229,0.0208840423605526,0.585450138657649,22,-0.0221241674766676,0.0231507107883481,0.339244928111056,22,-0.0179074154134475,0.0203524218408115,0.38888971592702,22,0.0833829623655559,0.0482995721481631,0.0989647625806957,22,-0.0160669731796624,0.0395554019110643,0.688916937538892,NA,NA,NA,NA,"ACTN2",0.232510086805021
"ACTN4_O43707_OID20435_v1_Inflammation","acc_425",8,0.0380865629500856,0.0384259058498678,0.321603112348628,8,0.0172318461929465,0.0499331465782435,0.730020438393281,8,-0.00139983734813437,0.0937131609626899,0.988498893805021,8,-0.00394969524785482,0.0908958082964391,0.966553963929082,8,0.0668167389803253,0.081990288543941,0.446242900240621,NA,NA,NA,NA,"ACTN4",0.4926797569718
"ACVRL1_P37023_OID20999_v1_Neurology","acc_425",61,0.00875473106772708,0.0077909999060325,0.26114116215826,61,0.00753483031511899,0.0102438544099182,0.462006787455552,61,0.00913460787390608,0.00845128671636562,0.284087377069151,61,0.0382057267324127,0.0231338247839915,0.103859490678269,61,0.0131293440727345,0.0100342772720787,0.195795285051257,NA,NA,NA,NA,"ACVRL1",0.583124667475265
"ACY1_Q03154_OID20137_v1_Cardiometabolic","acc_425",59,-0.00384892594561923,0.00355877698330578,0.279461189120599,59,-0.00321190513492411,0.00382459573968464,0.401019121064838,59,-0.00334257522601211,0.00373009460512072,0.373898266721863,59,-0.0376639504662812,0.0255744519139333,0.146233396519756,59,-0.000666055208452925,0.00390291890604955,0.865098860253928,NA,NA,NA,NA,"ACY1",0.553678497334346
"ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II","acc_425",86,0.00222196527020768,0.00725912366577254,0.759534012658691,86,-0.00343106287779879,0.011364538504362,0.762721003889739,86,-0.00149373524473573,0.00843869750968895,0.859921510808568,86,0.0323947035455572,0.0239525940630327,0.179818278977336,86,-0.00610328497126485,0.0109516275485892,0.578808057087123,NA,NA,NA,NA,"ACY3",0.119452773243936
"ACYP1_P07311_OID30642_v1_Inflammation_II","acc_425",50,0.00312467859007536,0.00657251341858301,0.63449043274116,50,7.9126169961182e-05,0.00832203691842481,0.992413804605828,50,-0.00150018393389828,0.00695282478323743,0.830065733403676,50,0.002356554581804,0.0230344150159772,0.918931471045503,50,-0.0047332655363074,0.00771860318827618,0.542620427013572,NA,NA,NA,NA,"ACYP1",0.197574922094173
"ADA_P00813_OID20645_v1_Inflammation","acc_425",50,-0.00411689086479829,0.00290240843826604,0.15606248110965,50,-0.00571244422619633,0.00353371651871221,0.105974548249241,50,-0.00527416860112173,0.00286006372818286,0.0712229403114041,50,-0.000522407516579393,0.00820655234360115,0.949502033277201,50,-0.0066551322724116,0.00348552095221511,0.0622020867720232,NA,NA,NA,NA,"ADA",0.806701492873101
"ADA2_Q9NZK5_OID20394_v1_Cardiometabolic","acc_425",126,-0.00958139181469421,0.00528076815144668,0.0696171539339893,126,-0.00462550113414235,0.00757464980003433,0.541427709264984,126,-0.00668714443865626,0.00611557846479401,0.276294349493079,126,-0.00668714443865626,0.0156334208879996,0.669571553606466,126,-0.00753125120076614,0.00766510781020794,0.327748602311133,NA,NA,NA,NA,"ADA2",1.15728373537561
"ADAM12_O43184_OID30491_v1_Inflammation_II","acc_425",17,-0.0102637555405049,0.0181475407666413,0.571684218892004,17,-0.0100001437169653,0.0216704579820146,0.644465495782218,17,-0.000948394521278095,0.0216737354922682,0.965638932743246,17,0.0273953210110085,0.0362731811062356,0.461072985303713,17,-0.0152176350223271,0.0413408400395761,0.717940174485591,NA,NA,NA,NA,"ADAM12",0.242843796141012
"ADAM15_Q13444_OID20109_v1_Cardiometabolic","acc_425",104,-0.00232081080023505,0.00507919627647549,0.647725089698592,104,-0.000943164398943032,0.0075540077322765,0.900637425856602,104,-0.00369476398918112,0.0059695582774286,0.53732618889017,104,0.000297890354180153,0.0142223938049366,0.983329921502411,104,-0.00371810557232041,0.00641446526649347,0.563432901131741,NA,NA,NA,NA,"ADAM15",0.188609280178447
"ADAM22_Q9P0K1_OID21001_v1_Neurology","acc_425",84,-0.00132231295984389,0.00473520654958655,0.780051916321426,84,-0.000974054691464983,0.00626106318574257,0.876369318007653,84,0.0023878514392297,0.00475171947630314,0.616629948658357,84,-0.00109589287444511,0.014497514468798,0.939925783580975,84,0.00500130818304469,0.00586499182151391,0.39628787552076,NA,NA,NA,NA,"ADAM22",0.107876491897221
"ADAM23_O75077_OID20651_v1_Inflammation","acc_425",66,-0.0103814279465881,0.00826967231161908,0.209347571626034,66,0.00677049059846934,0.011191951706008,0.54521700382368,66,0.00341144188739928,0.00964068489549134,0.724589910350029,66,0.0113255300573397,0.0225731504481931,0.617555715131885,66,-0.00201416566941865,0.0110765546157183,0.856282655379878,NA,NA,NA,NA,"ADAM23",0.679132072439482
"ADAM8_P78325_OID21039_v1_Neurology","acc_425",97,0.00707237513228622,0.00677445186683644,0.296495812720891,97,0.0137285589627644,0.00963961162243094,0.154393866037729,97,0.0141590996948184,0.00786069961744956,0.0748026890793682,97,0.0187346072486643,0.0170103803719241,0.273492359893917,97,0.0144937104997058,0.00911235114604736,0.11503180866575,NA,NA,NA,NA,"ADAM8",0.527981435605122
"ADAM9_Q13443_OID31488_v1_Oncology_II","acc_425",82,-0.00195040558297919,0.00825345585033294,0.813189172926399,82,0.00145226832018855,0.0107886436378896,0.892919575110791,82,-0.000756773568041158,0.0136422537851065,0.955898427669866,82,0.00799248342518877,0.0183749040299144,0.664742841058841,82,0.0119886880232808,0.0199509396009383,0.549599762178861,NA,NA,NA,NA,"ADAM9",0.0898084123380114
"ADAMTS1_Q9UHI8_OID30528_v1_Inflammation_II","acc_425",19,0.000409301416292525,0.0112750232593845,0.971041871907907,19,-0.000498813683686562,0.013691705928768,0.970938047109898,19,0.00183457106148777,0.0120436673947885,0.880623780682373,19,0.015399181931921,0.0325836558617684,0.642175106497154,19,0.0232958834201403,0.0164126067672031,0.173862114459797,NA,NA,NA,NA,"ADAMTS1",0.0127620426496916
"ADAMTS13_Q76LX8_OID20249_v1_Cardiometabolic","acc_425",100,0.0075828338395608,0.00711059206077772,0.286236604565253,100,0.00533622630977827,0.0109889460521128,0.627251176750504,100,0.00748664492129536,0.00989984872996053,0.45130211074421,100,-0.018527586569035,0.0234944842920189,0.432234249169528,100,0.00429323640751175,0.0105705602573033,0.685517658942968,NA,NA,NA,NA,"ADAMTS13",0.543274828493166
"ADAMTS15_Q8TE58_OID21275_v1_Oncology","acc_425",62,0.00197920933251651,0.00928129234794017,0.831134177501744,62,0.00118449704915628,0.0156508100753475,0.939671464400412,62,0.00135208354463268,0.0130986241022768,0.918124339070636,62,0.0169447789384689,0.0233758356778425,0.471294468843757,62,0.00524490949223581,0.0176556031365977,0.767440856476825,NA,NA,NA,NA,"ADAMTS15",0.0803288584726667
"ADAMTS16_Q8TE57_OID20089_v1_Cardiometabolic","acc_425",42,-0.00166159110768228,0.00602191802318508,0.782606516525909,42,-9.70959361256714e-05,0.00792717887023242,0.990227366815928,42,0.000732595502703826,0.0067037743529244,0.913512698429562,42,-0.00884499641836167,0.0220872540929666,0.690899023099384,42,0.00849848473369338,0.00780574272860339,0.282781509401558,NA,NA,NA,NA,"ADAMTS16",0.106456540182514
