"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","vpa",11,0.00389565680356324,0.00408747324814118,0.340553529756155,11,0.00409325945451937,0.0052487406989587,0.435475917029847,11,0.00276434782981391,0.00544926948534564,0.622952070606603,11,-0.00321476428110246,0.00853256101229645,0.71422019744121,11,0.0102731773146903,0.00645127603410688,0.145753033626031,NA,NA,NA,NA,"A1BG",0.467814613999266
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","vpa",20,-0.000155188534872392,0.000721762034894508,0.829756843373724,20,-0.000529409153887119,0.000780828333720379,0.497765567680942,20,-4.46414896885031e-05,0.000653341013796711,0.94623848851548,20,0.00093142057583704,0.00133727490302347,0.494545388070779,20,0.00095577485476006,0.00139481289603277,0.501925488953511,NA,NA,NA,NA,"AAMDC",0.081049157084842
"AARSD1_Q9BTE6_OID21311_v1_Oncology","vpa",11,0.00325029402630208,0.00708392000765422,0.646358377667531,11,0.00767787860594669,0.00812024596401182,0.344391979441057,11,0.0206674116267137,0.0136437659972466,0.16077541265573,11,0.0197170557399586,0.0122051117879091,0.137280923855485,11,-0.0224511373528619,0.0448580855181515,0.628738032962765,NA,NA,NA,NA,"AARSD1",0.189526617783156
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","vpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","vpa",10,0.000287175464153739,0.00352867064873548,0.935136994018053,10,-0.000297391991940523,0.00311380256975527,0.923911607600939,10,-0.0010533083075783,0.00317464223310936,0.747645216004068,10,-0.00508641861253892,0.00489463407881411,0.325831291365365,10,0.00520099674654029,0.00600588062483156,0.411715808308255,NA,NA,NA,NA,"ABHD14B",0.0291247619746149
"ABL1_P00519_OID21280_v1_Oncology","vpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000300350428457946,0.030093401280026,0.992036759523465,"ABL1",307.652655568589
"ACAA1_P09110_OID21269_v1_Oncology","vpa",6,0.00211620916021066,0.0143051416960469,0.882395278514809,6,-0.00326497565233667,0.0139432268389521,0.814859116044711,6,-0.0202368278685921,0.0142938936271274,0.216007730654932,6,-0.00394028386827422,0.0242558579563864,0.8773151200499,6,-0.0343199905391838,0.0386790840099892,0.42504767341214,NA,NA,NA,NA,"ACAA1",0.0543368243671073
"ACADM_P11310_OID31277_v1_Oncology_II","vpa",6,-0.00497802086387631,0.00674803928173211,0.460697466964855,6,-0.00227865051355095,0.00726600647653787,0.753821631036128,6,-0.00227511724244764,0.0068913864968647,0.754678235155192,6,-0.00445240318701956,0.0149132702601894,0.77729056215018,6,0.0341884094120908,0.0372401354728429,0.410538823943709,NA,NA,NA,NA,"ACADM",0.336584175605385
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","vpa",4,0.0034395004697694,0.00534380380314389,0.51980713476719,4,0.00342631173471904,0.00579087383016877,0.554068649801117,4,0.00366413125506594,0.00599857528835748,0.584477111105582,4,0.00227632595017441,0.0101146056207913,0.836396321593101,4,0.00782538822193399,0.00944743810348244,0.494604667227032,NA,NA,NA,NA,"ACADSB",0.284157763756217
"ACAN_P16112_OID20159_v1_Cardiometabolic","vpa",7,0.000941575528446172,0.0111427456341915,0.932657938015028,7,0.00188575477013982,0.0115445008911599,0.870245558667711,7,-0.013046762696338,0.0124450144974756,0.334857800842594,7,0.0303870116996999,0.0211161481565101,0.200193618444174,7,0.0190143682979787,0.0419202966849679,0.669136019189873,NA,NA,NA,NA,"ACAN",0.0302776090631173
