"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","ssoe",11,0.00462313378759843,0.0036050014748556,0.199694593777721,11,0.0061249308212666,0.00438595222035153,0.162567510968592,11,0.00621382616563956,0.00403183550314163,0.154295860885154,11,0.00774247226183936,0.00562298620266125,0.198573389026273,11,0.00822166100149654,0.00579349449729517,0.18955555747179,NA,NA,NA,NA,"A1BG",0.699633692386609
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","ssoe",20,0.000552646220440762,0.000533842689602728,0.300564788843404,20,0.000253134709892169,0.000666818973667101,0.704230973803304,20,0.000340476556140217,0.000572566269986194,0.559093030595462,20,0.000249496460010296,0.00101143491315187,0.807804734360485,20,0.000163008056180851,0.00102817618517753,0.875795713949266,NA,NA,NA,NA,"AAMDC",0.522061898355582
"AARSD1_Q9BTE6_OID21311_v1_Oncology","ssoe",11,-0.00220021939064808,0.0055656822114974,0.692607550019098,11,-0.00397539564867225,0.00657830328229637,0.545631375804809,11,-0.00266169983578102,0.00788313133308483,0.742611258022075,11,-0.00805880476033388,0.00929881941987398,0.406448777064254,11,0.017082777134075,0.0352898365432351,0.639896915886514,NA,NA,NA,NA,"AARSD1",0.159512778576681
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","ssoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","ssoe",10,0.00153408717882496,0.00378401928402913,0.685174623180893,10,-0.00231563428949247,0.00340126931911718,0.4959887215987,10,-0.00443190294150338,0.00442750764088654,0.342981693997508,10,-0.00732291292901904,0.00539741420758668,0.207913245073905,10,0.00469115569850968,0.00670625455595397,0.504055506284328,NA,NA,NA,NA,"ABHD14B",0.164198730377567
"ABL1_P00519_OID21280_v1_Oncology","ssoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0360629757122656,0.0264826497540333,0.173274084982729,"ABL1",307.652655568589
"ACAA1_P09110_OID21269_v1_Oncology","ssoe",6,0.0133332550745594,0.00784468439592324,0.0891958859743343,6,0.008686215148243,0.00954670321295271,0.362893487310498,6,0.00435091277991927,0.0128825583771162,0.749279507681227,6,0.0314226658303273,0.0144926496309518,0.08233204665298,6,0.0270292492317634,0.021278693384099,0.272855377549847,NA,NA,NA,NA,"ACAA1",1.04965517633967
"ACADM_P11310_OID31277_v1_Oncology_II","ssoe",6,-0.00411848248334602,0.00566398465118423,0.467143151281428,6,-0.00290289445647943,0.00651886922012996,0.656098313265999,6,-0.00235392131286945,0.00557844605661023,0.690577702712793,6,-0.0201638108688968,0.0113306408559998,0.135267628273477,6,0.0310833780223943,0.0317652557922626,0.383216114781832,NA,NA,NA,NA,"ACADM",0.330550013898611
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","ssoe",4,0.00412530466725871,0.00456981666374626,0.366669899191326,4,0.0038747012832105,0.00489118459358917,0.428255410053876,4,0.00381029170662953,0.00512822979678736,0.511372651728556,4,0.00341729424898755,0.00700519234419444,0.659103596279136,4,0.00485874707901586,0.00807996009734487,0.608698264659829,NA,NA,NA,NA,"ACADSB",0.435724740848436
"ACAN_P16112_OID20159_v1_Cardiometabolic","ssoe",7,-0.00342836916425642,0.00689051478359203,0.618801914484321,7,0.000144599038929061,0.00821269165287165,0.985952549432971,7,0.000627498878588095,0.00871132474464989,0.944917134781762,7,0.00116794248396032,0.0129736114480644,0.931197766266537,7,0.000557617818144406,0.0241676609906469,0.982484616971819,NA,NA,NA,NA,"ACAN",0.208448351325789
"ACE_P12821_OID30696_v1_Inflammation_II","ssoe",28,-0.000173978757846402,0.00151813307678752,0.908761810435611,28,-0.0013698501110011,0.00198109703126526,0.489276269252667,28,-0.00269452156566439,0.0019953700098988,0.188103111411318,28,0.00237697814793069,0.00349126829523087,0.501773421036432,28,-0.00259757637727967,0.00300365412725219,0.395054840812406,NA,NA,NA,NA,"ACE",0.0415499319252749
