"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","acc_ave",64,-0.0327547896836164,0.0960876072016318,0.733190426218784,64,0.0956198348626734,0.122047795089642,0.433355738754873,64,0.0733885636066001,0.11589432738161,0.528871070879541,64,0.11236289670738,0.199008912418767,0.574342336636355,64,0.0610574905967141,0.174498459417248,0.727597528893082,NA,NA,NA,NA,"A1BG",-0.0327547896836164,0.134783214560201
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","acc_ave",63,0.0208350007164036,0.0186663447508165,0.264345092915962,63,0.027514453113885,0.0238682974197509,0.249008311829218,63,0.0308597655213614,0.0207254850310097,0.14156285097315,63,0.00227962081380761,0.0689515960909216,0.973732009339039,63,0.00670241447365346,0.022071713064451,0.762416227821415,NA,NA,NA,NA,"AAMDC",0.0208350007164036,0.577828747068213
"AARSD1_Q9BTE6_OID21311_v1_Oncology","acc_ave",39,0.075505575120538,0.125409191662665,0.547125085052377,39,0.0592834376281312,0.156975608111177,0.705683046743827,39,0.108251396328534,0.163763668532554,0.512586190501772,39,-0.147779931331381,0.29580755019907,0.620250366915778,39,0.176706077968849,0.226752088076976,0.440763974785504,NA,NA,NA,NA,"AARSD1",0.075505575120538,0.261913372866332
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","acc_ave",22,-0.0258590086696981,0.125654026499812,0.836950809012267,22,-0.171209646555879,0.167372510957289,0.306342966898805,22,-0.109547577878027,0.154956488328601,0.487364511269984,22,0.100527265854827,0.329488705939038,0.76329281327863,22,-0.279559677410241,0.170247013082824,0.116204200059668,NA,NA,NA,NA,"ABCA2",-0.0258590086696981,0.0773000665017526
"ABHD14B_Q96IU4_OID20921_v1_Neurology","acc_ave",50,0.0109534504274722,0.0442443718589841,0.804469375871191,50,0.0179357415361542,0.0563683906198691,0.750342387736725,50,0.0160880772710228,0.0429003352885054,0.709270969740257,50,0.0502943975349406,0.114148765319216,0.661437501985136,50,-0.0225881765662062,0.0567419350223075,0.692331829235567,NA,NA,NA,NA,"ABHD14B",0.0109534504274722,0.0944904837505307
"ABL1_P00519_OID21280_v1_Oncology","acc_ave",37,0.154573324925988,0.180842640445943,0.392695448785969,37,0.0305867255594908,0.228361825471366,0.893450218386971,37,0.242617376342706,0.310031936749802,0.439005324867538,37,0.276982577875194,0.470868821488719,0.560045618198292,37,-0.0105408624797271,0.42129090687808,0.980180812953286,NA,NA,NA,NA,"ABL1",0.154573324925988,0.405944132033869
"ABO_P16442_OID30675_v1_Inflammation_II","acc_ave",24,0.00215678512619138,0.029012731776596,0.94074043531295,24,-0.0241466343916488,0.0375539935891798,0.520234181667224,24,-0.0182704036485624,0.0312865450312958,0.564924476728522,24,-0.0802977686005049,0.0594469675720204,0.189917259527242,24,-0.0260005507167776,0.0388284488917073,0.510063597554251,NA,NA,NA,NA,"ABO",0.00215678512619138,0.0265301885403049
"ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II","acc_ave",28,0.0599004496806358,0.220656409875851,0.786033563843582,28,0.154250251568643,0.288698044174112,0.593136660124596,28,0.503686564559494,0.548329345720039,0.366446929408811,28,0.456009220208516,0.561549678554222,0.423862114008385,28,0.214187605984194,0.755330900851262,0.778987340484577,NA,NA,NA,NA,"ABRAXAS2",0.0599004496806358,0.104558909074024
"ACAA1_P09110_OID21269_v1_Oncology","acc_ave",38,-0.143177401524151,0.10828110286563,0.186076575285009,38,-0.164726678329557,0.166796593476674,0.3233533959188,38,-0.189651602672519,0.169563823784084,0.270576721048569,38,-0.00389750818778545,0.267234561804421,0.988441949311,38,-0.238765461629662,0.206020449594312,0.25411037957514,NA,NA,NA,NA,"ACAA1",-0.143177401524151,0.730308295675116
"ACADM_P11310_OID31277_v1_Oncology_II","acc_ave",19,-0.1538105734025,0.15249551784115,0.313155199728912,19,-0.183757404317491,0.211863997790811,0.385757596115368,19,-0.108371165143367,0.194349920510204,0.58398054391696,19,-0.897024291259829,0.426685546799876,0.0498644198718517,19,-0.0374821307861931,0.354685346098061,0.917075469166184,NA,NA,NA,NA,"ACADM",-0.1538105734025,0.504240372738577
