"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","b","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","mvpa",11,0.00727585771990425,0.00685995601400527,0.288859238258846,11,0.0114665464367255,0.00867234961316854,0.186102874764657,11,0.0126851665754858,0.00798224337954857,0.143105325563129,11,0.0137262473162241,0.012654974110973,0.303532232365254,11,0.0146151554194985,0.0108256215747316,0.209970141498993,NA,NA,NA,NA,"A1BG",0.00727585771990425,0.539313738350435
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","mvpa",20,0.000766726995777147,0.0014519262391654,0.597446781277037,20,0.00135474000917527,0.00131867785265923,0.304257000917988,20,0.000952858853653316,0.00120586587026317,0.439170536417407,20,0.000952858853653316,0.00222443296292369,0.673205572028041,20,0.00381208920235655,0.00274740492074882,0.182221867066349,NA,NA,NA,NA,"AAMDC",0.000766726995777147,0.223700774274529
"AARSD1_Q9BTE6_OID21311_v1_Oncology","mvpa",11,0.0201137546215456,0.0101211008495995,0.0468881669733293,11,0.0169432129400051,0.0132677035370309,0.201592787143735,11,0.0299194807456996,0.0168922937788025,0.106945589600446,11,0.0309444210664349,0.0186634508621184,0.128305308233079,11,0.0676207886344484,0.0632700219730674,0.313001731167413,NA,NA,NA,NA,"AARSD1",0.0201137546215456,1.32893674505874
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","mvpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",NA,NA
"ABHD14B_Q96IU4_OID20921_v1_Neurology","mvpa",10,-0.000222857710179787,0.00383205297812889,0.953624194263754,10,0.000545506230388095,0.00497788021568914,0.91273767447841,10,0.000434551249931359,0.00517978326675078,0.934977360761956,10,-0.000995983271452852,0.00651445572609804,0.881859312684606,10,0.0050347767071046,0.00654207932527928,0.463653218516786,NA,NA,NA,NA,"ABHD14B",-0.000222857710179787,0.0206227390405527
"ABL1_P00519_OID21280_v1_Oncology","mvpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.0477940472233334,0.0511754039744255,0.350341996599153,"ABL1",-0.0477940472233334,0.455507799313622
"ACAA1_P09110_OID21269_v1_Oncology","mvpa",6,0.00884588244141975,0.0171397669804817,0.605782583460604,6,-0.00226014274299658,0.0210811908095249,0.914621318230016,6,-0.0241569163461957,0.0269127515930402,0.410533278677644,6,0.0454204596425298,0.0422620915393337,0.33159860800863,6,-0.0496676721870292,0.0417276347711273,0.299748399466604,NA,NA,NA,NA,"ACAA1",0.00884588244141975,0.217683216998022
"ACADM_P11310_OID31277_v1_Oncology_II","mvpa",6,-0.0101934572129266,0.0111196831644992,0.359297808255733,6,-0.00859322842352635,0.0126192273426423,0.495894826717332,6,-0.00881754305929555,0.0117165235317993,0.48560680420548,6,-0.00785006313787595,0.0206002447658046,0.718808443397671,6,0.0276742584560211,0.0622646008449963,0.679696786757981,NA,NA,NA,NA,"ACADM",-0.0101934572129266,0.444545432017015
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","mvpa",4,-0.00527276866392835,0.00895364994959498,0.555931039466451,4,-0.0078128363999229,0.00990673120909557,0.430322923247658,4,-0.0095313827675571,0.0108586065509321,0.444688336946187,4,-0.00894649915580815,0.0166367582560838,0.628078003206927,4,-0.00696841706359687,0.0158399485841661,0.702964723532149,NA,NA,NA,NA,"ACADSB",-0.00527276866392835,0.254979077188873
"ACAN_P16112_OID20159_v1_Cardiometabolic","mvpa",7,0.00758231000914534,0.0154133975654176,0.622768951291608,7,0.00432279243429682,0.0177305614223437,0.807382157581867,7,-0.00891615436130097,0.0204135246301614,0.677553581469602,7,0.0335188178266446,0.027727226803874,0.272182542863958,7,0.0412379835689088,0.0570907416867596,0.502455384372591,NA,NA,NA,NA,"ACAN",0.00758231000914534,0.20567304770773
"ACE_P12821_OID30696_v1_Inflammation_II","mvpa",28,0.000188961848370305,0.00295850394947603,0.949073147607292,28,0.00143969427450993,0.00382861657868329,0.706890790796266,28,0.00049865514570252,0.00397896301383924,0.901196417685086,28,0.0075167457213393,0.00691169093957291,0.286411293407807,28,-0.00128147345842782,0.00594258752420926,0.830949311186131,NA,NA,NA,NA,"ACE",0.000188961848370305,0.0227003140448118
"ACHE_P22303_OID30585_v1_Inflammation_II","mvpa",15,-0.00475992150394839,0.00439622932075188,0.278929078664211,15,-0.00137129537084095,0.00570477700780982,0.810038253114309,15,-0.00183836353775292,0.00525422614174719,0.731634293215088,15,0.000775184685707808,0.00828599002645268,0.92678940700334,15,0.00852143102149715,0.0105783013300921,0.4349856473394,NA,NA,NA,NA,"ACHE",-0.00475992150394839,0.554506207694843
"ACOT13_Q9NPJ3_OID31522_v1_Oncology_II","mvpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.00985265444981274,0.0383476589594843,0.797233003706599,"ACOT13",-0.00985265444981274,0.0984147307555817
"ACOX1_Q15067_OID20124_v1_Cardiometabolic","mvpa",3,0.0266393949996468,0.0235045984209836,0.257059116080134,3,0.0321948451981339,0.0266348549776007,0.226759421974455,3,0.0338291516536185,0.0271990602693133,0.339595414163377,3,0.0307277332918119,0.0313969647890067,0.430941789241096,3,0.482290650376287,0.430236981129962,0.463724362534907,NA,NA,NA,NA,"ACOX1",0.0266393949996468,0.589966990150972
"ACP1_P24666_OID30524_v1_Inflammation_II","mvpa",13,0.00259570116342459,0.00342562220158358,0.448611857262308,13,0.00129648650951913,0.00415454374923385,0.754991342015716,13,0.00164845884836122,0.00357983937133519,0.653401847876168,13,0.0026108696547817,0.00550351868969264,0.643730722233225,13,-0.0218479894009041,0.0114733784172696,0.0833509440369161,NA,NA,NA,NA,"ACP1",0.00259570116342459,0.348129251761664
"ACP5_P13686_OID20314_v1_Cardiometabolic","mvpa",17,-0.0039937036284299,0.00729278214647908,0.583950003105655,17,0.00387587464560179,0.00794240837355411,0.625551681843744,17,0.00729148948867992,0.00664364467034239,0.288660076109453,17,-0.0202821556682441,0.0124896979103445,0.123929072210821,17,-0.00929384247321994,0.0133073697988252,0.495614102637155,NA,NA,NA,NA,"ACP5",-0.0039937036284299,0.233624334916423
"ACP6_Q9NPH0_OID21432_v1_Oncology","mvpa",15,-0.000394885968414229,0.00335230066145397,0.90622968673048,15,0.00228236228786003,0.00427611326911001,0.593516642085409,15,0.00203291788911897,0.00479105409283391,0.67778382113839,15,0.00100335905806093,0.0060680683364702,0.871031903795967,15,-0.000523712713944128,0.00693801575681745,0.940978486080375,NA,NA,NA,NA,"ACP6",-0.000394885968414229,0.0427617150854837
"ACRBP_Q8NEB7_OID31385_v1_Oncology_II","mvpa",5,0.0144254617080555,0.017577576812319,0.411831937827907,5,0.0165601806187775,0.0132511589524786,0.211403441218777,5,0.0229784280561597,0.013095257411217,0.154165244241105,5,0.00723634751177224,0.0234780659542761,0.773300726586239,5,0.0581092063765433,0.044516279141366,0.282863907086814,NA,NA,NA,NA,"ACRBP",0.0144254617080555,0.385279976599532
"ACRV1_P26436_OID30513_v1_Inflammation_II","mvpa",3,-0.0597357798753435,0.0386229781663838,0.121950472661856,3,-0.0499316238318504,0.0355438667206051,0.16008410764025,3,-0.0271988558069728,0.0446088833655049,0.604092040466581,3,-0.016094686797172,0.0480112702424355,0.769349932768976,3,-3.02395851633602,2.69374044356155,0.463273671785371,NA,NA,NA,NA,"ACRV1",-0.0597357798753435,0.913816512086306
"ACTA2_P62736_OID20079_v1_Cardiometabolic","mvpa",3,-0.0159502825456692,0.0329381777303593,0.628209102742738,3,-0.0227704428338033,0.0355454984250916,0.521782662786643,3,-0.0249412012785261,0.0380504644964891,0.579481073675498,3,-0.0410507577512592,0.0512708510036394,0.507324234909661,3,-0.0812420262839608,7.332926790807,0.99294713205777,NA,NA,NA,NA,"ACTA2",-0.0159502825456692,0.201895774969829
"ACVRL1_P37023_OID20999_v1_Neurology","mvpa",11,0.00523036037368097,0.00634170413628269,0.409509967021608,11,-0.00113395748983755,0.00666323872287774,0.864867691970515,11,0.00170902918345023,0.00675698715812906,0.805447461760692,11,0.00575792296027673,0.0117447058000678,0.634530204561929,11,0.00151491525530653,0.00925827833241834,0.873639375557608,NA,NA,NA,NA,"ACVRL1",0.00523036037368097,0.387735523525521
"ACY1_Q03154_OID20137_v1_Cardiometabolic","mvpa",3,-0.00143797401215254,0.00201985758088396,0.476515235391164,3,-0.00149405152101495,0.00208678619118719,0.474017208278184,3,-0.00164656953134707,0.0020294547913715,0.502375814429613,3,0.000775010216839686,0.00429062059813102,0.873305287737406,3,-0.00252718191226363,0.00329646503808115,0.583611135109113,NA,NA,NA,NA,"ACY1",-0.00143797401215254,0.321923209316241
