"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","exposure2","-LOG10P"
"A1BG_P04217_OID30771_v1_Inflammation_II","mvpa_leisure_time",11,0.00377841447514965,0.0119097901446186,0.751051775891494,11,0.00953645282326154,0.0148930007918983,0.521957311675788,11,0.00141170412850927,0.0146333431581408,0.925051937459418,11,0.0098690227616598,0.0214231326708087,0.654889894539409,11,0.00324635288933835,0.0186467595802151,0.865642044113355,NA,NA,NA,NA,"A1BG",0.124330122637794
"AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II","mvpa_leisure_time",22,0.00299967429514811,0.00168470810723761,0.0749891701212341,22,0.00147915656673383,0.00215756033201935,0.492984910023869,22,0.00202907108849559,0.00180990777398773,0.274906128449947,22,0.000597204895310843,0.00338687727526363,0.86172482576738,22,0.00318528209641604,0.00329791908605897,0.34565595404047,NA,NA,NA,NA,"AAMDC",1.12500145255762
"AARSD1_Q9BTE6_OID21311_v1_Oncology","mvpa_leisure_time",12,-0.00345069441293736,0.01862045706157,0.852980102820332,12,-0.0136115141616685,0.0206518804505277,0.509835916135439,12,-0.0129801179056448,0.0262167485207125,0.630265009627175,12,-0.0376049293822032,0.0341841207009748,0.29479319798819,12,-0.00894981128212735,0.115971754850085,0.940008690983637,NA,NA,NA,NA,"AARSD1",0.0690610993554782
"ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II","mvpa_leisure_time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCA2",307.652655568589
"ABHD14B_Q96IU4_OID20921_v1_Neurology","mvpa_leisure_time",12,-0.00331350208649845,0.0112833365810312,0.769015185077004,12,-0.00438061888046505,0.0103332905736523,0.67161495840396,12,-0.00464758486175804,0.0102661557446819,0.659556521688917,12,-0.0252064696216576,0.0154470995718323,0.130994282156015,12,0.0153632328095456,0.0161908835544919,0.365048128916566,NA,NA,NA,NA,"ABHD14B",0.114065084476802
"ABL1_P00519_OID21280_v1_Oncology","mvpa_leisure_time",3,-0.00853070204997413,0.0298146135728453,0.774782493790085,3,-0.0238788977532957,0.0344547582456233,0.488277672244771,3,-0.0261762400011283,0.0361414459624331,0.544164622106969,3,-0.0269095040592675,0.0410464689077389,0.579423295213774,3,0.855547989207697,0.709518707059926,0.440771376028245,NA,NA,NA,NA,"ABL1",0.110820200725588
"ACAA1_P09110_OID21269_v1_Oncology","mvpa_leisure_time",9,0.0215496479249034,0.017271965801419,0.212153324442451,9,0.0273371744830624,0.0222163423703415,0.218510513281857,9,0.0281064268908765,0.0231623207990193,0.259564115837165,9,0.0330605793262951,0.0295667005533452,0.295944824593511,9,0.00700817248028007,0.0409400165100389,0.868924283133651,NA,NA,NA,NA,"ACAA1",0.673350158449806
"ACADM_P11310_OID31277_v1_Oncology_II","mvpa_leisure_time",8,-0.0117715488894948,0.0220480824933361,0.593408285432074,8,-0.00628763782847295,0.0252230657590803,0.803143219618127,8,-0.00462070153450545,0.0224143290270565,0.842541747128372,8,-0.0212306346613006,0.043898807807994,0.643412414452351,8,0.0501337330898063,0.0625230553716524,0.453221183420496,NA,NA,NA,NA,"ACADM",0.226646394162909
"ACADSB_P45954_OID30356_v1_Cardiometabolic_II","mvpa_leisure_time",6,0.0218826596345737,0.0152698519534455,0.15183983807774,6,0.0175879259176985,0.0169110668451078,0.298328461176415,6,0.0150658241325313,0.0174731496981199,0.427970328193263,6,0.0195900853184298,0.0257996918790102,0.48190752354424,6,0.00961840624204682,0.0290244468784787,0.756984795507922,NA,NA,NA,NA,"ACADSB",0.818614268048905
"ACAN_P16112_OID20159_v1_Cardiometabolic","mvpa_leisure_time",8,0.00141739301479537,0.0221810699489299,0.949049039367069,8,0.0172858415915454,0.0267627333828402,0.518349150861645,8,0.0203756211587124,0.0254810647727255,0.450199298265758,8,0.0114682376047083,0.0405563366104209,0.785529866954439,8,-0.062943955372409,0.0710607124567541,0.4098304187321,NA,NA,NA,NA,"ACAN",0.0227113460803359
